"file" "variant" "percentage"
"1" "V350082740_L14_77-77_variants.tsv" "Other" 0.743721242609407
"2" "V350082740_L14_77-77_variants.tsv" "Gamma" 0.0455138149092998
"3" "V350082740_L14_77-77_variants.tsv" "BA.2* [Omicron (BA.2.X)]" 0.0311205067643352
"4" "V350082740_L14_87-87_variants.tsv" "BA.2* [Omicron (BA.2.X)]" 0.822746944181265
"5" "V350082740_L14_87-87_variants.tsv" "Lambda" 0.03543716619088
"6" "V350082740_L14_88-88_variants.tsv" "Omicron" 0.474436913550611
"7" "V350082740_L14_88-88_variants.tsv" "BA.2* [Omicron (BA.2.X)]" 0.152949691472614
"8" "V350082740_L14_88-88_variants.tsv" "BA.5* [Omicron (BA.5.X)]" 0.118695624349124
"9" "V350082740_L14_88-88_variants.tsv" "Other" 0.0773754725748609
"10" "V350082740_L14_88-88_variants.tsv" "Gamma" 0.0331203787821214
"11" "V350082740_L14_79-79_variants.tsv" "BA.2* [Omicron (BA.2.X)]" 0.588915539244996
"12" "V350082740_L14_79-79_variants.tsv" "Other" 0.257646037334382
"13" "V350082740_L14_79-79_variants.tsv" "Omicron" 0.0506525782902167
"14" "V350082740_L14_49-49_variants.tsv" "BA.2* [Omicron (BA.2.X)]" 0.748677500142859
"15" "V350082740_L14_49-49_variants.tsv" "Other" 0.188221314322809
"16" "V350082740_L14_68-68_variants.tsv" "Other" 0.306347440663751
"17" "V350082740_L14_68-68_variants.tsv" "Gamma" 0.291150688523611
"18" "V350082740_L14_68-68_variants.tsv" "BA.2* [Omicron (BA.2.X)]" 0.128516288610557
"19" "V350082740_L14_68-68_variants.tsv" "Omicron" 0.107884543066756
"20" "V350082740_L14_68-68_variants.tsv" "Lambda" 0.0410828210007288
"21" "V350082740_L14_17-17_variants.tsv" "Other" 0.823708721899143
"22" "V350082740_L14_17-17_variants.tsv" "Gamma" 0.0502704301734493
"23" "V350082740_L14_50-50_variants.tsv" "BA.2* [Omicron (BA.2.X)]" 0.455708374497128
"24" "V350082740_L14_50-50_variants.tsv" "Other" 0.296843677477632
"25" "V350082740_L14_50-50_variants.tsv" "Lambda" 0.0930268391449117
"26" "V350082740_L14_56-56_variants.tsv" "BA.2* [Omicron (BA.2.X)]" 0.565464533443841
"27" "V350082740_L14_56-56_variants.tsv" "Other" 0.206583896593547
"28" "V350082740_L14_56-56_variants.tsv" "Gamma" 0.0720620538674424
"29" "V350082740_L14_56-56_variants.tsv" "Omicron" 0.0351514780045051
"30" "V350082740_L14_03-03_variants.tsv" "Other" 0.76968478387732
"31" "V350082740_L14_03-03_variants.tsv" "Omicron" 0.106154733101284
"32" "V350082740_L14_03-03_variants.tsv" "BA.2* [Omicron (BA.2.X)]" 0.0437787767165984
"33" "V350082740_L14_76-76_variants.tsv" "Omicron" 0.37030267188823
"34" "V350082740_L14_76-76_variants.tsv" "Other" 0.253435969054295
"35" "V350082740_L14_76-76_variants.tsv" "Gamma" 0.241757639122145
"36" "V350082740_L14_53-53_variants.tsv" "Other" 0.542565739282464
"37" "V350082740_L14_53-53_variants.tsv" "Gamma" 0.189850492743538
"38" "V350082740_L14_53-53_variants.tsv" "Lambda" 0.0737022105965305
"39" "V350082740_L14_58-58_variants.tsv" "BA.2* [Omicron (BA.2.X)]" 0.726758112870209
"40" "V350082740_L14_58-58_variants.tsv" "Other" 0.214597560983741
"41" "V350082740_L14_61-61_variants.tsv" "Other" 0.671596167633489
"42" "V350082740_L14_61-61_variants.tsv" "Omicron" 0.124207669118567
"43" "V350082740_L14_61-61_variants.tsv" "Gamma" 0.0347037030090189
"44" "V350082740_L14_59-59_variants.tsv" "BA.2* [Omicron (BA.2.X)]" 0.659735183117234
"45" "V350082740_L14_59-59_variants.tsv" "Lambda" 0.102637221001222
"46" "V350082740_L14_59-59_variants.tsv" "Omicron" 0.0604902648856976
"47" "V350082740_L14_59-59_variants.tsv" "Other" 0.0382993917446633
"48" "V350082740_L14_73-73_variants.tsv" "Other" 0.419213221566125
"49" "V350082740_L14_73-73_variants.tsv" "Omicron" 0.256773607175486
"50" "V350082740_L14_73-73_variants.tsv" "Lambda" 0.192235274591932
"51" "V350082740_L14_44-44_variants.tsv" "Gamma" 0.87267375369942
"52" "V350082740_L14_44-44_variants.tsv" "Other" 0.0478169366101989
"53" "V350082740_L14_48-48_variants.tsv" "Gamma" 0.87727879628576
"54" "V350082740_L14_48-48_variants.tsv" "Other" 0.0410670080370882
"55" "V350082740_L14_70-70_variants.tsv" "Omicron" 0.87124722986192
"56" "V350082740_L14_70-70_variants.tsv" "Lambda" 0.0758188000002337
