file	variant	percentage
V350082740_L14_34-34_variants.tsv	Lambda	0.9686166486360066
V350082740_L14_47-47_variants.tsv	Lambda	0.9656098359961156
V350082740_L14_23-23_variants.tsv	Other	0.82894477171896
V350082740_L14_09-09_variants.tsv	Other	0.9061354758511194
V350082740_L14_60-60_variants.tsv	BA.2* [Omicron (BA.2.X)]	0.9368564551617654
V350082740_L14_60-60_variants.tsv	Omicron	0.0032844340098386006
V350082740_L14_60-60_variants.tsv	Other	0.00112244999989027
V350082740_L14_35-35_variants.tsv	Lambda	0.9700235879098579
V350082740_L14_40-40_variants.tsv	Gamma	0.9011300657457212
V350082740_L14_40-40_variants.tsv	Other	0.012930293980716798
V350082740_L14_80-80_variants.tsv	BA.2* [Omicron (BA.2.X)]	0.9329021154036193
V350082740_L14_80-80_variants.tsv	Omicron	0.007702975798800374
V350082740_L14_55-55_variants.tsv	BA.2* [Omicron (BA.2.X)]	0.9372527785275593
V350082740_L14_45-45_variants.tsv	Gamma	0.884605925237956
V350082740_L14_45-45_variants.tsv	Other	0.028045766828760334
V350082740_L14_95-95_variants.tsv	Omicron	0.9574072260984159
V350082740_L14_66-66_variants.tsv	BA.2* [Omicron (BA.2.X)]	0.9327667523859198
V350082740_L14_66-66_variants.tsv	Lambda	0.0021575259789453384
V350082740_L14_66-66_variants.tsv	Omicron	0.0011636461994830722
V350082740_L14_36-36_variants.tsv	Alpha	0.9478468426085723
V350082740_L14_36-36_variants.tsv	Other	0.0011168600096529916
V350082740_L14_62-62_variants.tsv	BA.2* [Omicron (BA.2.X)]	0.8875036843764363
V350082740_L14_62-62_variants.tsv	Omicron	0.014725612684869303
V350082740_L14_62-62_variants.tsv	Lambda	0.012629330999471859
V350082740_L14_62-62_variants.tsv	Other	0.0010751100057992725
V350082740_L14_77-77_variants.tsv	Other	0.7437212426094065
V350082740_L14_77-77_variants.tsv	Gamma	0.04551381490929979
V350082740_L14_77-77_variants.tsv	BA.2* [Omicron (BA.2.X)]	0.031120506764335167
V350082740_L14_77-77_variants.tsv	Omicron	0.027475480911755886
V350082740_L14_77-77_variants.tsv	Delta	0.001233679998975215
V350082740_L14_18-18_variants.tsv	Other	0.867871496409637
V350082740_L14_81-81_variants.tsv	BA.2* [Omicron (BA.2.X)]	0.9296585687252326
V350082740_L14_81-81_variants.tsv	Omicron	0.010155730951516397
V350082740_L14_94-94_variants.tsv	BA.2* [Omicron (BA.2.X)]	0.9287256539034183
V350082740_L14_94-94_variants.tsv	Omicron	0.00885557300165761
V350082740_L14_11-11_variants.tsv	Other	0.8758381236474476
V350082740_L14_87-87_variants.tsv	BA.2* [Omicron (BA.2.X)]	0.8227469441812647
V350082740_L14_87-87_variants.tsv	Lambda	0.03543716619087999
V350082740_L14_87-87_variants.tsv	Omicron	0.029090265798963264
V350082740_L14_87-87_variants.tsv	Other	0.014600507475821364
V350082740_L14_52-52_variants.tsv	BA.2* [Omicron (BA.2.X)]	0.9294561222223902
V350082740_L14_52-52_variants.tsv	Omicron	0.01611786954715226
V350082740_L14_65-65_variants.tsv	Omicron	0.9542731056503219
V350082740_L14_65-65_variants.tsv	Other	0.0022173197010305224
V350082740_L14_88-88_variants.tsv	Omicron	0.4744369135506114
V350082740_L14_88-88_variants.tsv	BA.2* [Omicron (BA.2.X)]	0.15294969147261447
V350082740_L14_88-88_variants.tsv	BA.5* [Omicron (BA.5.X)]	0.11869562434912402
V350082740_L14_88-88_variants.tsv	Other	0.07737547257486094
V350082740_L14_88-88_variants.tsv	Gamma	0.03312037878212141
V350082740_L14_88-88_variants.tsv	Lambda	0.020070816999431085
V350082740_L14_88-88_variants.tsv	Theta	0.0010234239960394392
V350082740_L14_88-88_variants.tsv	BA.2.75* [Omicron (BA.2.75.X)]	0.0010145399997722887
V350082740_L14_79-79_variants.tsv	BA.2* [Omicron (BA.2.X)]	0.588915539244996
V350082740_L14_79-79_variants.tsv	Other	0.2576460373343819
V350082740_L14_79-79_variants.tsv	Omicron	0.05065257829021669
V350082740_L14_79-79_variants.tsv	Lambda	0.020772578000226066
V350082740_L14_79-79_variants.tsv	BA.5* [Omicron (BA.5.X)]	0.0029240689998727963
V350082740_L14_79-79_variants.tsv	BA.2.75* [Omicron (BA.2.75.X)]	0.0010762400000971254
V350082740_L14_41-41_variants.tsv	Lambda	0.9562838650331141
V350082740_L14_41-41_variants.tsv	Other	0.008651690919188519
V350082740_L14_25-25_variants.tsv	Gamma	0.8805164530704616
V350082740_L14_25-25_variants.tsv	Other	0.017158181710830892
V350082740_L14_49-49_variants.tsv	BA.2* [Omicron (BA.2.X)]	0.7486775001428586
V350082740_L14_49-49_variants.tsv	Other	0.18822131432280897
V350082740_L14_49-49_variants.tsv	Omicron	0.007057861098386596
V350082740_L14_68-68_variants.tsv	Other	0.30634744066375075
V350082740_L14_68-68_variants.tsv	Gamma	0.29115068852361103
V350082740_L14_68-68_variants.tsv	BA.2* [Omicron (BA.2.X)]	0.12851628861055714
V350082740_L14_68-68_variants.tsv	Omicron	0.10788454306675625
V350082740_L14_68-68_variants.tsv	Lambda	0.041082821000728825
V350082740_L14_24-24_variants.tsv	Other	0.9206061198381736
V350082740_L14_69-69_variants.tsv	Omicron	0.9632771920156394
V350082740_L14_69-69_variants.tsv	Other	0.0010447299993906008
V350082740_L14_17-17_variants.tsv	Other	0.823708721899143
V350082740_L14_17-17_variants.tsv	Gamma	0.05027043017344926
V350082740_L14_93-93_variants.tsv	Omicron	0.906794050687855
V350082740_L14_93-93_variants.tsv	Other	0.009779668103421214
V350082740_L14_93-93_variants.tsv	BA.2* [Omicron (BA.2.X)]	0.002019090001498514
V350082740_L14_93-93_variants.tsv	Gamma	0.0014592499540270337
V350082740_L14_93-93_variants.tsv	BA.5* [Omicron (BA.5.X)]	0.0012306640968825673
V350082740_L14_13-13_variants.tsv	Other	0.9158257324456809
V350082740_L14_84-84_variants.tsv	BA.2* [Omicron (BA.2.X)]	0.9433773167368935
V350082740_L14_84-84_variants.tsv	Omicron	0.004759142469262326
V350082740_L14_86-86_variants.tsv	BA.2* [Omicron (BA.2.X)]	0.9395846556645142
V350082740_L14_86-86_variants.tsv	Omicron	0.006929867999938178
V350082740_L14_86-86_variants.tsv	Lambda	0.0010212159997938174
V350082740_L14_10-10_variants.tsv	Other	0.8153448423598362
V350082740_L14_26-26_variants.tsv	Lambda	0.9600500449991715
V350082740_L14_50-50_variants.tsv	BA.2* [Omicron (BA.2.X)]	0.45570837449712814
V350082740_L14_50-50_variants.tsv	Other	0.2968436774776322
V350082740_L14_50-50_variants.tsv	Lambda	0.09302683914491171
V350082740_L14_50-50_variants.tsv	Omicron	0.02308849124538049
V350082740_L14_50-50_variants.tsv	BA.5* [Omicron (BA.5.X)]	0.002153432794220513
V350082740_L14_50-50_variants.tsv	A	0.0010474999954803766
V350082740_L14_74-74_variants.tsv	Lambda	0.9304357990181705
V350082740_L14_74-74_variants.tsv	Other	0.009919864966447286
V350082740_L14_74-74_variants.tsv	BA.2* [Omicron (BA.2.X)]	0.0012984469990577924
V350082740_L14_29-29_variants.tsv	Lambda	0.9736736044386848
V350082740_L14_72-72_variants.tsv	Omicron	0.9465232880732474
V350082740_L14_72-72_variants.tsv	BA.2* [Omicron (BA.2.X)]	0.0010667347354246424
V350082740_L14_91-91_variants.tsv	Omicron	0.9395490301695443
V350082740_L14_91-91_variants.tsv	Lambda	0.013721532208375931
V350082740_L14_30-30_variants.tsv	Gamma	0.8911641856548479
V350082740_L14_30-30_variants.tsv	Other	0.011395012874792037
V350082740_L14_85-85_variants.tsv	Omicron	0.962156550818493
V350082740_L14_01-01_variants.tsv	Other	0.9189155413898212
V350082740_L14_31-31_variants.tsv	Lambda	0.9703926297290264
V350082740_L14_51-51_variants.tsv	Omicron	0.950782185246896
V350082740_L14_51-51_variants.tsv	Lambda	0.003631291990607983
V350082740_L14_51-51_variants.tsv	BA.2* [Omicron (BA.2.X)]	0.0010153126986506096
V350082740_L14_22-22_variants.tsv	Other	0.8637022650347342
V350082740_L14_22-22_variants.tsv	A	0.001088480302141808
V350082740_L14_06-06_variants.tsv	Other	0.9064575174803726
V350082740_L14_78-78_variants.tsv	BA.2* [Omicron (BA.2.X)]	0.9442747133523259
V350082740_L14_78-78_variants.tsv	Omicron	0.0042205200868401845
V350082740_L14_04-04_variants.tsv	Other	0.8970345054066895
V350082740_L14_04-04_variants.tsv	A	0.0010903899986013208
V350082740_L14_39-39_variants.tsv	Lambda	0.9715896669334353
V350082740_L14_82-82_variants.tsv	Omicron	0.9259975440142687
V350082740_L14_82-82_variants.tsv	Lambda	0.014877331989693175
V350082740_L14_82-82_variants.tsv	Other	0.003525596038595125
V350082740_L14_14-14_variants.tsv	Other	0.8922978148875474
V350082740_L14_14-14_variants.tsv	A	0.0011920229048274333
V350082740_L14_43-43_variants.tsv	Gamma	0.8954260488047382
V350082740_L14_43-43_variants.tsv	Other	0.02578578144776453
V350082740_L14_43-43_variants.tsv	Lambda	0.004020631663874962
V350082740_L14_32-32_variants.tsv	Lambda	0.9639407289985338
V350082740_L14_56-56_variants.tsv	BA.2* [Omicron (BA.2.X)]	0.5654645334438408
V350082740_L14_56-56_variants.tsv	Other	0.20658389659354667
V350082740_L14_56-56_variants.tsv	Gamma	0.07206205386744244
V350082740_L14_56-56_variants.tsv	Omicron	0.03515147800450512
V350082740_L14_56-56_variants.tsv	Lambda	0.0028986513061177665
V350082740_L14_56-56_variants.tsv	BA.5* [Omicron (BA.5.X)]	0.0015350500000239204
V350082740_L14_92-92_variants.tsv	BA.2* [Omicron (BA.2.X)]	0.9371010362159585
V350082740_L14_92-92_variants.tsv	Omicron	0.004485323210589387
V350082740_L14_92-92_variants.tsv	Gamma	0.0010053799995661937
V350082740_L14_03-03_variants.tsv	Other	0.7696847838773196
V350082740_L14_03-03_variants.tsv	Omicron	0.10615473310128445
