sampleId,CoverageX,Value
V350082740_L14_01-01,1,100.0
V350082740_L14_02-02,1,100.0
V350082740_L14_03-03,1,99.81941611209577
V350082740_L14_04-04,1,100.0
V350082740_L14_05-05,1,100.0
V350082740_L14_06-06,1,100.0
V350082740_L14_07-07,1,100.0
V350082740_L14_08-08,1,100.0
V350082740_L14_09-09,1,100.0
V350082740_L14_10-10,1,100.0
V350082740_L14_11-11,1,100.0
V350082740_L14_12-12,1,100.0
V350082740_L14_13-13,1,100.0
V350082740_L14_14-14,1,100.0
V350082740_L14_15-15,1,100.0
V350082740_L14_16-16,1,100.0
V350082740_L14_17-17,1,100.0
V350082740_L14_18-18,1,100.0
V350082740_L14_19-19,1,100.0
V350082740_L14_20-20,1,100.0
V350082740_L14_21-21,1,100.0
V350082740_L14_22-22,1,100.0
V350082740_L14_23-23,1,100.0
V350082740_L14_24-24,1,100.0
V350082740_L14_25-25,1,100.0
V350082740_L14_26-26,1,100.0
V350082740_L14_27-27,1,100.0
V350082740_L14_28-28,1,99.9866234157108
V350082740_L14_29-29,1,100.0
V350082740_L14_30-30,1,100.0
V350082740_L14_31-31,1,99.95652610106009
V350082740_L14_32-32,1,100.0
V350082740_L14_33-33,1,100.0
V350082740_L14_34-34,1,100.0
V350082740_L14_35-35,1,99.9899675617831
V350082740_L14_36-36,1,100.0
V350082740_L14_37-37,1,100.0
V350082740_L14_38-38,1,100.0
V350082740_L14_39-39,1,99.9866234157108
V350082740_L14_40-40,1,100.0
V350082740_L14_41-41,1,99.9598702471324
V350082740_L14_42-42,1,100.0
V350082740_L14_43-43,1,100.0
V350082740_L14_44-44,1,99.9832792696385
V350082740_L14_45-45,1,100.0
V350082740_L14_46-46,1,99.95652610106009
V350082740_L14_47-47,1,99.9531819549878
V350082740_L14_48-48,1,99.9866234157108
V350082740_L14_49-49,1,99.9799351235662
V350082740_L14_50-50,1,100.0
V350082740_L14_51-51,1,100.0
V350082740_L14_52-52,1,99.9832792696385
V350082740_L14_53-53,1,100.0
V350082740_L14_54-54,1,100.0
V350082740_L14_55-55,1,100.0
V350082740_L14_56-56,1,100.0
V350082740_L14_57-57,1,99.9899675617831
V350082740_L14_58-58,1,100.0
V350082740_L14_59-59,1,100.0
V350082740_L14_60-60,1,100.0
V350082740_L14_61-61,1,100.0
V350082740_L14_62-62,1,100.0
V350082740_L14_63-63,1,99.9899675617831
V350082740_L14_64-64,1,100.0
V350082740_L14_65-65,1,100.0
V350082740_L14_66-66,1,100.0
V350082740_L14_67-67,1,100.0
V350082740_L14_68-68,1,100.0
V350082740_L14_69-69,1,100.0
V350082740_L14_70-70,1,100.0
V350082740_L14_71-71,1,100.0
V350082740_L14_72-72,1,99.9866234157108
V350082740_L14_73-73,1,100.0
V350082740_L14_74-74,1,100.0
V350082740_L14_75-75,1,100.0
V350082740_L14_76-76,1,100.0
V350082740_L14_77-77,1,100.0
V350082740_L14_78-78,1,100.0
V350082740_L14_79-79,1,100.0
V350082740_L14_80-80,1,99.9799351235662
V350082740_L14_81-81,1,99.9832792696385
V350082740_L14_82-82,1,100.0
V350082740_L14_83-83,1,100.0
V350082740_L14_84-84,1,99.9933117078554
V350082740_L14_85-85,1,100.0
V350082740_L14_86-86,1,100.0
V350082740_L14_87-87,1,100.0
V350082740_L14_88-88,1,100.0
V350082740_L14_89-89,1,99.9899675617831
V350082740_L14_90-90,1,100.0
V350082740_L14_91-91,1,100.0
V350082740_L14_92-92,1,100.0
V350082740_L14_93-93,1,100.0
