sampleId,th_filter,pass_filter
V350082740_L14_01-01,244,6330
V350082740_L14_02-02,575,8613
V350082740_L14_03-03,58,2618
V350082740_L14_04-04,5713,25573
V350082740_L14_05-05,1401,22013
V350082740_L14_06-06,786,16678
V350082740_L14_07-07,1213,18862
V350082740_L14_08-08,229,5602
V350082740_L14_09-09,291,6245
V350082740_L14_10-10,534,13210
V350082740_L14_11-11,1253,14475
V350082740_L14_12-12,732,11004
V350082740_L14_13-13,1146,11869
V350082740_L14_14-14,88,10228
V350082740_L14_15-15,1087,13768
V350082740_L14_16-16,394,11853
V350082740_L14_17-17,2021,24323
V350082740_L14_18-18,103,15984
V350082740_L14_19-19,366,16268
V350082740_L14_20-20,1627,21319
V350082740_L14_21-21,786,11656
V350082740_L14_22-22,1992,17304
V350082740_L14_23-23,2256,19084
V350082740_L14_24-24,484,8346
V350082740_L14_25-25,1098,17240
V350082740_L14_26-26,1948,18126
V350082740_L14_27-27,1259,17172
V350082740_L14_28-28,1129,13370
V350082740_L14_29-29,2610,16439
V350082740_L14_30-30,1671,15419
V350082740_L14_31-31,312,9682
V350082740_L14_32-32,3148,19047
V350082740_L14_33-33,685,13021
V350082740_L14_34-34,779,15595
V350082740_L14_35-35,428,6701
V350082740_L14_36-36,1004,20745
V350082740_L14_37-37,1265,19095
V350082740_L14_38-38,311,12274
V350082740_L14_39-39,404,7054
V350082740_L14_40-40,116,5783
V350082740_L14_41-41,283,5859
V350082740_L14_42-42,459,6696
V350082740_L14_43-43,433,8023
V350082740_L14_44-44,674,9885
V350082740_L14_45-45,325,9264
V350082740_L14_46-46,237,5512
V350082740_L14_47-47,112,3659
V350082740_L14_48-48,248,6134
V350082740_L14_49-49,380,13092
V350082740_L14_50-50,3896,24053
V350082740_L14_51-51,773,12413
V350082740_L14_52-52,756,12259
V350082740_L14_53-53,541,21074
V350082740_L14_54-54,1820,14677
V350082740_L14_55-55,2634,17342
V350082740_L14_56-56,2333,23658
V350082740_L14_57-57,1298,15985
V350082740_L14_58-58,2777,18453
V350082740_L14_59-59,5554,22845
V350082740_L14_60-60,4766,24102
V350082740_L14_61-61,178,13315
V350082740_L14_62-62,1787,19089
V350082740_L14_63-63,471,12748
V350082740_L14_64-64,2398,26141
V350082740_L14_65-65,5083,23511
V350082740_L14_66-66,2028,20955
V350082740_L14_67-67,1147,20888
V350082740_L14_68-68,335,19666
V350082740_L14_69-69,1579,19957
V350082740_L14_70-70,2442,23145
V350082740_L14_72-72,998,14712
V350082740_L14_73-73,1252,21715
V350082740_L14_74-74,1513,25279
V350082740_L14_75-75,1245,21299
V350082740_L14_76-76,231,18380
V350082740_L14_77-77,217,15651
V350082740_L14_78-78,740,11916
V350082740_L14_79-79,1051,25802
V350082740_L14_80-80,1738,15533
V350082740_L14_81-81,502,13579
V350082740_L14_82-82,154,15313
V350082740_L14_83-83,890,19511
V350082740_L14_84-84,347,13550
V350082740_L14_85-85,2001,19378
V350082740_L14_86-86,130,5696
V350082740_L14_87-87,3205,25492
V350082740_L14_88-88,826,20385
V350082740_L14_89-89,1702,14761
V350082740_L14_90-90,1787,23070
V350082740_L14_91-91,2676,19426
V350082740_L14_92-92,302,14397
V350082740_L14_93-93,354,14644
V350082740_L14_94-94,150,5413
V350082740_L14_95-95,1083,12932
V350082740_L14_96-96,2294,22226
