	summarized	lineages	abundances	resid	coverage
V350082740_L14_34-34_variants.tsv	[('Lambda', 0.9686166486360066)]	C.37	0.96861665	14.115050981251851	100.0
V350082740_L14_47-47_variants.tsv	[('Lambda', 0.9656098359961156)]	C.37	0.96560984	15.597701482453779	99.9933117078554
V350082740_L14_23-23_variants.tsv	[('Other', 0.82894477171896)]	N.3 B.1.177 B.1.177.72 B.1.8 B.1.187 B.1.274 N.4 B.1.195 B.1.1.185 B.1.177.17 B.1.177.2 B.1.1.172 B.1.478 D.2 B.1.178 B.1.70 B.1.1.109 B.1.539 B.1.420 B.1.1.217 N.7 B.1.177.77 B.1.1.187 B.1.201 B.1.199 B.1.76 B.1.1.416 B.1.1.361 B.1.1.296 B.1.214 B.1.177.75 B.1.1.344 B.1.97 B.1.211 B.1.210 B.1.639 B.58 B.1.1.437 B.1.1.205 B.1.483 B.1.179 B.1.1.111 N.5 B.1.585 B.1.1.507 B.1.1.98 B.1.177.32 B.1.137 AA.8 B.1.1.120 B.3 B.1.215 B.1.128 B.1.67 B.1.1.363 B.1.1.338 B.1.609 B.1.106 B.1.564.1 B.1.93 B.1.1.3 B.1.117 B.1.277 B.1.531 B.1.69 B.1.1.29 B.1.1.500	0.64585735 0.08871448 0.00438254 0.00265715 0.00259184 0.00256269 0.00248554 0.00234939 0.00234423 0.00214999 0.00209904 0.00197659 0.00192751 0.00185910 0.00162293 0.00161171 0.00157047 0.00153312 0.00151855 0.00146449 0.00146240 0.00144753 0.00143687 0.00140325 0.00139653 0.00138881 0.00137257 0.00136002 0.00134158 0.00133816 0.00133270 0.00129185 0.00128533 0.00127698 0.00126060 0.00126030 0.00119558 0.00119243 0.00118429 0.00116574 0.00116111 0.00115961 0.00114994 0.00114389 0.00113835 0.00113723 0.00111437 0.00111228 0.00110311 0.00110117 0.00109366 0.00109156 0.00108760 0.00108656 0.00108015 0.00107401 0.00107376 0.00106896 0.00106547 0.00106197 0.00104057 0.00103279 0.00102336 0.00102323 0.00102097 0.00101596 0.00101089	13.944865402513456	100.0
V350082740_L14_09-09_variants.tsv	[('Other', 0.9061354758511194)]	N.4 B.1.478 B.1.13 B.1.274 B.1.1.165	0.88334277 0.01400980 0.00596459 0.00181609 0.00100223	12.026954285590689	100.0
V350082740_L14_60-60_variants.tsv	[('BA.2* [Omicron (BA.2.X)]', 0.9368564551617654), ('Omicron', 0.0032844340098386006), ('Other', 0.00112244999989027)]	BA.2.56 BA.2.23 BA.2 BA.2.68 BA.2.52 BA.2.9.1 BA.2.11 BA.2.29 BA.2.31 BA.2.21 BA.2.40 BA.2.53 BA.2.71 BA.2.59 BA.2.9.5 BA.2.57 BA.2.13.1 BA.2.5 BA.2.2.1 BA.2.27 BA.2.8 BA.2.7 BA.2.33 BA.2.50 BA.2.46 BA.2.60 BA.2.63 BA.2.25 BA.2.55 BA.2.45 BA.2.34 XAA BA.2.43 BA.2.18 BA.2.62 BA.2.79 BA.2.1 BA.2.54 BA.2.44 BA.2.41 BA.2.72 XL BA.2.10.1 BG.1 BA.2.28	0.42082660 0.22920385 0.22413516 0.00502926 0.00309598 0.00266448 0.00236328 0.00217211 0.00216863 0.00209317 0.00206650 0.00205496 0.00193798 0.00193132 0.00180483 0.00173536 0.00159129 0.00157668 0.00155080 0.00142717 0.00139208 0.00137553 0.00137264 0.00137067 0.00136049 0.00130653 0.00128318 0.00127283 0.00125520 0.00124072 0.00122658 0.00121434 0.00120445 0.00117013 0.00113250 0.00112245 0.00112195 0.00109359 0.00107010 0.00106740 0.00105986 0.00103983 0.00103251 0.00103026 0.00101810	20.636678309364996	100.0
V350082740_L14_35-35_variants.tsv	[('Lambda', 0.9700235879098579)]	C.37	0.97002359	14.302190543367873	100.0
V350082740_L14_40-40_variants.tsv	[('Gamma', 0.9011300657457212), ('Other', 0.012930293980716798)]	P.1.1 P.1 P.1.12 B.1.478 P.1.14 P.1.13 P.1.15 B.1.187 P.1.9 P.1.10 B.1.1.109	0.70400018 0.16815650 0.01668907 0.01008650 0.00376326 0.00333226 0.00269978 0.00181093 0.00124947 0.00123954 0.00103286	17.39583751512656	99.95652610106009
V350082740_L14_80-80_variants.tsv	[('BA.2* [Omicron (BA.2.X)]', 0.9329021154036193), ('Omicron', 0.007702975798800374)]	BA.2.12.1 BA.2.23 BA.2.68 BA.2.12 XQ BA.2.67 BG.3 BA.2.57 BA.2.66 BG.1 BA.2.29 BA.2.9.1 BA.2.21 XY BA.2.2.1 BA.2.27	0.72440911 0.16477370 0.01828810 0.01191200 0.00253062 0.00220257 0.00204942 0.00203886 0.00193455 0.00189742 0.00185244 0.00175338 0.00147335 0.00122552 0.00122348 0.00104058	18.727534677024366	100.0
V350082740_L14_55-55_variants.tsv	[('BA.2* [Omicron (BA.2.X)]', 0.9372527785275593)]	BA.2.56 BA.2 BA.2.23 BA.2.68 BA.2.31 BA.2.61 BA.2.9.1 BA.2.11 BA.2.52 BA.2.9.5 BA.2.59 BA.2.71 BA.2.29 BA.2.57 BA.2.21 BA.2.32 BA.2.13.1 BA.2.53 BA.2.2.1 BA.2.34 BA.2.10.1 BA.2.55 BA.2.66 BA.2.8 BA.2.27 BA.2.5 BA.2.63 BA.2.43 BA.2.33 BA.2.40 BA.2.62	0.39668923 0.28172122 0.20762516 0.00975332 0.00369666 0.00236433 0.00236279 0.00204765 0.00199908 0.00199280 0.00177576 0.00177513 0.00168914 0.00154605 0.00146235 0.00137975 0.00135570 0.00132853 0.00128937 0.00126822 0.00120656 0.00120638 0.00120518 0.00116308 0.00115554 0.00107829 0.00105391 0.00103459 0.00102097 0.00100604 0.00100000	19.93688820162985	100.0
V350082740_L14_45-45_variants.tsv	[('Gamma', 0.884605925237956), ('Other', 0.028045766828760334)]	P.1.1 P.1 P.1.12 B.1.478 B.1.177.20 B.1.177.72 P.1.15 B.1.177.17 B.1.177.2 P.1.14 B.1.187 P.1.13 P.1.16 B.58 B.1.70	0.70030391 0.16133138 0.01558520 0.00824764 0.00654499 0.00557692 0.00265252 0.00177665 0.00177191 0.00170721 0.00170285 0.00165170 0.00137401 0.00125853 0.00116628	17.987660702280316	99.9899675617831
