sampleId,CoverageX,Value
V350082740_L01_01-01,1,100.0
V350082740_L01_02-02,1,100.0
V350082740_L01_03-03,1,98.99675617830987
V350082740_L01_04-04,1,100.0
V350082740_L01_05-05,1,100.0
V350082740_L01_06-06,1,100.0
V350082740_L01_07-07,1,100.0
V350082740_L01_08-08,1,100.0
V350082740_L01_09-09,1,100.0
V350082740_L01_10-10,1,99.89967561783098
V350082740_L01_100-100,1,86.49633816005084
V350082740_L01_101-101,1,82.4398889743504
V350082740_L01_102-102,1,70.71865699093736
V350082740_L01_103-103,1,86.64348058723205
V350082740_L01_104-104,1,81.46005417516638
V350082740_L01_11-11,1,100.0
V350082740_L01_12-12,1,100.0
V350082740_L01_13-13,1,100.0
V350082740_L01_14-14,1,100.0
V350082740_L01_15-15,1,100.0
V350082740_L01_16-16,1,99.89967561783098
V350082740_L01_17-17,1,100.0
V350082740_L01_18-18,1,100.0
V350082740_L01_19-19,1,100.0
V350082740_L01_20-20,1,100.0
V350082740_L01_21-21,1,100.0
V350082740_L01_22-22,1,100.0
V350082740_L01_23-23,1,100.0
V350082740_L01_24-24,1,100.0
V350082740_L01_25-25,1,100.0
V350082740_L01_26-26,1,100.0
V350082740_L01_27-27,1,100.0
V350082740_L01_28-28,1,99.9866234157108
V350082740_L01_29-29,1,100.0
V350082740_L01_30-30,1,100.0
V350082740_L01_31-31,1,99.9531819549878
V350082740_L01_32-32,1,99.9899675617831
V350082740_L01_33-33,1,100.0
V350082740_L01_34-34,1,99.9866234157108
V350082740_L01_35-35,1,99.9531819549878
V350082740_L01_36-36,1,100.0
V350082740_L01_37-37,1,100.0
V350082740_L01_38-38,1,100.0
V350082740_L01_39-39,1,99.9531819549878
V350082740_L01_40-40,1,99.88964317961408
V350082740_L01_41-41,1,99.9063639099756
V350082740_L01_42-42,1,99.90301976390329
V350082740_L01_43-43,1,100.0
V350082740_L01_44-44,1,99.94314951677089
V350082740_L01_45-45,1,100.0
V350082740_L01_46-46,1,99.9531819549878
V350082740_L01_47-47,1,99.9464936628432
V350082740_L01_48-48,1,99.9531819549878
V350082740_L01_49-49,1,99.86957830318029
V350082740_L01_50-50,1,100.0
V350082740_L01_51-51,1,100.0
V350082740_L01_52-52,1,99.89633147175869
V350082740_L01_53-53,1,100.0
V350082740_L01_54-54,1,100.0
V350082740_L01_55-55,1,99.9899675617831
V350082740_L01_56-56,1,100.0
V350082740_L01_57-57,1,99.9799351235662
V350082740_L01_58-58,1,99.9899675617831
V350082740_L01_59-59,1,100.0
V350082740_L01_60-60,1,99.9899675617831
V350082740_L01_61-61,1,100.0
V350082740_L01_62-62,1,100.0
V350082740_L01_63-63,1,99.9765909774939
V350082740_L01_64-64,1,100.0
V350082740_L01_65-65,1,100.0
V350082740_L01_66-66,1,100.0
V350082740_L01_67-67,1,100.0
V350082740_L01_68-68,1,100.0
V350082740_L01_69-69,1,99.9799351235662
V350082740_L01_70-70,1,100.0
V350082740_L01_71-71,1,99.9063639099756
V350082740_L01_72-72,1,99.9866234157108
V350082740_L01_73-73,1,99.89633147175869
V350082740_L01_74-74,1,100.0
V350082740_L01_75-75,1,100.0
