Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
V350082740_L01_01-01_1	35.4066	34.9583	35.3482	35.1966	35.3041	34.9154	35.3938	35.3177	35.5662	35.3192	35.13	35.334	35.3404	35.2283	35.1575	35.5194	35.229	35.2744	35.2184	35.3151	35.2047	35.3577	35.3146	34.9916	35.4068	35.4039	35.3274	35.2253	35.2142	35.3228	35.175	35.2397	35.3539	35.4228	35.4468	35.503	35.5557	35.4144	35.4999	35.525	35.5103	35.5013	35.5405	35.4256	35.4893	35.4166	35.3635	35.4302	35.4127	35.4582	35.4914	35.3875	35.3901	35.6073	35.4484	35.4589	35.3342	35.3953	35.4569	35.2993	35.4002	35.4583	35.4334	35.3954	35.1814	35.414	35.358	35.386	35.4245	35.3919	35.2881	35.483	35.3533	35.4115	35.363	35.3483	35.3779	35.3764	35.4044	35.2424	35.1854	35.1235	35.3	35.1715	35.0309	35.0957	35.1656	35.0362	35.1933	35.2308	35.1242	35.2922	35.1193	34.7352	35.1372	34.9754	34.9915	35.1402	35.0591	34.9707
V350082740_L01_02-02_1	35.7904	35.3182	35.6561	35.564	35.6953	35.3844	35.7417	35.6674	35.8497	35.6462	35.509	35.654	35.6074	35.6812	35.5417	35.9019	35.5854	35.6573	35.6672	35.7457	35.5584	35.7523	35.7994	35.3572	35.7938	35.7846	35.5895	35.5577	35.5668	35.7217	35.579	35.5226	35.7391	35.7206	35.8165	35.8254	35.8832	35.7733	35.871	35.8533	35.849	35.7601	35.7611	35.7535	35.78	35.7437	35.6422	35.7723	35.7525	35.7856	35.8276	35.7304	35.7383	35.9367	35.7453	35.7847	35.7029	35.678	35.7697	35.4822	35.6739	35.7444	35.7526	35.5924	35.4802	35.6777	35.6967	35.7563	35.7836	35.7045	35.6967	35.8307	35.6439	35.7289	35.6619	35.6666	35.5999	35.6438	35.685	35.5085	35.4848	35.3742	35.6349	35.4383	35.4429	35.4323	35.4967	35.3962	35.4727	35.5509	35.5401	35.5335	35.3218	35.0962	35.4851	35.0169	35.3595	35.4042	35.4068	35.1436
V350082740_L01_03-03_1	35.4636	35.1275	35.0853	35.5641	35.5067	35.7706	35.3235	34.743	35.2499	34.8234	35.4313	34.4456	35.1148	35.1057	35.0028	35.333	34.9155	34.6287	35.1868	35.1864	35.233	33.4382	35.3909	35.2897	34.8881	34.9865	34.9563	35.0828	34.5684	35.1448	34.5384	34.4233	35.0672	35.0073	35.0471	34.6069	35.115	34.3896	34.1389	34.3088	34.8761	34.4527	34.3984	34.1312	32.7656	34.4187	34.5563	34.3597	34.4803	34.3688	34.4936	34.2747	34.6764	33.8284	31.4922	33.3353	34.1909	33.7312	32.62	34.4689	32.9098	33.163	33.8997	34.1919	33.2196	34.355	32.9061	31.8422	33.4026	34.2597	33.8096	33.7518	33.4662	34.5672	33.2332	33.6053	34.2273	34.0938	33.8908	32.9538	33.5199	31.0318	33.6107	33.3448	34.4068	32.2183	34.1587	32.7167	32.3058	32.2741	33.2936	32.851	32.9914	33.9699	33.0265	32.2853	33.5161	28.8901	32.3067	33.3492
V350082740_L01_04-04_1	35.7981	35.436	35.7425	35.6378	35.6958	35.4747	35.7838	35.7066	35.8808	35.7035	35.596	35.7332	35.7578	35.617	35.5141	35.8752	35.6036	35.733	35.5913	35.744	35.616	35.6948	35.7206	35.5488	35.8024	35.7731	35.7272	35.7113	35.6882	35.6444	35.6728	35.6579	35.7672	35.7671	35.7983	35.8353	35.8591	35.728	35.8228	35.8661	35.8386	35.795	35.8681	35.7407	35.792	35.7596	35.7629	35.7859	35.8021	35.7614	35.8047	35.7479	35.751	35.8651	35.7405	35.7396	35.6986	35.7072	35.8031	35.6176	35.7361	35.7708	35.7525	35.7555	35.6186	35.7787	35.685	35.7092	35.7474	35.6776	35.6261	35.7747	35.6787	35.7408	35.6521	35.6668	35.6757	35.6497	35.7777	35.5913	35.5505	35.5071	35.6127	35.5757	35.437	35.5215	35.503	35.4731	35.5224	35.4943	35.3847	35.5945	35.4373	35.1638	35.4267	35.3455	35.4306	35.3936	35.3839	35.2755
V350082740_L01_05-05_1	35.7972	35.4289	35.7493	35.641	35.7069	35.4409	35.7945	35.7206	35.9003	35.7093	35.5865	35.7477	35.7704	35.6368	35.5127	35.8967	35.6232	35.7297	35.6016	35.7578	35.6355	35.7032	35.7204	35.4979	35.8132	35.7937	35.7373	35.7089	35.6835	35.6886	35.6865	35.6475	35.7483	35.7752	35.8169	35.851	35.8877	35.7643	35.8423	35.889	35.8611	35.8089	35.8825	35.7538	35.8192	35.7647	35.7646	35.7843	35.8285	35.7922	35.8318	35.7605	35.8025	35.9022	35.79	35.7716	35.7112	35.7058	35.8347	35.6483	35.7724	35.7977	35.782	35.7677	35.6475	35.7994	35.7158	35.7342	35.7799	35.7165	35.6498	35.8162	35.7257	35.7729	35.6762	35.6962	35.6808	35.6448	35.7888	35.6437	35.5624	35.5426	35.6331	35.5805	35.4316	35.549	35.5155	35.4961	35.5702	35.5267	35.4322	35.6492	35.4332	35.1304	35.4748	35.3432	35.4567	35.4755	35.4184	35.2786
V350082740_L01_06-06_1	35.9438	35.5635	35.8844	35.7817	35.8481	35.6055	35.9202	35.8698	36.041	35.8425	35.7582	35.8767	35.912	35.7657	35.682	36.0304	35.7612	35.8829	35.7517	35.8874	35.7901	35.8418	35.8432	35.6618	35.9415	35.9328	35.8816	35.8371	35.8303	35.8186	35.8136	35.7829	35.8984	35.924	35.9337	35.9947	36.0211	35.8894	35.9691	36.0062	35.9926	35.9456	36.0303	35.9011	35.9725	35.9046	35.9036	35.9306	35.9464	35.931	35.9576	35.8791	35.8946	36.0378	35.8756	35.8954	35.8304	35.8626	35.9671	35.7686	35.8784	35.9258	35.8918	35.8919	35.7834	35.8977	35.8245	35.8606	35.8894	35.8465	35.7657	35.9131	35.8355	35.8887	35.8232	35.8073	35.8269	35.7942	35.8908	35.7535	35.697	35.6583	35.7858	35.7075	35.5096	35.6486	35.6314	35.6179	35.6798	35.656	35.5571	35.7641	35.5629	35.276	35.5954	35.4695	35.541	35.6048	35.519	35.4325
V350082740_L01_07-07_1	35.5431	35.1521	35.497	35.3569	35.4498	35.1435	35.533	35.4542	35.6844	35.4618	35.3064	35.4922	35.5203	35.3216	35.2253	35.649	35.3593	35.4539	35.2751	35.4848	35.3606	35.4496	35.4495	35.2285	35.5459	35.545	35.4834	35.4174	35.3912	35.3913	35.4024	35.4285	35.4897	35.5343	35.5629	35.6027	35.6368	35.488	35.5809	35.6334	35.6056	35.5769	35.6679	35.5005	35.5766	35.4973	35.5012	35.524	35.5509	35.5268	35.5627	35.5002	35.527	35.6448	35.5357	35.5145	35.4208	35.457	35.5862	35.3734	35.4978	35.5287	35.5107	35.5069	35.3165	35.5309	35.4407	35.4488	35.5024	35.4265	35.3691	35.5526	35.4667	35.5121	35.4099	35.4497	35.4547	35.3824	35.5529	35.3323	35.2803	35.2607	35.3644	35.2722	35.0936	35.2345	35.2296	35.1633	35.2636	35.2502	35.1224	35.3258	35.1767	34.8026	35.1682	35.1156	35.1322	35.1624	35.0763	34.9828
V350082740_L01_08-08_1	35.1391	34.675	35.1249	34.9729	35.0249	34.7035	35.1722	35.0916	35.3584	35.1261	34.885	35.1038	35.0947	34.9136	34.8674	35.2875	34.9694	35.0526	34.9637	35.0657	34.985	35.0999	35.0185	34.7838	35.1772	35.1548	35.1099	35.0456	35.0013	35.0824	34.9804	35.042	35.1349	35.2256	35.2255	35.2845	35.3238	35.1835	35.2412	35.2907	35.2923	35.2682	35.3716	35.1908	35.2954	35.2302	35.1521	35.2118	35.1704	35.2468	35.2633	35.1836	35.1574	35.3955	35.1947	35.2168	35.085	35.1763	35.2232	35.0563	35.1896	35.2296	35.2322	35.1982	35.0318	35.1655	35.1198	35.1463	35.1713	35.1442	35.0583	35.2238	35.1472	35.1876	35.1391	35.1287	35.1723	35.1526	35.2059	35.0188	34.9689	34.885	35.0965	35.0084	34.7723	34.8804	34.9135	34.8352	34.91	34.9751	34.8273	35.0746	34.9387	34.5033	34.8583	34.7793	34.7745	34.9188	34.7934	34.763
V350082740_L01_09-09_1	35.2351	34.8017	35.2352	35.076	35.1341	34.7854	35.2589	35.1783	35.4597	35.2187	34.9901	35.2194	35.191	35.071	35.0297	35.3649	35.0913	35.1286	35.0883	35.1563	35.0967	35.2437	35.1314	34.8743	35.3025	35.2678	35.2243	35.1597	35.093	35.2042	35.0448	35.1018	35.2048	35.2893	35.297	35.3703	35.432	35.2854	35.3512	35.3668	35.36	35.3719	35.4534	35.3046	35.3932	35.3094	35.2575	35.2739	35.2586	35.3315	35.3322	35.2348	35.2414	35.4735	35.3014	35.3059	35.1772	35.2455	35.3125	35.1725	35.2659	35.3273	35.3056	35.2974	35.1387	35.2719	35.2152	35.2295	35.2571	35.249	35.1614	35.3074	35.1946	35.2965	35.232	35.2033	35.2418	35.2256	35.2646	35.0913	35.0355	35.0009	35.1439	35.0693	34.8864	34.9511	35.033	34.9823	35.0193	35.0753	34.9461	35.1728	35.0071	34.643	34.9587	34.8956	34.8379	35.0197	34.925	34.9139
V350082740_L01_10-10_1	35.6823	35.275	35.6289	35.4692	35.5688	35.2887	35.6368	35.6139	35.7888	35.5603	35.4244	35.5882	35.6247	35.451	35.4055	35.7676	35.4672	35.5868	35.4722	35.5802	35.4841	35.5331	35.5419	35.3423	35.6807	35.6313	35.6	35.5721	35.5312	35.548	35.5214	35.496	35.6276	35.6374	35.6895	35.7223	35.7629	35.6128	35.6819	35.743	35.7367	35.7103	35.7904	35.6534	35.7212	35.6288	35.645	35.6804	35.6659	35.6654	35.7041	35.6265	35.6146	35.7994	35.6226	35.6403	35.5745	35.6134	35.7127	35.5022	35.6213	35.6726	35.6316	35.5888	35.4879	35.6774	35.5619	35.5839	35.5904	35.5399	35.4976	35.6612	35.5882	35.6197	35.5821	35.5425	35.5528	35.5447	35.6081	35.4902	35.4334	35.3906	35.4985	35.4786	35.2743	35.4081	35.3484	35.3512	35.43	35.4044	35.3034	35.4911	35.2995	35.0251	35.3115	35.1714	35.2478	35.3236	35.2915	35.1862
