Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
V350082740_L01_01-01	2217290.0	0.0	2217290.0	0.0	1108645.0	1108645.0	2212449.0	2210358.0	4841.0	1980456.0	2217290.0	0.0	7.0	0.0	0.0	8991.0	221645028.0	110822514.0	110822514.0	221181197.0	220841008.0	0.0	0.0	1167129.0	0.005284929	99.0	100.0	100.0	100.0	100.0	100.0	35.0	209.0	67.0	1101843.0	3093.0	243.0	0.0	89.3	99.78167041749163	99.68736610907911	0.21832958250837733	89.31876299446621	100.0	0.0	0.0003157006976985419	0.0
V350082740_L01_02-02	3217580.0	0.0	3217580.0	0.0	1608790.0	1608790.0	3210859.0	3208358.0	6721.0	2984608.0	3217580.0	0.0	23.0	0.0	0.0	18913.0	321634758.0	160817379.0	160817379.0	320994199.0	320645376.0	0.0	0.0	1548360.0	0.004828886	99.0	100.0	100.0	100.0	100.0	100.0	35.4	201.5	55.3	1601314.0	2467.0	398.0	0.0	92.8	99.7911163048005	99.71338707973074	0.2088836951994978	92.7594030296061	100.0	0.0	0.0007148229414653248	0.0
V350082740_L01_03-03	2544652.0	0.0	2544652.0	0.0	1272326.0	1272326.0	928790.0	914322.0	1615862.0	878952.0	2544652.0	0.0	478.0	0.0	0.0	10277.0	211372980.0	105686490.0	105686490.0	52959242.0	30823653.0	0.0	0.0	194452.0	0.006308532	83.0	83.0	83.0	100.0	100.0	100.0	34.9	35.0	27.5	170691.0	285534.0	936.0	0.0	34.5	36.49968640112676	35.93112142642688	63.50031359887325	34.54114747321048	100.0	0.0	0.018784493911151702	0.0
V350082740_L01_04-04	12041518.0	0.0	12041518.0	0.0	6020759.0	6020759.0	11934088.0	11924624.0	107430.0	11376210.0	12041518.0	0.0	59.0	0.0	0.0	21719.0	1202750130.0	601375065.0	601375065.0	1192285437.0	1190010090.0	0.0	0.0	6242443.0	0.005245706	99.0	100.0	100.0	100.0	100.0	100.0	35.5	195.1	42.0	5948909.0	12005.0	1398.0	0.0	94.5	99.10783673619888	99.02924199424025	0.8921632638011254	94.47488265183841	100.0	0.0	0.000489971447121534	0.0
V350082740_L01_05-05	6384480.0	0.0	6384480.0	0.0	3192240.0	3192240.0	6365200.0	6359726.0	19280.0	6023670.0	6384480.0	0.0	35.0	0.0	0.0	12600.0	637864466.0	318932233.0	318932233.0	636062443.0	634874195.0	0.0	0.0	3330869.0	0.005246502	99.0	100.0	100.0	100.0	100.0	100.0	35.5	196.9	45.5	3173883.0	5202.0	778.0	0.0	94.3	99.6980176929053	99.61227852542416	0.30198230709470464	94.34863920006015	100.0	0.0	0.0005482043956594742	0.0
V350082740_L01_06-06	5509820.0	0.0	5509820.0	0.0	2754910.0	2754910.0	5499342.0	5495044.0	10478.0	5181872.0	5509820.0	0.0	31.0	0.0	0.0	6527.0	550824904.0	275412452.0	275412452.0	549813322.0	548940491.0	0.0	0.0	2978898.0	0.005426632	99.0	100.0	100.0	100.0	100.0	100.0	35.4	198.4	48.2	2744618.0	2309.0	595.0	0.0	94.0	99.80983044818161	99.73182427012135	0.1901695518183897	94.04793623022168	100.0	0.0	0.000562631810113579	0.0
V350082740_L01_07-07	6231612.0	0.0	6231612.0	0.0	3115806.0	3115806.0	6217803.0	6212750.0	13809.0	5785054.0	6231612.0	0.0	29.0	0.0	0.0	10283.0	622813176.0	311406588.0	311406588.0	621511342.0	620497810.0	0.0	0.0	3374453.0	0.0054383	99.0	100.0	100.0	100.0	100.0	100.0	35.2	201.9	55.3	3101937.0	3466.0	972.0	0.0	92.8	99.77840404697854	99.6973174838228	0.2215959530214654	92.8339890224231	100.0	0.0	0.00046536915327847757	0.0
V350082740_L01_08-08	1952222.0	0.0	1952222.0	0.0	976111.0	976111.0	1948410.0	1946666.0	3812.0	1706958.0	1952222.0	0.0	9.0	0.0	0.0	2110.0	195168128.0	97584064.0	97584064.0	194801126.0	194513685.0	0.0	0.0	1019748.0	0.005242552	99.0	100.0	100.0	100.0	100.0	100.0	35.0	214.1	72.7	972444.0	643.0	246.0	0.0	87.4	99.80473532210988	99.71540121973833	0.195264677890117	87.43667472244448	100.0	0.0	0.0004610131429724693	0.0
V350082740_L01_09-09	2500730.0	0.0	2500730.0	0.0	1250365.0	1250365.0	2495461.0	2493286.0	5269.0	2160348.0	2500730.0	0.0	12.0	0.0	0.0	2374.0	249990606.0	124995303.0	124995303.0	249484311.0	249162033.0	0.0	0.0	1216352.0	0.004881771	99.0	100.0	100.0	100.0	100.0	100.0	35.1	216.7	75.7	1245341.0	1034.0	268.0	0.0	86.4	99.789301523955	99.70232692053919	0.21069847604499486	86.38869450120565	100.0	0.0	0.0004798598809147729	0.0
V350082740_L01_10-10	5012586.0	0.0	5012586.0	0.0	2506293.0	2506293.0	5003787.0	4999868.0	8799.0	4571252.0	5012586.0	0.0	20.0	0.0	0.0	3312.0	501135492.0	250567746.0	250567746.0	500281070.0	499587717.0	0.0	0.0	2331551.0	0.00466695	99.0	100.0	100.0	100.0	100.0	100.0	35.3	205.7	61.5	2497516.0	1892.0	526.0	0.0	91.2	99.82446186459444	99.74627866733857	0.17553813540555713	91.19548273086986	100.0	0.0	0.00039899564815446556	0.0
