,cluster1,cluster2,cluster3
1,30.0,29.0,27.0
2,29.0,25.0,25.0
31,21.0,11.0,17.0
38,12.0,6.0,11.0
44,32.0,6.0,7.0
47,18.0,17.0,17.0
52,17.0,16.0,18.0
75,16.0,2.0,5.0
95,12.0,11.0,11.0
97,24.0,17.0,20.0
99,19.0,13.0,16.0
102,4.0,1.0,5.0
115,13.0,7.0,11.0
124,5.0,2.0,4.0
157,36.0,25.0,25.0
163,13.0,11.0,11.0
187,35.0,25.0,27.0
195,22.0,16.0,16.0
196,20.0,12.0,13.0
241,36.0,30.0,29.0
253,29.0,20.0,19.0
289,13.0,2.0,4.0
290,36.0,29.0,29.0
291,36.0,29.0,26.0
292,33.0,28.0,22.0
293,32.0,27.0,20.0
314,24.0,14.0,17.0
316,28.0,14.0,14.0
317,32.0,18.0,22.0
318,34.0,17.0,24.0
319,21.0,7.0,8.0
322,30.0,15.0,19.0
324,35.0,19.0,24.0
325,24.0,13.0,14.0
326,33.0,16.0,22.0
330,34.0,27.0,28.0
333,33.0,19.0,24.0
339,33.0,20.0,27.0
341,25.0,13.0,12.0
342,31.0,14.0,12.0
343,21.0,12.0,12.0
345,32.0,16.0,23.0
350,27.0,26.0,21.0
352,32.0,17.0,21.0
356,32.0,16.0,22.0
358,33.0,15.0,20.0
361,34.0,28.0,27.0
363,34.0,23.0,28.0
365,30.0,15.0,22.0
369,29.0,13.0,20.0
372,33.0,26.0,26.0
375,36.0,25.0,28.0
378,34.0,25.0,27.0
382,35.0,28.0,28.0
383,36.0,29.0,29.0
384,34.0,25.0,26.0
385,36.0,29.0,29.0
386,35.0,27.0,26.0
387,36.0,29.0,29.0
388,36.0,28.0,28.0
389,36.0,28.0,28.0
391,36.0,27.0,27.0
394,35.0,27.0,28.0
396,34.0,24.0,27.0
399,33.0,18.0,20.0
400,34.0,19.0,23.0
401,34.0,27.0,21.0
402,34.0,14.0,17.0
406,34.0,21.0,24.0
408,34.0,21.0,24.0
411,34.0,20.0,24.0
413,32.0,25.0,23.0
416,34.0,21.0,26.0
420,26.0,14.0,13.0
422,27.0,17.0,15.0
423,36.0,28.0,29.0
424,36.0,19.0,21.0
425,13.0,6.0,3.0
429,26.0,13.0,19.0
439,36.0,26.0,29.0
444,32.0,18.0,22.0
445,36.0,30.0,29.0
447,29.0,16.0,18.0
451,36.0,28.0,29.0
453,34.0,28.0,29.0
454,32.0,15.0,24.0
457,27.0,11.0,15.0
459,34.0,15.0,24.0
460,35.0,21.0,27.0
469,27.0,13.0,14.0
471,33.0,12.0,21.0
473,34.0,23.0,27.0
474,29.0,15.0,20.0
476,29.0,13.0,16.0
479,29.0,13.0,16.0
480,33.0,15.0,22.0
481,36.0,26.0,28.0
482,26.0,24.0,18.0
483,22.0,20.0,18.0
484,34.0,27.0,25.0
489,33.0,23.0,28.0
490,29.0,13.0,17.0
493,34.0,18.0,25.0
496,33.0,20.0,24.0
497,32.0,14.0,24.0
499,34.0,20.0,26.0
500,35.0,28.0,27.0
501,16.0,5.0,5.0
502,36.0,28.0,28.0
505,34.0,24.0,26.0
511,34.0,26.0,26.0
513,35.0,18.0,22.0
514,33.0,17.0,24.0
516,31.0,15.0,19.0
522,36.0,30.0,29.0
523,34.0,25.0,27.0
525,35.0,24.0,24.0
527,19.0,11.0,8.0
531,31.0,14.0,16.0
532,30.0,15.0,15.0
534,31.0,11.0,17.0
535,35.0,22.0,27.0
537,34.0,21.0,25.0
538,35.0,26.0,27.0
540,33.0,16.0,25.0
542,19.0,6.0,14.0
543,36.0,30.0,29.0
544,36.0,29.0,29.0
545,36.0,29.0,29.0
548,26.0,12.0,15.0
549,34.0,20.0,26.0
550,23.0,10.0,12.0
557,31.0,14.0,16.0
559,22.0,13.0,17.0
565,33.0,20.0,24.0
568,36.0,25.0,29.0
570,36.0,29.0,29.0
572,36.0,29.0,29.0
574,36.0,29.0,29.0
576,35.0,17.0,24.0
577,35.0,25.0,28.0
580,36.0,29.0,29.0
582,36.0,29.0,29.0
585,35.0,22.0,27.0
586,36.0,28.0,29.0
588,36.0,29.0,29.0
592,36.0,29.0,29.0
594,36.0,28.0,28.0
595,35.0,20.0,28.0
597,35.0,22.0,27.0
603,33.0,18.0,26.0
604,36.0,18.0,23.0
605,36.0,25.0,29.0
610,33.0,18.0,27.0
620,35.0,30.0,29.0
621,36.0,29.0,29.0
623,36.0,29.0,29.0
624,36.0,29.0,29.0
625,36.0,29.0,29.0
626,36.0,28.0,29.0
627,36.0,29.0,29.0
628,36.0,29.0,29.0
629,36.0,28.0,26.0
630,36.0,29.0,29.0
631,36.0,29.0,29.0
632,34.0,27.0,27.0
633,36.0,29.0,29.0
634,36.0,29.0,29.0
635,36.0,29.0,29.0
636,36.0,29.0,29.0
637,36.0,29.0,29.0
638,36.0,29.0,29.0
639,36.0,29.0,29.0
640,36.0,28.0,29.0
641,36.0,29.0,29.0
642,36.0,29.0,29.0
644,31.0,19.0,22.0
646,23.0,12.0,11.0
648,34.0,15.0,22.0
652,36.0,28.0,28.0
655,34.0,28.0,29.0
658,34.0,19.0,23.0
661,36.0,26.0,26.0
662,29.0,16.0,16.0
663,35.0,22.0,26.0
666,36.0,28.0,29.0
670,33.0,8.0,9.0
673,26.0,8.0,6.0
674,35.0,14.0,18.0
676,25.0,10.0,15.0
677,35.0,18.0,21.0
682,32.0,14.0,22.0
686,35.0,27.0,28.0
687,30.0,29.0,29.0
