Month,AgeRange,Population
2020-07,10-19,0
2020-07,20-29,1
2020-07,30-39,0
2020-07,40-49,0
2020-07,50-59,0
2020-07,60-69,0
2020-07,70-79,0
2020-08,10-19,0
2020-08,20-29,1
2020-08,30-39,1
2020-08,40-49,1
2020-08,50-59,1
2020-08,60-69,0
2020-08,70-79,0
2020-09,10-19,0
2020-09,20-29,0
2020-09,30-39,3
2020-09,40-49,0
2020-09,50-59,0
2020-09,60-69,0
2020-09,70-79,1
2020-10,10-19,1
2020-10,20-29,1
2020-10,30-39,3
2020-10,40-49,1
2020-10,50-59,1
2020-10,60-69,0
2020-10,70-79,0
2020-11,10-19,0
2020-11,20-29,1
2020-11,30-39,0
2020-11,40-49,0
2020-11,50-59,3
2020-11,60-69,0
2020-11,70-79,0
2020-12,10-19,1
2020-12,20-29,0
2020-12,30-39,1
2020-12,40-49,2
2020-12,50-59,0
2020-12,60-69,0
2020-12,70-79,0
2021-01,10-19,0
2021-01,20-29,0
2021-01,30-39,0
2021-01,40-49,0
2021-01,50-59,0
2021-01,60-69,0
2021-01,70-79,0
2021-02,10-19,0
2021-02,20-29,0
2021-02,30-39,0
2021-02,40-49,0
2021-02,50-59,0
2021-02,60-69,0
2021-02,70-79,0
2021-03,10-19,0
2021-03,20-29,0
2021-03,30-39,0
2021-03,40-49,0
2021-03,50-59,0
2021-03,60-69,0
2021-03,70-79,0
2021-04,10-19,3
2021-04,20-29,4
2021-04,30-39,5
2021-04,40-49,4
2021-04,50-59,3
2021-04,60-69,2
2021-04,70-79,1
2021-05,10-19,0
2021-05,20-29,0
2021-05,30-39,0
2021-05,40-49,1
2021-05,50-59,0
2021-05,60-69,0
2021-05,70-79,0
