Sample	Top over-represented sequence	Sum of remaining over-represented sequences
V350082740_L14_01-01_1	4.245344487354049	77.1913936893392
V350082740_L14_01-01_2	3.8917704604786016	74.14140550394704
V350082740_L14_02-02_1	5.480264638949118	74.15341266544421
V350082740_L14_02-02_2	5.127914709883092	73.12763912893298
V350082740_L14_03-03_1	21.812791617324372	42.78076816109978
V350082740_L14_03-03_2	21.015376177378585	40.431635337784485
V350082740_L14_04-04_1	1.7442093372354104	77.83428372096097
V350082740_L14_04-04_2	1.6643945066388024	76.33763542532354
V350082740_L14_05-05_1	2.275637707400234	76.7902001060838
V350082740_L14_05-05_2	2.189392358226815	76.26031713340583
V350082740_L14_06-06_1	1.9049069456377465	78.62186538038517
V350082740_L14_06-06_2	1.8530650804515052	78.3400639538685
V350082740_L14_07-07_1	2.824615475269863	75.58434500763359
V350082740_L14_07-07_2	2.670972322702099	75.11154952624129
V350082740_L14_08-08_1	2.3221193633938557	80.32467388313324
V350082740_L14_08-08_2	2.2525515511686103	74.56735016074165
V350082740_L14_09-09_1	2.430128282300242	80.40497357515511
V350082740_L14_09-09_2	2.2723710289004826	75.02191634058114
V350082740_L14_10-10_1	2.2335787075774207	79.52019823401486
V350082740_L14_10-10_2	2.195228905795314	77.71259856483474
V350082740_L14_11-11_1	2.482752425697082	79.94866059038301
V350082740_L14_11-11_2	2.389031646411305	77.46005183469528
V350082740_L14_12-12_1	2.9798141907661067	79.31792748855622
V350082740_L14_12-12_2	2.8275387287953464	74.86715994395612
V350082740_L14_13-13_1	2.2331770521806362	80.63124041001232
V350082740_L14_13-13_2	2.0695097684858275	77.30758490826544
V350082740_L14_14-14_1	2.7643326658052434	73.4286307066834
V350082740_L14_14-14_2	2.720973833842466	73.47312874362609
V350082740_L14_15-15_1	2.706222131176604	77.90759343983291
V350082740_L14_15-15_2	2.5875205298965698	76.36556040981495
V350082740_L14_16-16_1	2.004566019033667	78.83345998250829
V350082740_L14_16-16_2	1.951445393520641	76.4921632186971
V350082740_L14_17-17_1	2.220824911915183	72.8024474206292
V350082740_L14_17-17_2	2.1231281953859575	72.56593252529403
V350082740_L14_18-18_1	2.7841447232412007	75.27257003706787
V350082740_L14_18-18_2	2.7131100448564163	72.22222556094563
V350082740_L14_19-19_1	2.839568942731223	77.05418416571275
V350082740_L14_19-19_2	2.684500851950742	75.51735962026913
V350082740_L14_20-20_1	1.9342937059098884	71.73139513935534
V350082740_L14_20-20_2	1.8581974421906986	70.50953367333065
V350082740_L14_21-21_1	2.8667246893335077	78.67429190911562
V350082740_L14_21-21_2	2.641301997293146	76.87812461145533
V350082740_L14_22-22_1	2.7896300424432017	77.33155815434593
V350082740_L14_22-22_2	2.683673215163836	76.9455794801984
V350082740_L14_23-23_1	3.141917829558642	75.76198918140216
V350082740_L14_23-23_2	3.0171822161207817	75.27901159992966
V350082740_L14_24-24_1	2.6062279270250954	79.42171219286931
V350082740_L14_24-24_2	2.2241704727962808	74.56168354400424
V350082740_L14_25-25_1	2.8792357731104787	76.85728141943258
V350082740_L14_25-25_2	2.7757429696492726	77.04747517741338
V350082740_L14_26-26_1	2.768375173598382	76.13001582878847
V350082740_L14_26-26_2	2.642572057225832	75.29142130488678
V350082740_L14_27-27_1	2.761783668993909	77.72381024366152
V350082740_L14_27-27_2	2.628948788792319	76.72102190189136
V350082740_L14_28-28_1	2.9344711430050956	78.4404837519956
V350082740_L14_28-28_2	2.7101256726294642	75.84853379728852
V350082740_L14_29-29_1	2.3512585234958783	78.93819634414822
V350082740_L14_29-29_2	2.217640014529886	76.75742488637869
V350082740_L14_30-30_1	2.6819914969598506	77.82757818022145
V350082740_L14_30-30_2	2.507678980403999	76.43067226931406
V350082740_L14_31-31_1	2.6462008612307266	78.17463522244876
V350082740_L14_31-31_2	2.4839439011950053	74.26171378238362
V350082740_L14_32-32_1	2.382743621342037	77.20512303580313
V350082740_L14_32-32_2	2.268841106858203	75.87227719151302
V350082740_L14_33-33_1	2.250056630705938	77.46532800936455
V350082740_L14_33-33_2	2.083434541930902	75.81768708356233
V350082740_L14_34-34_1	2.5585485412445004	78.00069602106662
V350082740_L14_34-34_2	2.464980589026794	76.3848300088179
V350082740_L14_35-35_1	2.463608524825685	80.66589977164618
V350082740_L14_35-35_2	2.5001475673540647	75.0646375358847
V350082740_L14_36-36_1	2.3017655831450403	75.41181210862217
V350082740_L14_36-36_2	2.3192322985356126	74.93057209254164
V350082740_L14_37-37_1	2.909392114404592	76.48986785014881
V350082740_L14_37-37_2	2.8058779728059564	75.77733440158971
V350082740_L14_38-38_1	2.5613849609684083	78.45144907216458
V350082740_L14_38-38_2	2.349394313693702	72.4108334033045
V350082740_L14_39-39_1	2.812959010693422	79.58054622111744
V350082740_L14_39-39_2	2.5493062695126434	74.32482930054162
V350082740_L14_40-40_1	2.398709375759612	77.6331536843018
V350082740_L14_40-40_2	1.7640285972770346	73.47779572031723
V350082740_L14_41-41_1	3.1641951102913866	80.44253358294955
V350082740_L14_41-41_2	2.8771922091015165	75.93870659259242
V350082740_L14_42-42_1	2.502080244313482	81.48610807404859
V350082740_L14_42-42_2	2.930226835158533	75.86822900971829
V350082740_L14_43-43_1	2.9735312727207663	79.03741210570577
V350082740_L14_43-43_2	2.580753772358861	72.76518743463325
V350082740_L14_44-44_1	2.4672145455528516	79.37913714552195
V350082740_L14_44-44_2	2.1905328336966257	74.29361914454729
V350082740_L14_45-45_1	2.891980648108622	77.93916211702496
V350082740_L14_45-45_2	2.6554928965677354	73.48259153579433
V350082740_L14_46-46_1	2.82434762872839	80.39413855178618
V350082740_L14_46-46_2	2.737224153449828	74.17597632608086
V350082740_L14_47-47_1	2.981864207140595	79.83743680928082
V350082740_L14_47-47_2	2.9893921395337397	75.3887800684439
V350082740_L14_48-48_1	2.651718096854463	80.92465110957819
V350082740_L14_48-48_2	2.599176495414377	75.59259066579193
V350082740_L14_49-49_1	2.9274665853367017	77.07105852401426
V350082740_L14_49-49_2	2.825445955708533	75.74736624567026
V350082740_L14_50-50_1	5.185514523038173	71.96834153134144
V350082740_L14_50-50_2	4.123714225818945	72.39246059227878
V350082740_L14_51-51_1	2.126599021358514	79.05025127192171
V350082740_L14_51-51_2	2.026746691890533	76.82628986300321
V350082740_L14_52-52_1	2.08671731993009	79.7754310195738
V350082740_L14_52-52_2	2.029708903437683	77.17540542198098
V350082740_L14_53-53_1	3.2347668129931804	55.873859877385875
V350082740_L14_53-53_2	3.098828262083164	52.703095516338685
V350082740_L14_54-54_1	5.552185794888198	75.14509616395249
V350082740_L14_54-54_2	5.346877938335972	73.61502678564707
V350082740_L14_55-55_1	2.6950558170545826	77.68276424205025
V350082740_L14_55-55_2	2.5939960118454675	76.34986569535943
V350082740_L14_56-56_1	3.2347534249513004	69.19080533567217
V350082740_L14_56-56_2	3.1527539440059904	69.12830322947421
V350082740_L14_57-57_1	2.1156902454261104	79.17906354006769
V350082740_L14_57-57_2	1.9940553578615072	77.17560600500109
V350082740_L14_58-58_1	3.747388464689178	76.11070182665136
V350082740_L14_58-58_2	3.690303859432103	75.52596054826306
V350082740_L14_59-59_1	4.042362689354462	74.64217450746449
V350082740_L14_59-59_2	3.89178613733481	73.96052136106998
V350082740_L14_60-60_1	2.4931860960275416	77.33395203795332
V350082740_L14_60-60_2	2.4305222776801925	76.24097332244335
V350082740_L14_61-61_1	4.936432336805076	53.2491772293208
V350082740_L14_61-61_2	4.991972553290487	51.16012370107901
V350082740_L14_62-62_1	10.401137189098268	67.47891162552656
V350082740_L14_62-62_2	10.064091987449352	67.57513974773263
V350082740_L14_63-63_1	2.42640846332435	78.57097563378053
V350082740_L14_63-63_2	2.3146492316584153	76.27595131317722
V350082740_L14_64-64_1	1.6925523471068675	75.12158980545766
V350082740_L14_64-64_2	1.6117366259665316	74.52064480733465
V350082740_L14_65-65_1	1.83224325899153	76.59126927158543
V350082740_L14_65-65_2	1.7200602531731084	76.57312189128245
V350082740_L14_66-66_1	5.0022788067244885	74.0282036549223
V350082740_L14_66-66_2	4.894422614714092	72.92599782462703
V350082740_L14_67-67_1	1.9605055463395842	76.6600543850242
V350082740_L14_67-67_2	1.9117124764953932	75.52573637471424
V350082740_L14_68-68_1	5.01524274582325	64.84944674268415
V350082740_L14_68-68_2	5.108443190195721	64.28949382985878
V350082740_L14_69-69_1	2.440275907963682	75.56206764910797
V350082740_L14_69-69_2	2.259139688747188	75.84805728953795
V350082740_L14_70-70_1	2.67339372462058	76.01879831612325
V350082740_L14_70-70_2	2.8091797556326394	74.98129879888602
V350082740_L14_71-71_1	3.3883713928057806	68.04895680117058
V350082740_L14_71-71_2	2.397589615305147	68.79205708242054
V350082740_L14_72-72_1	2.503526241360366	77.67035882191087
V350082740_L14_72-72_2	2.340144486768482	74.69522579371281
V350082740_L14_73-73_1	3.427301595054546	69.21075667912439
V350082740_L14_73-73_2	3.484392023656603	67.47502006172883
V350082740_L14_74-74_1	3.9019472918639586	65.52820574591706
V350082740_L14_74-74_2	3.9581216215062214	63.95041797027221
V350082740_L14_75-75_1	2.241806077082776	75.45423990477693
V350082740_L14_75-75_2	1.5918269241996674	75.68301029134398
