Sample	Unique Reads	Duplicate Reads
V350082740_L14_01-01_1	159060.0	4238039.0
V350082740_L14_01-01_2	183140.0	4213959.0
V350082740_L14_02-02_1	181659.0	6219364.0
V350082740_L14_02-02_2	197952.0	6203071.0
V350082740_L14_03-03_1	406934.0	4749224.0
V350082740_L14_03-03_2	513268.0	4642890.0
V350082740_L14_04-04_1	678036.0	23236066.0
V350082740_L14_04-04_2	669053.0	23245049.0
V350082740_L14_05-05_1	369952.0	12312471.0
V350082740_L14_05-05_2	404749.0	12277674.0
V350082740_L14_06-06_1	314036.0	10605710.0
V350082740_L14_06-06_2	307345.0	10612401.0
V350082740_L14_07-07_1	379711.0	11974891.0
V350082740_L14_07-07_2	413280.0	11941322.0
V350082740_L14_08-08_1	138923.0	3734995.0
V350082740_L14_08-08_2	178640.0	3695278.0
V350082740_L14_09-09_1	155804.0	4794840.0
V350082740_L14_09-09_2	198483.0	4752161.0
V350082740_L14_10-10_1	271353.0	9653079.0
V350082740_L14_10-10_2	305427.0	9619005.0
V350082740_L14_11-11_1	355145.0	15029917.0
V350082740_L14_11-11_2	406195.0	14978867.0
V350082740_L14_12-12_1	258537.0	9810715.0
V350082740_L14_12-12_2	356743.0	9712509.0
V350082740_L14_13-13_1	334424.0	14165725.0
V350082740_L14_13-13_2	432002.0	14068147.0
V350082740_L14_14-14_1	130048.0	2766709.0
V350082740_L14_14-14_2	141406.0	2755351.0
V350082740_L14_15-15_1	324703.0	11718100.0
V350082740_L14_15-15_2	355415.0	11687388.0
V350082740_L14_16-16_1	229724.0	6989694.0
V350082740_L14_16-16_2	263534.0	6955884.0
V350082740_L14_17-17_1	505567.0	13406876.0
V350082740_L14_17-17_2	480521.0	13431922.0
V350082740_L14_18-18_1	146224.0	3181728.0
V350082740_L14_18-18_2	192406.0	3135546.0
V350082740_L14_19-19_1	253112.0	7865902.0
V350082740_L14_19-19_2	328742.0	7790272.0
V350082740_L14_20-20_1	613441.0	14035110.0
V350082740_L14_20-20_2	639240.0	14009311.0
V350082740_L14_21-21_1	304790.0	10923006.0
V350082740_L14_21-21_2	330384.0	10897412.0
V350082740_L14_22-22_1	416694.0	16120230.0
V350082740_L14_22-22_2	385710.0	16151214.0
V350082740_L14_23-23_1	493319.0	16299800.0
V350082740_L14_23-23_2	467435.0	16325684.0
V350082740_L14_24-24_1	199807.0	6688424.0
V350082740_L14_24-24_2	267962.0	6620269.0
V350082740_L14_25-25_1	307991.0	10816454.0
V350082740_L14_25-25_2	294366.0	10830079.0
V350082740_L14_26-26_1	453711.0	14971980.0
V350082740_L14_26-26_2	449940.0	14975751.0
V350082740_L14_27-27_1	367298.0	13154000.0
V350082740_L14_27-27_2	397763.0	13123535.0
V350082740_L14_28-28_1	311143.0	11791174.0
V350082740_L14_28-28_2	362591.0	11739726.0
V350082740_L14_29-29_1	508488.0	19901858.0
V350082740_L14_29-29_2	497584.0	19912762.0
V350082740_L14_30-30_1	405927.0	15098410.0
V350082740_L14_30-30_2	439959.0	15064378.0
V350082740_L14_31-31_1	173693.0	5398333.0
V350082740_L14_31-31_2	208965.0	5363061.0
V350082740_L14_32-32_1	521678.0	19110900.0
V350082740_L14_32-32_2	506204.0	19126374.0
V350082740_L14_33-33_1	270901.0	8765716.0
V350082740_L14_33-33_2	306057.0	8730560.0
V350082740_L14_34-34_1	302732.0	9978566.0
V350082740_L14_34-34_2	322078.0	9959220.0
V350082740_L14_35-35_1	192263.0	6397948.0
V350082740_L14_35-35_2	245336.0	6344875.0
V350082740_L14_36-36_1	357455.0	10577629.0
V350082740_L14_36-36_2	375040.0	10560044.0
V350082740_L14_37-37_1	379266.0	12525251.0
V350082740_L14_37-37_2	403353.0	12501164.0
V350082740_L14_38-38_1	178356.0	5502555.0
V350082740_L14_38-38_2	295308.0	5385603.0
V350082740_L14_39-39_1	180504.0	5650651.0
V350082740_L14_39-39_2	230625.0	5600530.0
V350082740_L14_40-40_1	95326.0	1842341.0
V350082740_L14_40-40_2	114879.0	1822788.0
V350082740_L14_41-41_1	157379.0	5105634.0
V350082740_L14_41-41_2	199154.0	5063859.0
V350082740_L14_42-42_1	185459.0	7072102.0
V350082740_L14_42-42_2	241661.0	7015900.0
V350082740_L14_43-43_1	185676.0	5962334.0
V350082740_L14_43-43_2	275389.0	5872621.0
V350082740_L14_44-44_1	248808.0	8332894.0
V350082740_L14_44-44_2	324678.0	8257024.0
V350082740_L14_45-45_1	177258.0	5163822.0
V350082740_L14_45-45_2	252471.0	5088609.0
V350082740_L14_46-46_1	131864.0	3992168.0
V350082740_L14_46-46_2	171867.0	3952165.0
V350082740_L14_47-47_1	86955.0	1905624.0
V350082740_L14_47-47_2	100135.0	1892444.0
V350082740_L14_48-48_1	144483.0	4295808.0
V350082740_L14_48-48_2	185431.0	4254860.0
V350082740_L14_49-49_1	223440.0	6570284.0
V350082740_L14_49-49_2	245745.0	6547979.0
V350082740_L14_50-50_1	612413.0	19751680.0
V350082740_L14_50-50_2	534192.0	19829901.0
V350082740_L14_51-51_1	287414.0	10315243.0
V350082740_L14_51-51_2	340946.0	10261711.0
V350082740_L14_52-52_1	271119.0	10050164.0
V350082740_L14_52-52_2	297556.0	10023727.0
V350082740_L14_53-53_1	750531.0	9938122.0
V350082740_L14_53-53_2	895849.0	9792804.0
V350082740_L14_54-54_1	368259.0	15453834.0
V350082740_L14_54-54_2	392729.0	15429364.0
V350082740_L14_55-55_1	507486.0	19072999.0
