Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
V350082740_L14_01-01_1	V350082740_L14_01-01_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4397099.0	0.0	100.0	37.0	3.6173686869205977	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_01-01_2	V350082740_L14_01-01_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4397099.0	0.0	100.0	38.0	4.164998810395862	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_02-02_1	V350082740_L14_02-02_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6401023.0	0.0	100.0	37.0	2.8379654059947153	100.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
V350082740_L14_02-02_2	V350082740_L14_02-02_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6401023.0	0.0	100.0	39.0	3.0925015155178777	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_03-03_1	V350082740_L14_03-03_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5156158.0	0.0	100.0	56.0	7.8921854475227216	100.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
V350082740_L14_03-03_2	V350082740_L14_03-03_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5156158.0	0.0	100.0	57.0	9.954447659390533	100.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
V350082740_L14_04-04_1	V350082740_L14_04-04_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23914102.0	0.0	100.0	38.0	2.835294388480126	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_04-04_2	V350082740_L14_04-04_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23914102.0	0.0	100.0	38.0	2.7977334146848056	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_05-05_1	V350082740_L14_05-05_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12682423.0	0.0	100.0	37.0	2.9170385967985535	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_05-05_2	V350082740_L14_05-05_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12682423.0	0.0	100.0	38.0	3.1914111901424516	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_06-06_1	V350082740_L14_06-06_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10919746.0	0.0	100.0	37.0	2.8758500759767807	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_06-06_2	V350082740_L14_06-06_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10919746.0	0.0	100.0	38.0	2.814575501148983	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_07-07_1	V350082740_L14_07-07_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12354602.0	0.0	100.0	37.0	3.073434546024557	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_07-07_2	V350082740_L14_07-07_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12354602.0	0.0	100.0	37.0	3.345147384861501	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_08-08_1	V350082740_L14_08-08_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3873918.0	0.0	100.0	37.0	3.5860939323758014	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_08-08_2	V350082740_L14_08-08_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3873918.0	0.0	100.0	37.0	4.611332907773393	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_09-09_1	V350082740_L14_09-09_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4950644.0	0.0	100.0	37.0	3.147131651571283	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_09-09_2	V350082740_L14_09-09_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4950644.0	0.0	100.0	37.0	4.00923235210365	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_10-10_1	V350082740_L14_10-10_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9924432.0	0.0	100.0	37.0	2.7341901405495337	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_10-10_2	V350082740_L14_10-10_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9924432.0	0.0	100.0	38.0	3.077519562044715	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_11-11_1	V350082740_L14_11-11_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15385062.0	0.0	100.0	37.0	2.308371955681209	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_11-11_2	V350082740_L14_11-11_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15385062.0	0.0	100.0	38.0	2.6401887397316606	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_12-12_1	V350082740_L14_12-12_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10069252.0	0.0	100.0	37.0	2.567580161338684	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_12-12_2	V350082740_L14_12-12_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10069252.0	0.0	100.0	38.0	3.5428864892967233	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_13-13_1	V350082740_L14_13-13_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14500149.0	0.0	100.0	37.0	2.3063467527859474	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_13-13_2	V350082740_L14_13-13_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14500149.0	0.0	100.0	38.0	2.9792880040230942	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_14-14_1	V350082740_L14_14-14_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2896757.0	0.0	100.0	37.0	4.489404780535827	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_14-14_2	V350082740_L14_14-14_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2896757.0	0.0	100.0	38.0	4.8815132520980935	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_15-15_1	V350082740_L14_15-15_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12042803.0	0.0	100.0	37.0	2.696235204367372	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_15-15_2	V350082740_L14_15-15_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12042803.0	0.0	100.0	38.0	2.9512574898165007	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_16-16_1	V350082740_L14_16-16_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7219418.0	0.0	100.0	37.0	3.1820164211118045	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_16-16_2	V350082740_L14_16-16_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7219418.0	0.0	100.0	38.0	3.650344210930121	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_17-17_1	V350082740_L14_17-17_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13912443.0	0.0	100.0	38.0	3.633918957114932	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_17-17_2	V350082740_L14_17-17_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13912443.0	0.0	100.0	38.0	3.4538919280233658	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_18-18_1	V350082740_L14_18-18_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3327952.0	0.0	100.0	37.0	4.393798122057618	100.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	pass
V350082740_L14_18-18_2	V350082740_L14_18-18_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3327952.0	0.0	100.0	38.0	5.781497286705927	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_19-19_1	V350082740_L14_19-19_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8119014.0	0.0	100.0	37.0	3.117520294949797	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_19-19_2	V350082740_L14_19-19_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8119014.0	0.0	100.0	38.0	4.049034646824568	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_20-20_1	V350082740_L14_20-20_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14648551.0	0.0	100.0	39.0	4.187724685781898	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_20-20_2	V350082740_L14_20-20_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14648551.0	0.0	100.0	39.0	4.363839713172397	100.0	pass	pass	pass	pass	fail	pass	pass	fail	fail	pass
V350082740_L14_21-21_1	V350082740_L14_21-21_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11227796.0	0.0	100.0	37.0	2.7146001865295446	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_21-21_2	V350082740_L14_21-21_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11227796.0	0.0	100.0	38.0	2.942547617884352	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_22-22_1	V350082740_L14_22-22_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16536924.0	0.0	100.0	37.0	2.519776440114241	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_22-22_2	V350082740_L14_22-22_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16536924.0	0.0	100.0	38.0	2.3324111512441315	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_23-23_1	V350082740_L14_23-23_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16793119.0	0.0	100.0	37.0	2.937621640137382	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_23-23_2	V350082740_L14_23-23_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16793119.0	0.0	100.0	38.0	2.7834860127715335	100.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	pass
V350082740_L14_24-24_1	V350082740_L14_24-24_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6888231.0	0.0	100.0	37.0	2.9006968283749806	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_24-24_2	V350082740_L14_24-24_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6888231.0	0.0	100.0	38.0	3.8901420411831937	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_25-25_1	V350082740_L14_25-25_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11124445.0	0.0	100.0	37.0	2.7685876961456284	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_25-25_2	V350082740_L14_25-25_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11124445.0	0.0	100.0	38.0	2.646114287021267	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_26-26_1	V350082740_L14_26-26_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15425691.0	0.0	100.0	37.0	2.9412680432473293	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_26-26_2	V350082740_L14_26-26_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15425691.0	0.0	100.0	38.0	2.9168181354793785	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_27-27_1	V350082740_L14_27-27_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13521298.0	0.0	100.0	37.0	2.716436791747684	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_27-27_2	V350082740_L14_27-27_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13521298.0	0.0	100.0	37.0	2.9417497359184472	100.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	pass
V350082740_L14_28-28_1	V350082740_L14_28-28_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12102317.0	0.0	100.0	37.0	2.5709371555823064	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_28-28_2	V350082740_L14_28-28_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12102317.0	0.0	100.0	38.0	2.996044953528012	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_29-29_1	V350082740_L14_29-29_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20410346.0	0.0	100.0	37.0	2.4913224470471818	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_29-29_2	V350082740_L14_29-29_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20410346.0	0.0	100.0	38.0	2.437896172898691	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_30-30_1	V350082740_L14_30-30_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15504337.0	0.0	100.0	37.0	2.6181490949422965	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_30-30_2	V350082740_L14_30-30_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15504337.0	0.0	100.0	38.0	2.8376498347611254	100.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	pass
V350082740_L14_31-31_1	V350082740_L14_31-31_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5572026.0	0.0	100.0	37.0	3.117223368640594	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_31-31_2	V350082740_L14_31-31_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5572026.0	0.0	100.0	38.0	3.750245150470361	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_32-32_1	V350082740_L14_32-32_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19632578.0	0.0	100.0	37.0	2.657201196544489	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_32-32_2	V350082740_L14_32-32_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19632578.0	0.0	100.0	38.0	2.578384729934684	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_33-33_1	V350082740_L14_33-33_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9036617.0	0.0	100.0	37.0	2.997809899893242	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_33-33_2	V350082740_L14_33-33_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9036617.0	0.0	100.0	38.0	3.3868526956341127	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_34-34_1	V350082740_L14_34-34_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10281298.0	0.0	100.0	37.0	2.944489746288253	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_34-34_2	V350082740_L14_34-34_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10281298.0	0.0	100.0	38.0	3.132655519905884	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_35-35_1	V350082740_L14_35-35_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6590211.0	0.0	100.0	37.0	2.9173908482216917	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_35-35_2	V350082740_L14_35-35_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6590211.0	0.0	100.0	37.0	3.7227315614170453	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_36-36_1	V350082740_L14_36-36_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10935084.0	0.0	100.0	37.0	3.2688747617607947	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_36-36_2	V350082740_L14_36-36_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10935084.0	0.0	100.0	38.0	3.429689398955566	100.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	pass
V350082740_L14_37-37_1	V350082740_L14_37-37_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12904517.0	0.0	100.0	37.0	2.939014359524859	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_37-37_2	V350082740_L14_37-37_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12904517.0	0.0	100.0	38.0	3.1256719787956904	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_38-38_1	V350082740_L14_38-38_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5680911.0	0.0	100.0	37.0	3.1395660373982297	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_38-38_2	V350082740_L14_38-38_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5680911.0	0.0	100.0	38.0	5.198235348667529	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_39-39_1	V350082740_L14_39-39_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5831155.0	0.0	100.0	37.0	3.095509893697735	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_39-39_2	V350082740_L14_39-39_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5831155.0	0.0	100.0	37.0	3.9550337023914444	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
