Sample	Pangolin_mqc-generalstats-pangolin-lineage	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	iVar_mqc-generalstats-ivar-reads_too_short_after_trimming	iVar_mqc-generalstats-ivar-reads_outside_primer_region	iVar_mqc-generalstats-ivar-trimmed_reads	iVar_mqc-generalstats-ivar-mapped_reads
Consensus_V350082740_L14_01-01	N.4																								
Consensus_V350082740_L14_02-02	N.6																								
Consensus_V350082740_L14_03-03	B.1.1																								
Consensus_V350082740_L14_04-04	N.6																								
Consensus_V350082740_L14_05-05	N.6																								
Consensus_V350082740_L14_06-06	N.6																								
Consensus_V350082740_L14_07-07	N.4																								
Consensus_V350082740_L14_08-08	N.4																								
Consensus_V350082740_L14_09-09	N.4																								
Consensus_V350082740_L14_10-10	B.1.1																								
Consensus_V350082740_L14_11-11	C.26																								
Consensus_V350082740_L14_12-12	B.1.1																								
Consensus_V350082740_L14_13-13	N.4																								
Consensus_V350082740_L14_14-14	N.4																								
Consensus_V350082740_L14_15-15	C.11																								
Consensus_V350082740_L14_16-16	C.26																								
Consensus_V350082740_L14_17-17	N.4																								
Consensus_V350082740_L14_18-18	C.26																								
Consensus_V350082740_L14_19-19	C.26																								
Consensus_V350082740_L14_20-20	B.1.1.33																								
Consensus_V350082740_L14_21-21	B.1.1																								
Consensus_V350082740_L14_22-22	B.1.1																								
Consensus_V350082740_L14_23-23	B.1.1.33																								
Consensus_V350082740_L14_24-24	N.4																								
Consensus_V350082740_L14_25-25	P.1																								
Consensus_V350082740_L14_26-26	C.37																								
Consensus_V350082740_L14_27-27	B.1.429																								
Consensus_V350082740_L14_28-28	C.37																								
Consensus_V350082740_L14_29-29	C.37																								
Consensus_V350082740_L14_30-30	P.1																								
Consensus_V350082740_L14_31-31	C.37																								
Consensus_V350082740_L14_32-32	C.37																								
Consensus_V350082740_L14_33-33	C.37																								
Consensus_V350082740_L14_34-34	C.37																								
Consensus_V350082740_L14_35-35	C.37																								
Consensus_V350082740_L14_36-36	B.1.1.7																								
Consensus_V350082740_L14_37-37	B.1.1.348																								
Consensus_V350082740_L14_38-38	C.37																								
Consensus_V350082740_L14_39-39	C.37																								
Consensus_V350082740_L14_40-40	P.1																								
Consensus_V350082740_L14_41-41	C.37																								
Consensus_V350082740_L14_42-42	C.37																								
Consensus_V350082740_L14_43-43	P.1.15																								
Consensus_V350082740_L14_44-44	P.1																								
Consensus_V350082740_L14_45-45	P.1																								
Consensus_V350082740_L14_46-46	C.37																								
Consensus_V350082740_L14_47-47	C.37																								
Consensus_V350082740_L14_48-48	P.1																								
Consensus_V350082740_L14_49-49	BA.2.9																								
Consensus_V350082740_L14_50-50	B.1.1.529																								
Consensus_V350082740_L14_51-51	BA.4.1																								
Consensus_V350082740_L14_52-52	BA.2.12.1																								
Consensus_V350082740_L14_53-53	B.1.1																								
Consensus_V350082740_L14_54-54	XAE																								
Consensus_V350082740_L14_55-55	BA.2																								
Consensus_V350082740_L14_56-56	B.1.1.529																								
Consensus_V350082740_L14_57-57	BA.4.1																								
Consensus_V350082740_L14_58-58	BA.2																								
Consensus_V350082740_L14_59-59	B.1.1.529																								
Consensus_V350082740_L14_60-60	BA.2																								
Consensus_V350082740_L14_61-61	B.1.1																								
Consensus_V350082740_L14_62-62	BA.2.12.1																								
Consensus_V350082740_L14_63-63	BA.2																								
Consensus_V350082740_L14_64-64	BA.1.1																								
Consensus_V350082740_L14_65-65	BA.1.1																								
Consensus_V350082740_L14_66-66	BA.2																								
Consensus_V350082740_L14_67-67	C.37																								
Consensus_V350082740_L14_68-68	B.1.1																								
Consensus_V350082740_L14_69-69	XAE																								
Consensus_V350082740_L14_70-70	BA.1.1																								
Consensus_V350082740_L14_71-71	C.37																								
Consensus_V350082740_L14_72-72	BA.4.1																								
Consensus_V350082740_L14_73-73	B.1.1.1																								
Consensus_V350082740_L14_74-74	C.37																								
Consensus_V350082740_L14_75-75	C.37																								
Consensus_V350082740_L14_76-76	B.1.1																								
Consensus_V350082740_L14_77-77	B.1.1																								
Consensus_V350082740_L14_78-78	BA.2																								
Consensus_V350082740_L14_79-79	BA.2																								
Consensus_V350082740_L14_80-80	BA.2.12.1																								
Consensus_V350082740_L14_81-81	BA.2																								
Consensus_V350082740_L14_82-82	XAE																								
Consensus_V350082740_L14_83-83	C.37																								
Consensus_V350082740_L14_84-84	BA.2.3																								
Consensus_V350082740_L14_85-85	BA.4.1																								
Consensus_V350082740_L14_86-86	BA.2.12.1																								
Consensus_V350082740_L14_87-87	B.1.1.529																								
Consensus_V350082740_L14_88-88	B.1.1.529																								
Consensus_V350082740_L14_89-89	BA.2																								
Consensus_V350082740_L14_90-90	C.37																								
Consensus_V350082740_L14_91-91	BA.1.1																								
Consensus_V350082740_L14_92-92	BA.2.3																								
Consensus_V350082740_L14_93-93	BA.4.1																								
Consensus_V350082740_L14_94-94	BA.2																								
Consensus_V350082740_L14_95-95	BA.1.1																								
