Sample	SARS-CoV-2_1_LEFT	SARS-CoV-2_1_RIGHT	SARS-CoV-2_2_LEFT	SARS-CoV-2_2_RIGHT	SARS-CoV-2_3_LEFT	SARS-CoV-2_3_RIGHT	SARS-CoV-2_4_LEFT	SARS-CoV-2_4_RIGHT	SARS-CoV-2_5_LEFT	SARS-CoV-2_5_RIGHT	SARS-CoV-2_6_LEFT	SARS-CoV-2_6_RIGHT	SARS-CoV-2_7_LEFT	SARS-CoV-2_7_RIGHT	SARS-CoV-2_8_LEFT	SARS-CoV-2_8_RIGHT	SARS-CoV-2_9_LEFT	SARS-CoV-2_9_RIGHT	SARS-CoV-2_10_LEFT	SARS-CoV-2_10_RIGHT	SARS-CoV-2_11_LEFT	SARS-CoV-2_11_RIGHT	SARS-CoV-2_12_LEFT	SARS-CoV-2_12_RIGHT	SARS-CoV-2_13_LEFT	SARS-CoV-2_13_RIGHT	SARS-CoV-2_14_LEFT	SARS-CoV-2_14_RIGHT	SARS-CoV-2_15_LEFT	SARS-CoV-2_15_RIGHT	SARS-CoV-2_16_LEFT	SARS-CoV-2_16_RIGHT	SARS-CoV-2_17_LEFT	SARS-CoV-2_17_RIGHT	SARS-CoV-2_18_LEFT	SARS-CoV-2_18_RIGHT	SARS-CoV-2_19_LEFT	SARS-CoV-2_19_RIGHT	SARS-CoV-2_20_LEFT	SARS-CoV-2_20_RIGHT	SARS-CoV-2_21_LEFT	SARS-CoV-2_21_RIGHT	SARS-CoV-2_22_LEFT	SARS-CoV-2_22_RIGHT	SARS-CoV-2_23_LEFT	SARS-CoV-2_23_RIGHT	SARS-CoV-2_24_LEFT	SARS-CoV-2_24_RIGHT	SARS-CoV-2_25_LEFT	SARS-CoV-2_25_RIGHT	SARS-CoV-2_26_LEFT	SARS-CoV-2_26_RIGHT	SARS-CoV-2_27_LEFT	SARS-CoV-2_27_RIGHT	SARS-CoV-2_28_LEFT	SARS-CoV-2_28_RIGHT	SARS-CoV-2_29_LEFT	SARS-CoV-2_29_RIGHT	SARS-CoV-2_30_LEFT	SARS-CoV-2_30_RIGHT	SARS-CoV-2_31_LEFT	SARS-CoV-2_31_RIGHT	SARS-CoV-2_32_LEFT	SARS-CoV-2_32_RIGHT	SARS-CoV-2_33_LEFT	SARS-CoV-2_33_RIGHT	SARS-CoV-2_34_LEFT	SARS-CoV-2_34_RIGHT	SARS-CoV-2_35_LEFT	SARS-CoV-2_35_RIGHT	SARS-CoV-2_36_LEFT	SARS-CoV-2_36_RIGHT	SARS-CoV-2_37_LEFT	SARS-CoV-2_37_RIGHT	SARS-CoV-2_38_LEFT	SARS-CoV-2_38_RIGHT	SARS-CoV-2_39_LEFT	SARS-CoV-2_39_RIGHT	SARS-CoV-2_40_LEFT	SARS-CoV-2_40_RIGHT	SARS-CoV-2_41_LEFT	SARS-CoV-2_41_RIGHT	SARS-CoV-2_42_LEFT	SARS-CoV-2_42_RIGHT	SARS-CoV-2_43_LEFT	SARS-CoV-2_43_RIGHT	SARS-CoV-2_44_LEFT	SARS-CoV-2_44_RIGHT	SARS-CoV-2_45_LEFT	SARS-CoV-2_45_RIGHT	SARS-CoV-2_46_LEFT	SARS-CoV-2_46_RIGHT	SARS-CoV-2_47_LEFT	SARS-CoV-2_47_RIGHT	SARS-CoV-2_48_LEFT	SARS-CoV-2_48_RIGHT	SARS-CoV-2_49_LEFT	SARS-CoV-2_49_RIGHT	SARS-CoV-2_50_LEFT	SARS-CoV-2_50_RIGHT	SARS-CoV-2_51_LEFT	SARS-CoV-2_51_RIGHT	SARS-CoV-2_52_LEFT	SARS-CoV-2_52_RIGHT	SARS-CoV-2_53_LEFT	SARS-CoV-2_53_RIGHT	SARS-CoV-2_54_LEFT	SARS-CoV-2_54_RIGHT	SARS-CoV-2_55_LEFT	SARS-CoV-2_55_RIGHT	SARS-CoV-2_56_LEFT	SARS-CoV-2_56_RIGHT	SARS-CoV-2_57_LEFT	SARS-CoV-2_57_RIGHT	SARS-CoV-2_58_LEFT	SARS-CoV-2_58_RIGHT	SARS-CoV-2_59_LEFT	SARS-CoV-2_59_RIGHT	SARS-CoV-2_60_LEFT	SARS-CoV-2_60_RIGHT	SARS-CoV-2_61_LEFT	SARS-CoV-2_61_RIGHT	SARS-CoV-2_62_LEFT	SARS-CoV-2_62_RIGHT	SARS-CoV-2_63_LEFT	SARS-CoV-2_63_RIGHT	SARS-CoV-2_64_LEFT	SARS-CoV-2_64_RIGHT	SARS-CoV-2_65_LEFT	SARS-CoV-2_65_RIGHT	SARS-CoV-2_66_LEFT	SARS-CoV-2_66_RIGHT	SARS-CoV-2_67_LEFT	SARS-CoV-2_67_RIGHT	SARS-CoV-2_68_LEFT	SARS-CoV-2_68_RIGHT	SARS-CoV-2_69_LEFT	SARS-CoV-2_69_RIGHT	SARS-CoV-2_70_LEFT	SARS-CoV-2_70_RIGHT	SARS-CoV-2_71_LEFT	SARS-CoV-2_71_RIGHT	SARS-CoV-2_72_LEFT	SARS-CoV-2_72_RIGHT	SARS-CoV-2_73_LEFT	SARS-CoV-2_73_RIGHT	SARS-CoV-2_74_LEFT	SARS-CoV-2_74_RIGHT	SARS-CoV-2_75_LEFT	SARS-CoV-2_75_RIGHT	SARS-CoV-2_76_LEFT	SARS-CoV-2_76_RIGHT	SARS-CoV-2_77_LEFT	SARS-CoV-2_77_RIGHT	SARS-CoV-2_78_LEFT	SARS-CoV-2_78_RIGHT	SARS-CoV-2_79_LEFT	SARS-CoV-2_79_RIGHT	SARS-CoV-2_80_LEFT	SARS-CoV-2_80_RIGHT	SARS-CoV-2_81_LEFT	SARS-CoV-2_81_RIGHT	SARS-CoV-2_82_LEFT	SARS-CoV-2_82_RIGHT	SARS-CoV-2_83_LEFT	SARS-CoV-2_83_RIGHT	SARS-CoV-2_84_LEFT	SARS-CoV-2_84_RIGHT	SARS-CoV-2_85_LEFT	SARS-CoV-2_85_RIGHT	SARS-CoV-2_86_LEFT	SARS-CoV-2_86_RIGHT	SARS-CoV-2_87_LEFT	SARS-CoV-2_87_RIGHT	SARS-CoV-2_88_LEFT	SARS-CoV-2_88_RIGHT	SARS-CoV-2_89_LEFT	SARS-CoV-2_89_RIGHT	SARS-CoV-2_90_LEFT	SARS-CoV-2_90_RIGHT	SARS-CoV-2_91_LEFT	SARS-CoV-2_91_RIGHT	SARS-CoV-2_92_LEFT	SARS-CoV-2_92_RIGHT	SARS-CoV-2_93_LEFT	SARS-CoV-2_93_RIGHT	SARS-CoV-2_94_LEFT	SARS-CoV-2_94_RIGHT	SARS-CoV-2_95_LEFT	SARS-CoV-2_95_RIGHT	SARS-CoV-2_96_LEFT	SARS-CoV-2_96_RIGHT	SARS-CoV-2_97_LEFT	SARS-CoV-2_97_RIGHT	SARS-CoV-2_98_LEFT	SARS-CoV-2_98_RIGHT	SARS-CoV-2_99_LEFT	SARS-CoV-2_99_RIGHT
V350082740_L14_01-01_ivar	1642	4	1	55031	31000	9	6	4	3	6393	0	2	3	0	15351	30	3	2	5	8	10182	36	57	22	11370	13	13	5	7	2	64	2	2	8	10	23	1	6	9	3	13	34	11122	2	3	72	1	27	9	1	189	7729	597	33173	11	4973	5	8	19	4	14	7	7	8115	6117	3	2	5770	7	12589	9608	4	5	5030	9211	14	10	2	2	23875	12	13888	10	8	0	48	7661	9	2425	8	8920	2	6	5431	25	12	34	4	7	7	8159	2	16	4	0	26071	1	14	7438	15	1	6	5	2	4	17	38	8	60	2	1	7227	11728	9	16	1	3	18	29	8	2	1	4746	9	2	5	4560	25636	11123	17	4	13	3993	2	6092	6	3621	9864	13728	42	14315	4677	9	10	8	20	26	9	8	2	3	28931	13	0	1	31	20	6919	25	6	24	10	9	16	7307	3	7	3	32	195	3	66	71720	15	57574	32	27	25017	22384	40	26	18	23	20	7771	34	42	65
V350082740_L14_02-02_ivar	4799	6	3	46276	19582	10	9	4	2	7283	1	1	1	2	13641	44	6	1	11	3	8588	13	34	31	16293	11	10	14	6	6	76	1	1	8	8	33	6	14	11	7	9	32	12739	0	5	88	7	42	14	3	375	7599	510	31566	6	5423	10	12	17	3	21	8	2	8622	6853	1	0	6111	10	11466	9260	6	5	5604	7464	5	9	0	4	23866	15	13444	9	5	2	32	6587	5	2288	4	9094	1	7	4092	2	14	17	6	11	3	5075	7	19	0	3	16576	1	20	6822	14	3	6	7	2	2	50	31	10	54	6	2	5633	8543	12	15	2	3	19	32	2	1	1	4664	2	1	16	5376	36358	14169	15	28	26	15134	11	9614	6	4581	14618	12469	68	17198	6523	9	14	14	34	62	9	7	6	5	41416	20	1	6	41	25	10238	20	6	34	19	15	34	9720	7	20	7	32	514	7	154	190513	50	139608	96	110	80591	80660	43	53	16	32	11	25427	67	47	489
V350082740_L14_03-03_ivar	28	0	68	2719	1778	41	1	12	618	17859	0	422	6	0	636	101	39	734	2	9	2953	2	11	6743	2692	3	16	1873	3208	0	787	428	32	2	683	700	11	680	34	0	1284	86	26200	18	0	245	1	26326	293	79	392004	15218	5	1570	3	35536	0	1	13	485	17	12	2312	618	330	122	10	469	3	92	2096	1021	1405	136	6514	0	1	810	914	16026	1	211	1	1	134	366	3292	2	132	1	1839	0	5813	496	0	8	767	51	911	151	109266	9	195	0	110	373	13	8	149	302	0	2	784	2	2750	1	71	38	4059	0	35248	517	1659	1857	15	0	130	19	18	565	4	11	443	3246	4	31	98	2516	2713	4828	2	0	567	671	875	1	2000	5842	1493	37208	3185	288	7	504	1285	0	853	204	1	0	101	143	74	126	2261	6	722	377	1	701	2	446	986	6	581	242	20	0	1412	6	47	6	1491	142	1461	2176	1673	1046	680	3	7	82	288	3	2116	2	0	44
V350082740_L14_04-04_ivar	4949	28	35	162555	158577	78	52	21	11	32275	19	3	1	8	82639	211	12	14	23	33	36745	79	104	247	115823	63	29	84	97	60	331	31	4	31	102	331	38	126	77	34	195	248	57529	8	66	358	36	949	173	104	3748	47661	2379	248725	140	36265	61	63	82	116	133	89	72	45319	63245	3	4	19954	71	124678	94114	57	112	69303	68847	56	55	28	121	129095	256	80740	86	39	29	414	45643	70	18430	55	66872	14	66	29513	121	129	187	33	88	26	40446	56	169	17	11	121271	9	476	75802	127	29	94	33	52	35	258	413	157	235	236	99	31304	69931	213	186	29	65	89	168	88	9	32	27506	48	9	69	37822	164093	74706	148	19	6	12836	58	45642	41	27986	86104	74944	341	88856	28647	49	59	85	155	157	59	22	57	23	148902	250	23	41	136	170	46259	135	41	147	36	55	87	37464	20	64	31	87	735	41	229	347400	264	193903	269	326	128352	135546	116	127	6	25	25	28533	35	14	93
V350082740_L14_05-05_ivar	3190	20	10	76825	69259	28	23	9	8	16141	15	4	4	2	37595	116	4	4	19	20	21921	46	43	123	51517	21	17	67	65	30	151	10	4	21	33	156	30	54	29	8	108	163	27888	6	42	174	29	221	41	50	1605	24558	1376	120230	67	18588	27	40	49	52	49	55	36	24883	37271	2	13	29643	43	55572	41351	37	26	28124	35353	25	32	11	60	69287	125	43555	42	18	13	170	20374	33	7403	30	33358	6	37	17727	43	62	116	43	69	16	16138	18	110	2	0	74572	6	213	28949	74	7	63	9	41	57	129	200	82	170	22	7	17183	34739	75	75	19	22	56	90	53	8	10	13184	37	3	31	17769	88043	37029	74	13	11	6870	21	25575	23	11975	35625	29514	182	54384	14350	25	32	35	48	89	23	19	14	13	91146	91	14	18	84	56	24480	68	39	96	24	28	33	19490	13	92	17	19	279	19	231	206635	170	107510	130	154	70496	72808	38	94	13	27	13	13473	18	21	113
V350082740_L14_06-06_ivar	1022	10	7	95971	91454	18	14	10	7	14804	4	1	0	2	35859	76	0	5	12	9	21815	43	61	58	45571	16	19	30	30	5	199	4	3	8	21	150	4	28	34	13	33	107	33497	2	12	215	12	59	41	18	425	18139	1301	98274	48	16425	19	27	37	22	61	20	13	22419	24613	2	8	7918	21	44101	35032	19	17	23261	26495	38	37	7	16	79227	70	35482	23	18	9	197	21381	11	6842	17	28769	3	19	13022	44	42	65	13	25	10	14633	19	58	5	6	67947	1	122	36873	66	5	26	14	20	10	82	131	63	159	17	4	18339	28647	37	66	7	7	45	56	13	1	5	13747	12	7	24	16632	88312	37097	46	7	15	4850	22	19036	24	9330	28853	29918	137	48473	12766	18	7	31	43	109	17	17	8	9	78391	72	8	14	42	51	15218	59	15	82	15	18	35	17983	6	25	10	18	307	6	124	154650	91	88060	77	82	59666	61556	66	60	18	46	4	9435	14	14	84
V350082740_L14_07-07_ivar	2866	15	6	88052	69606	11	9	14	3	17683	13	1	1	7	36137	113	10	8	22	14	13970	57	79	116	46228	17	19	39	46	13	217	8	4	19	45	120	11	40	49	29	90	89	38247	10	31	254	19	100	51	45	1409	23568	1621	106102	57	18236	21	42	55	57	60	47	25	25231	29126	9	3	25039	35	44828	35800	23	18	23980	27665	40	34	10	43	42376	91	38696	32	28	21	308	22150	30	7984	21	32260	7	25	21243	40	78	121	17	52	11	20016	29	97	7	3	62414	8	272	26669	56	5	32	16	21	60	136	187	76	179	60	7	13943	30958	51	69	15	17	48	86	38	4	14	14293	19	15	25	17335	91844	38953	69	17	9	5708	24	26234	23	11910	34164	31769	216	54542	13880	28	30	30	74	122	27	13	66	10	90675	63	7	12	79	91	25528	65	34	78	15	21	33	15896	7	81	13	33	257	17	146	203821	129	108562	134	155	78245	80237	35	52	7	12	5	11572	21	17	14
V350082740_L14_08-08_ivar	612	3	2	42640	26816	2	10	1	3	5770	0	1	1	0	13135	22	1	0	7	5	8992	33	64	10	8789	6	5	12	3	1	59	0	1	7	4	17	1	1	3	4	10	26	9295	0	2	45	11	8	9	2	220	8248	631	37391	12	5030	0	5	13	3	17	9	5	8941	6079	0	0	7778	10	12338	10726	7	8	7720	8647	8	4	1	1	22905	10	11102	9	5	2	31	8017	7	2417	6	8651	0	6	5040	13	7	26	1	3	1	14330	4	22	1	1	24344	0	17	7353	17	0	11	4	4	3	21	24	5	54	15	2	7795	14248	6	20	6	5	17	20	4	1	2	5104	9	2	4	5920	34019	8218	15	2	1	2144	1	5771	2	2999	5862	10724	10	15869	5401	9	6	7	12	14	8	2	10	7	27252	10	0	3	15	26	5298	20	6	24	17	17	8	6654	2	7	2	5	40	1	28	53358	24	34254	8	13	20270	15559	9	14	1	6	2	5480	4	4	11
V350082740_L14_09-09_ivar	342	6	1	40967	24494	3	2	2	1	7513	0	0	1	0	16828	36	7	1	4	6	13109	46	65	25	14023	11	4	12	5	0	87	0	3	1	7	18	1	3	9	5	11	46	11631	1	4	62	11	20	11	1	347	10097	678	39141	11	6942	5	13	8	3	11	7	6	10664	7698	0	2	8678	10	16062	14277	11	6	10850	10940	3	15	3	5	40031	22	16638	3	6	3	34	10986	15	3622	6	12918	1	9	5386	33	13	16	2	6	4	19109	4	31	0	0	33890	2	12	11485	26	1	15	4	6	4	21	25	6	75	13	0	13244	17958	10	26	3	1	13	22	5	3	3	6199	3	1	14	9058	38223	13941	18	1	6	2159	3	7316	3	4605	15251	11662	26	19890	5956	4	6	10	21	18	3	4	3	7	33354	4	2	3	34	15	6543	17	5	17	7	12	9	6094	6	9	0	24	97	3	60	70665	23	40857	13	22	27695	23097	5	16	2	8	0	7227	6	10	17
V350082740_L14_10-10_ivar	38	12	5	70833	72211	19	12	7	0	13663	0	1	0	3	30760	98	4	0	11	13	25834	34	73	67	32421	11	9	18	29	12	206	0	3	13	21	51	0	16	16	9	30	81	21872	5	13	198	19	46	35	14	353	17591	1453	88999	31	13609	29	22	31	14	60	39	13	19674	18208	1	1	18654	22	31733	23820	17	22	22068	24792	33	17	4	8	64565	69	28898	23	11	5	196	19554	20	6780	20	26618	6	21	14165	26	40	63	12	36	4	16357	7	54	3	7	77363	5	111	22779	40	5	29	8	21	22	101	121	46	121	17	2	13403	33761	30	40	8	6	30	65	15	2	7	12162	19	10	32	21286	73684	38796	28	6	3	5309	16	17017	7	8840	21035	30461	195	41653	10536	15	10	21	46	49	9	6	11	11	65439	68	4	11	49	62	17132	54	16	85	8	21	24	15379	8	32	6	19	231	8	53	86831	112	123723	67	75	50886	51926	20	31	3	9	7	11652	13	11	124
