Sample	mapped_reads	trimmed_reads	reads_too_short_after_trimming	reads_outside_primer_region
V350082740_L14_01-01_ivar	8789252	699804	329963	7795787
V350082740_L14_02-02_ivar	12821601	1054040	351768	11468486
V350082740_L14_03-03_ivar	3845447	838180	1434928	2257955
V350082740_L14_04-04_ivar	47375751	3932600	1198115	42394049
V350082740_L14_05-05_ivar	25280721	2032878	626752	22693854
V350082740_L14_06-06_ivar	21778162	1808050	497096	19527895
V350082740_L14_07-07_ivar	24636079	1955122	774899	21990987
V350082740_L14_08-08_ivar	7720404	627324	310223	6813843
V350082740_L14_09-09_ivar	9865278	801858	368348	8728087
V350082740_L14_10-10_ivar	19783564	1580542	543667	17712338
V350082740_L14_11-11_ivar	30662576	2415219	798627	27530879
V350082740_L14_12-12_ivar	20058143	1455098	662258	17998154
V350082740_L14_13-13_ivar	28906975	2409929	975121	25615715
V350082740_L14_14-14_ivar	5728280	553277	153471	5040017
V350082740_L14_15-15_ivar	24027482	1909531	696787	21499878
V350082740_L14_16-16_ivar	14393286	1200768	414626	12823361
V350082740_L14_17-17_ivar	26884257	2254434	692644	24076442
V350082740_L14_18-18_ivar	6618516	531399	148246	5957723
V350082740_L14_19-19_ivar	16186956	1324469	448885	14463016
V350082740_L14_20-20_ivar	26719369	2391023	796056	23724337
V350082740_L14_21-21_ivar	22367415	1806537	664890	19962134
V350082740_L14_22-22_ivar	32997394	2573142	806189	29700543
V350082740_L14_23-23_ivar	33461310	2562667	923118	30079345
V350082740_L14_24-24_ivar	13760903	1053266	506593	12249215
V350082740_L14_25-25_ivar	22157676	1768937	466707	19975813
V350082740_L14_26-26_ivar	30714619	2450006	936188	27423555
V350082740_L14_27-27_ivar	26961733	2073984	698722	24263969
V350082740_L14_28-28_ivar	24121094	2076475	700422	21419413
V350082740_L14_29-29_ivar	40687754	3226401	1106263	36455162
V350082740_L14_30-30_ivar	30921421	2453599	960638	27608023
V350082740_L14_31-31_ivar	11108409	998677	335350	9806994
V350082740_L14_32-32_ivar	39137505	3389148	1049073	34813190
V350082740_L14_33-33_ivar	18018526	1553375	549635	15972814
V350082740_L14_34-34_ivar	20525226	1505646	587145	18496523
V350082740_L14_35-35_ivar	13125888	1007696	504270	11658880
V350082740_L14_36-36_ivar	21747672	1786531	609510	19427267
V350082740_L14_37-37_ivar	25703867	2143562	725902	22914377
V350082740_L14_38-38_ivar	11327034	1056262	391945	9917969
V350082740_L14_39-39_ivar	11612959	920741	438082	10293796
V350082740_L14_40-40_ivar	3860993	318671	117674	3435296
V350082740_L14_41-41_ivar	10484074	806025	376216	9337558
V350082740_L14_42-42_ivar	14469436	1117264	496468	12899112
V350082740_L14_43-43_ivar	12241215	973522	529141	10786122
V350082740_L14_44-44_ivar	17102895	1334414	643068	15183856
V350082740_L14_45-45_ivar	10636244	920727	350850	9398559
V350082740_L14_46-46_ivar	8216318	689899	294610	7258242
V350082740_L14_47-47_ivar	3972813	303209	147056	3535427
V350082740_L14_48-48_ivar	8841489	677945	313253	7879219
V350082740_L14_49-49_ivar	13544037	1104224	3	12075291
V350082740_L14_50-50_ivar	40405310	3292288	974246	36256248
V350082740_L14_51-51_ivar	21135376	1731041	3	18837979
V350082740_L14_52-52_ivar	20594514	1702669	572559	18376304
V350082740_L14_53-53_ivar	17732426	2644251	3165630	13304413
V350082740_L14_54-54_ivar	31564903	2382474	809850	28449431
V350082740_L14_55-55_ivar	39017073	3237808	1020539	34868911
V350082740_L14_56-56_ivar	31207432	2747857	1113586	27826294
V350082740_L14_57-57_ivar	25909107	2087618	588856	23298228
V350082740_L14_58-58_ivar	39117643	3253394	1090906	34902626
V350082740_L14_59-59_ivar	55195205	4589293	1448484	49336040
V350082740_L14_60-60_ivar	46940183	3733371	1138634	42194452
V350082740_L14_61-61_ivar	8100966	1117940	1495573	6095162
V350082740_L14_62-62_ivar	29074105	2620140	877733	25683224
V350082740_L14_63-63_ivar	15923614	1356916	456664	14160056
V350082740_L14_64-64_ivar	28082069	2482830	779838	24904877
V350082740_L14_65-65_ivar	45217589	3726438	1071973	40544493
V350082740_L14_66-66_ivar	29898908	2560473	807439	26625522
V350082740_L14_67-67_ivar	22107884	2249599	571844	19365191
V350082740_L14_68-68_ivar	12024045	984190	436520	10764734
V350082740_L14_69-69_ivar	26030883	2051651	792975	23275547
V350082740_L14_70-70_ivar	31777022	2861792	756808	28257768
V350082740_L14_71-71_ivar	9892022	979130	249188	88
V350082740_L14_72-72_ivar	21809975	1901806	616033	19359842
V350082740_L14_73-73_ivar	20517278	1585964	523973	18546261
V350082740_L14_74-74_ivar	23910726	1986775	812833	21407121
V350082740_L14_75-75_ivar	22150083	1897897	590086	19731866
V350082740_L14_76-76_ivar	8631143	1050524	947363	7110101
V350082740_L14_77-77_ivar	9619189	11	1330990	7800596
V350082740_L14_78-78_ivar	17154991	1503072	517561	15197085
V350082740_L14_79-79_ivar	20526677	1882783	669323	18054313
V350082740_L14_80-80_ivar	28144483	2437604	827014	24980760
V350082740_L14_81-81_ivar	17107691	1476933	442607	15234318
V350082740_L14_82-82_ivar	8726355	9	239734	7726576
V350082740_L14_83-83_ivar	20429361	1796704	543577	18154366
V350082740_L14_84-84_ivar	14799996	1314380	391468	13135771
V350082740_L14_85-85_ivar	32173878	2549939	968001	28758311
V350082740_L14_86-86_ivar	3622181	368824	92718	3171387
V350082740_L14_87-87_ivar	34110840	2836753	1061472	30333700
V350082740_L14_88-88_ivar	17478229	1805909	2078427	14413973
V350082740_L14_89-89_ivar	30118169	2508262	965318	26752906
V350082740_L14_90-90_ivar	23110365	1963202	656958	20577834
V350082740_L14_91-91_ivar	34835945	2852671	690285	31370430
V350082740_L14_92-92_ivar	10058780	1004482	277139	8808149
V350082740_L14_93-93_ivar	11357243	938237	381687	10077114
V350082740_L14_94-94_ivar	5057520	490020	158919	4426621
V350082740_L14_95-95_ivar	22308360	1821997	631827	19922940
V350082740_L14_96-96_ivar	31180305	2600587	833077	27829692
