Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
V350082740_L14_01-01	8459289	0	0	0	30239	0	0	0	8459289	0	100.0	nan	8429050	0	4246565	0	4182485	0	7661202	0	90.89	nan	8422763	0	6287	0	0.07	nan	0	0	0	0	8459289
V350082740_L14_02-02	12469833	0	0	0	54129	0	0	0	12469833	0	100.0	nan	12415704	0	6234873	0	6180831	0	11650502	0	93.84	nan	12407711	0	7993	0	0.06	nan	0	0	0	0	12469833
V350082740_L14_03-03	2410519	0	0	0	38495	0	0	0	2410519	0	100.0	nan	2372024	0	1226912	0	1145112	0	2190262	0	92.34	nan	2324062	0	47962	0	2.02	nan	0	0	0	0	2410519
V350082740_L14_04-04	46177636	0	0	0	73717	0	0	0	46177636	0	100.0	nan	46103919	0	23138141	0	22965778	0	44183970	0	95.84	nan	46074357	0	29562	0	0.06	nan	0	0	0	0	46177636
V350082740_L14_05-05	24653969	0	0	0	41690	0	0	0	24653969	0	100.0	nan	24612279	0	12347192	0	12265087	0	23441577	0	95.24	nan	24596376	0	15903	0	0.06	nan	0	0	0	0	24653969
V350082740_L14_06-06	21281066	0	0	0	23045	0	0	0	21281066	0	100.0	nan	21258021	0	10628211	0	10629810	0	20182108	0	94.94	nan	21244057	0	13964	0	0.07	nan	0	0	0	0	21281066
V350082740_L14_07-07	23861180	0	0	0	33804	0	0	0	23861180	0	100.0	nan	23827376	0	11990649	0	11836727	0	22372085	0	93.89	nan	23811566	0	15810	0	0.07	nan	0	0	0	0	23861180
V350082740_L14_08-08	7410181	0	0	0	6726	0	0	0	7410181	0	100.0	nan	7403455	0	3753847	0	3649608	0	6604917	0	89.21	nan	7398016	0	5439	0	0.07	nan	0	0	0	0	7410181
V350082740_L14_09-09	9496930	0	0	0	8062	0	0	0	9496930	0	100.0	nan	9488868	0	4806229	0	4682639	0	8366847	0	88.18	nan	9482852	0	6016	0	0.06	nan	0	0	0	0	9496930
V350082740_L14_10-10	19239897	0	0	0	12296	0	0	0	19239897	0	100.0	nan	19227601	0	9672668	0	9554933	0	17754708	0	92.34	nan	19214870	0	12731	0	0.07	nan	0	0	0	0	19239897
