Sample	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate
V350082740_L14_01-01	38.16999605662458	194	100.0	100.0	100.0	100.0	99.9531819549878	22160	29229.5961	100.0	8753476.0	8753476.0	0.54
V350082740_L14_02-02	39.158827420452106	194	100.0	100.0	100.0	100.0	100.0	23434	42582.3348	100.0	12746443.0	12746443.0	0.49
V350082740_L14_03-03	37.492147420766074	30	99.9832792696385	99.79600708958968	99.01013276259907	91.99411430291275	87.04812226198041	551	4212.7926	100.0	3804518.0	3804518.0	0.64
V350082740_L14_04-04	38.46668443468568	193	100.0	100.0	100.0	100.0	100.0	134141	157734.6165	100.0	47288027.0	47288027.0	0.53
V350082740_L14_05-05	38.35811076868359	193	100.0	100.0	100.0	100.0	100.0	69076	84182.0761	100.0	25230302.0	25230302.0	0.53
V350082740_L14_06-06	38.37785694927763	193	100.0	100.0	100.0	100.0	100.0	57879	72607.3559	100.0	21751835.0	21751835.0	0.5499999999999999
V350082740_L14_07-07	38.145895388432706	193	100.0	100.0	100.0	100.0	100.0	65497	82108.3989	100.0	24594757.0	24594757.0	0.5499999999999999
V350082740_L14_08-08	38.01575048328294	193	100.0	100.0	100.0	100.0	99.89298732568639	19867	25753.8337	100.0	7711871.0	7711871.0	0.53
V350082740_L14_09-09	38.0605650231408	193	100.0	100.0	100.0	100.0	100.0	25034	32918.8656	100.0	9855707.0	9855707.0	0.5
V350082740_L14_10-10	38.2876181384055	193	100.0	100.0	100.0	100.0	99.73915660636057	53066	66028.3583	100.0	19769768.0	19769768.0	0.48
V350082740_L14_11-11	38.2893391862113	193	100.0	100.0	100.0	100.0	100.0	80409	102328.821	100.0	30640265.0	30640265.0	0.45999999999999996
V350082740_L14_12-12	38.37201123385134	193	100.0	100.0	100.0	99.9598702471324	99.72912416814367	51805	66937.2603	100.0	20043312.0	20043312.0	0.48
V350082740_L14_13-13	38.465376633135186	193	100.0	100.0	100.0	100.0	100.0	72966	96440.0057	100.0	28874573.0	28874573.0	0.48
V350082740_L14_14-14	38.465280003923844	193	100.0	100.0	100.0	99.9933117078554	99.899675617831	12909	19066.5835	100.0	5718864.0	5718864.0	0.5599999999999999
V350082740_L14_15-15	38.489654133317416	194	100.0	100.0	100.0	100.0	100.0	60609	80074.4639	100.0	23976593.0	23976593.0	0.5
V350082740_L14_16-16	38.364459589549675	193	100.0	100.0	100.0	100.0	100.0	38793	47972.2565	100.0	14369488.0	14369488.0	0.52
V350082740_L14_17-17	38.40652574134742	193	100.0	100.0	100.0	100.0	100.0	69040	87231.2256	100.0	26830770.0	26830770.0	0.5499999999999999
V350082740_L14_18-18	38.56461225944189	193	100.0	100.0	100.0	100.0	99.9398053706986	16563	21920.913	100.0	6597267.0	6597267.0	0.5499999999999999
V350082740_L14_19-19	38.37611637947877	193	100.0	100.0	100.0	100.0	100.0	42274	53854.8968	100.0	16152191.0	16152191.0	0.53
V350082740_L14_20-20	38.44384551527302	192	100.0	100.0	100.0	100.0	100.0	69486	86742.877	100.0	26685856.0	26685856.0	0.5599999999999999
V350082740_L14_21-21	38.23743034521547	193	100.0	100.0	100.0	100.0	100.0	57572	74646.1146	100.0	22351230.0	22351230.0	0.49
V350082740_L14_22-22	38.36892538297241	193	100.0	100.0	100.0	100.0	100.0	81148	110152.2771	100.0	32973748.0	32973748.0	0.5
V350082740_L14_23-23	38.421594630209384	193	100.0	100.0	100.0	100.0	100.0	81459	111476.4601	100.0	33402794.0	33402794.0	0.54
V350082740_L14_24-24	38.37265628533535	193	100.0	100.0	100.0	100.0	100.0	34905	45799.7414	100.0	13715435.0	13715435.0	0.5499999999999999
V350082740_L14_25-25	38.36286317301673	194	100.0	100.0	100.0	100.0	99.9966558539277	54061	73883.3156	100.0	22122909.0	22122909.0	0.53
V350082740_L14_26-26	38.43525450091531	193	100.0	100.0	100.0	100.0	100.0	77184	102484.599	100.0	30690436.0	30690436.0	0.67
V350082740_L14_27-27	38.12582818879173	193	100.0	100.0	100.0	100.0	100.0	71063	89888.5925	100.0	26929423.0	26929423.0	0.52
V350082740_L14_28-28	38.624406637592934	193	100.0	100.0	99.9866234157108	99.95652610106009	99.9531819549878	57916	80504.7231	100.0	24094082.0	24094082.0	0.65
V350082740_L14_29-29	38.33114009913648	193	100.0	100.0	100.0	100.0	99.9866234157108	106939	135842.6418	100.0	40662714.0	40662714.0	0.62
V350082740_L14_30-30	38.50356036112906	194	100.0	100.0	100.0	99.9899675617831	99.9799351235662	75141	103092.1809	100.0	30878544.0	30878544.0	0.5499999999999999
V350082740_L14_31-31	38.19146797286297	193	99.9598702471324	99.95652610106009	99.95652610106009	99.9531819549878	99.9531819549878	26627	37084.4263	100.0	11099328.0	11099328.0	0.65
V350082740_L14_32-32	38.70073846980565	193	100.0	100.0	99.9899675617831	99.95652610106009	99.95652610106009	97684	130591.2022	100.0	39088068.0	39088068.0	0.69
V350082740_L14_33-33	38.39604761650325	193	100.0	100.0	100.0	99.95652610106009	99.9531819549878	46608	60104.249	100.0	17997344.0	17997344.0	0.67
V350082740_L14_34-34	38.26055759584794	193	100.0	100.0	99.9866234157108	99.9464936628432	99.88629903354179	55150	68387.1998	100.0	20473724.0	20473724.0	0.65
V350082740_L14_35-35	37.855100260487205	193	100.0	99.95652610106009	99.9531819549878	99.9531819549878	99.90301976390329	33583	43826.8171	100.0	13120123.0	13120123.0	0.6
V350082740_L14_36-36	38.31145853376504	193	100.0	100.0	100.0	100.0	99.9933117078554	59087	72432.0312	100.0	21723667.0	21723667.0	0.63
V350082740_L14_37-37	38.23825014734488	193	100.0	100.0	100.0	100.0	100.0	66242	85679.9235	100.0	25670998.0	25670998.0	0.5599999999999999
