Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
V350082740_L14_01-01	8772892.0	0.0	8772892.0	0.0	4386446.0	4386446.0	8753476.0	8745700.0	19416.0	7836658.0	8772892.0	0.0	52.0	0.0	0.0	35776.0	876986344.0	438493172.0	438493172.0	875112858.0	873836950.0	0.0	0.0	4685763.0	0.005362285	99.0	100.0	100.0	100.0	100.0	100.0	35.0	209.1	67.0	4359716.0	12171.0	963.0	0.0	89.3	99.77868187594238	99.69004519832228	0.22131812405760837	89.32810297904044	100.0	0.0	0.0005927349840850656	0.0
V350082740_L14_02-02	12773678.0	0.0	12773678.0	0.0	6386839.0	6386839.0	12746443.0	12736806.0	27235.0	11853080.0	12773678.0	0.0	114.0	0.0	0.0	75158.0	1276899750.0	638449875.0	638449875.0	1274290224.0	1272984285.0	0.0	0.0	6272614.0	0.004927487	99.0	100.0	100.0	100.0	100.0	100.0	35.4	201.4	55.2	6357328.0	9605.0	1470.0	0.0	92.8	99.78678811224144	99.7113439058038	0.213211887758561	92.79300762082777	100.0	0.0	0.0008924602608583057	0.0
V350082740_L14_03-03	10264142.0	0.0	10264142.0	0.0	5132071.0	5132071.0	3804518.0	3747442.0	6459624.0	3607596.0	10264142.0	0.0	1891.0	0.0	0.0	40929.0	849363010.0	424681505.0	424681505.0	216491988.0	125840437.0	0.0	0.0	811951.0	0.006452227	82.0	83.0	83.0	100.0	100.0	100.0	34.9	34.8	27.0	696435.0	1173602.0	3684.0	0.0	35.1	37.06610839951357	36.510036591465706	62.93389160048643	35.147565183724076	100.0	0.0	0.018423361640943783	0.0
V350082740_L14_04-04	47715530.0	0.0	47715530.0	0.0	23857765.0	23857765.0	47288027.0	47250870.0	427503.0	45080458.0	47715530.0	0.0	294.0	0.0	0.0	87724.0	4765826336.0	2382913168.0	2382913168.0	4724219364.0	4715202488.0	0.0	0.0	25135703.0	0.005330779	99.0	100.0	100.0	100.0	100.0	100.0	35.5	195.1	42.0	23571888.0	48136.0	5411.0	0.0	94.5	99.1040589929526	99.02618707158865	0.8959410070473911	94.47753802587962	100.0	0.0	0.0006161515967652461	0.0
V350082740_L14_05-05	25306234.0	0.0	25306234.0	0.0	12653117.0	12653117.0	25230302.0	25210626.0	75932.0	23882022.0	25306234.0	0.0	173.0	0.0	0.0	50419.0	2528290734.0	1264145367.0	1264145367.0	2521195081.0	2516481868.0	0.0	0.0	13447582.0	0.005343803	99.0	100.0	100.0	100.0	100.0	100.0	35.5	196.9	45.5	12581638.0	20822.0	2853.0	0.0	94.4	99.69994745168324	99.62219585893341	0.3000525483167507	94.37209029206005	100.0	0.0	0.0006836260187904688	0.0
V350082740_L14_06-06	21795138.0	0.0	21795138.0	0.0	10897569.0	10897569.0	21751835.0	21735640.0	43303.0	20503740.0	21795138.0	0.0	194.0	0.0	0.0	26327.0	2178914974.0	1089457487.0	1089457487.0	2174720810.0	2171389217.0	0.0	0.0	12001348.0	0.005527037	99.0	100.0	100.0	100.0	100.0	100.0	35.4	198.2	47.7	10856373.0	9161.0	2286.0	0.0	94.1	99.80131807378324	99.7270125107719	0.19868192621675532	94.0748344883157	100.0	0.0	0.0008901067751899529	0.0
V350082740_L14_07-07	24650158.0	0.0	24650158.0	0.0	12325079.0	12325079.0	24594757.0	24574896.0	55401.0	22884850.0	24650158.0	0.0	202.0	0.0	0.0	41322.0	2463671542.0	1231835771.0	1231835771.0	2458429924.0	2454518733.0	0.0	0.0	13557368.0	0.005523432	99.0	100.0	100.0	100.0	100.0	100.0	35.2	201.9	55.2	12270188.0	13490.0	3770.0	0.0	92.8	99.77525093348287	99.69467944181129	0.22474906651713958	92.83855300237832	100.0	0.0	0.0008194673640631431	0.0
V350082740_L14_08-08	7727300.0	0.0	7727300.0	0.0	3863650.0	3863650.0	7711871.0	7705064.0	15429.0	6758028.0	7727300.0	0.0	49.0	0.0	0.0	8533.0	772517274.0	386258637.0	386258637.0	771032838.0	769907875.0	0.0	0.0	4102930.0	0.005329118	99.0	100.0	100.0	100.0	100.0	100.0	35.0	214.1	72.7	3849098.0	2522.0	912.0	0.0	87.5	99.80033129294837	99.71224101561994	0.19966870705162218	87.45652427109081	100.0	0.0	0.0006341154090044388	0.0
V350082740_L14_09-09	9875716.0	0.0	9875716.0	0.0	4937858.0	4937858.0	9855707.0	9847868.0	20009.0	8533186.0	9875716.0	0.0	72.0	0.0	0.0	9571.0	987251050.0	493625525.0	493625525.0	985336726.0	984088824.0	0.0	0.0	4917340.0	0.004996845	99.0	100.0	100.0	100.0	100.0	100.0	35.1	216.6	75.7	4918603.0	4241.0	1090.0	0.0	86.4	99.79739190555905	99.71801538237835	0.2026080944409499	86.40574516318614	100.0	0.0	0.0007290610625092904	0.0
V350082740_L14_10-10	19805864.0	0.0	19805864.0	0.0	9902932.0	9902932.0	19769768.0	19754910.0	36096.0	18065066.0	19805864.0	0.0	117.0	0.0	0.0	13796.0	1980107558.0	990053779.0	990053779.0	1976594997.0	1973903064.0	0.0	0.0	9420556.0	0.004772552	99.0	100.0	100.0	100.0	100.0	100.0	35.3	205.7	61.4	9868048.0	7438.0	1969.0	0.0	91.2	99.81775094487168	99.74273275833863	0.18224905512831957	91.21069396417141	100.0	0.0	0.0005907341381320199	0.0
