3	BC01
23	BC02
33	BC03
42	BC04
52	BC05
68	BC06
92	BC07
113	BC08
117	BC09
131	BC10
164	BC11
202	BC12
208	BC13
250	BC14
253	BC15
263	BC16
283	BC17
284	BC18
288	BC19
298	BC20
304	BC21
312	BC22
323	BC23
333	BC24
341	BC25
369	BC26
383	BC27
426	BC28
451	BC29
515	BC30
552	BC31
684	BC32
729	BC33
735	BC34
766	BC35
815	BC36
823	BC37
857	BC38
863	BC39
875	BC40
913	BC41
940	BC42
948	BC43
1036	BC44
1051	BC45
1091	BC46
1095	BC47
1121	BC48
33/3	BC49
35/12	BC57
37/6	BC65
008-11	BC73
006-09	BC81
007-13	BC89
33/10	BC50
36/1	BC58
37/15	BC66
007-05	BC74
032-09	BC82
008-04	BC90
33/11	BC51
36/2	BC59
032-06	BC67
026-09	BC75
005-07	BC83
006-10	BC91
34/8	BC52
36/3	BC60
027-06	BC68
007-08	BC76
026-11	BC84
026-14	BC92
34/11	BC53
36/6	BC61
009-03	BC69
032-05	BC77
032-10	BC85
027-11	BC93
34/15	BC54
36/7	BC62
004-04	BC70
005-14	BC78
032-15	BC86
005-01	BC94
35/5	BC55
36/13	BC63
004-12	BC71
026-07	BC79
005-10	BC87
033-05	BC95
35/8	BC56
37/5	BC64
034-10	BC72
005-15	BC80
033-08	BC88
033-14	BC96
