Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
V350082740_L01_01-01_1	55.7122	18.7439	38.2218	33.7439	30.7187	34.0142	37.048199999999994	34.511399999999995	42.9144	35.8371	31.3263	34.243	31.7812	34.2759	30.1481	30.7898	35.1877	45.9532	40.700900000000004	34.3183	36.8264	42.8776	35.896	45.587	32.9908	40.6753	29.4204	42.3834	36.689899999999994	37.0885	47.5955	31.857499999999998	40.230199999999996	43.849900000000005	38.066100000000006	42.7922	42.7266	32.539699999999996	39.5161	42.2111	34.7603	43.8693	37.7892	40.7716	44.567	40.1036	40.437200000000004	44.228	37.487500000000004	32.2221	32.376	31.132900000000003	35.3469	35.4957	40.1074	31.8312	38.3439	37.310300000000005	39.110099999999996	40.6312	35.686099999999996	34.0497	44.5199	39.1599	35.3165	45.4986	35.9666	36.3622	36.5164	40.4865	27.0339	37.433	44.2804	37.097	30.0024	35.3658	33.7668	34.4412	42.7191	43.2816	38.7665	36.2326	43.3269	31.079600000000003	29.0638	36.0631	46.7065	37.5516	33.7152	42.499700000000004	41.2496	31.170199999999998	40.347300000000004	41.3155	31.921100000000003	31.8465	32.5527	39.0683	38.6582	40.1894
V350082740_L01_02-02_1	56.6334	22.2974	40.487899999999996	33.7565	30.342000000000002	30.0216	35.483	39.776	41.9288	40.04	33.9507	33.5245	26.161	35.190599999999996	33.4808	30.219600000000003	36.7248	49.1399	47.1272	33.9044	35.265	43.714	33.2341	47.1143	30.415999999999997	39.4334	23.7974	42.5483	40.314499999999995	35.4621	50.5064	31.543100000000003	35.966300000000004	47.1271	39.9115	42.9658	46.0395	31.3715	38.9593	43.0901	38.3481	49.2821	32.7098	47.272	42.0222	33.6802	44.8621	40.9458	31.585400000000003	29.951800000000002	30.925900000000002	28.2131	31.7162	33.152100000000004	43.787	34.5341	34.9176	33.8526	35.1569	41.6303	30.259399999999996	36.582	40.733799999999995	42.8672	35.895700000000005	46.1329	33.1176	38.8229	41.2598	43.0853	27.092	42.018699999999995	46.5201	39.388400000000004	28.2504	33.415800000000004	39.939400000000006	39.219300000000004	42.9033	41.5313	40.1177	37.0097	41.031600000000005	28.8227	31.9027	37.305899999999994	44.728899999999996	36.8623	34.56	49.5426	47.084900000000005	31.8884	44.324000000000005	47.0306	34.129599999999996	26.036700000000003	30.333399999999997	42.8005	40.8974	38.1217
V350082740_L01_03-03_1	81.6964	46.6177	68.67689999999999	44.013000000000005	36.1535	42.28	20.2059	48.2113	58.79	33.9018	19.4265	47.6031	24.1092	68.0768	61.2194	24.5345	51.3841	40.4008	57.98179999999999	66.2744	31.6083	28.6522	64.2951	56.5107	61.6804	68.15020000000001	77.9081	57.9931	37.7912	22.1112	66.2593	42.2701	48.78	76.4993	32.0116	33.8157	61.2344	69.9031	66.35990000000001	46.9796	71.1657	69.1588	69.7041	66.1315	70.5601	77.0205	38.6127	33.4704	32.5107	70.20830000000001	81.9703	31.971100000000003	76.586	36.4265	71.1408	72.2598	36.715900000000005	37.2999	49.3166	64.8617	45.447900000000004	72.5663	73.4329	77.49669999999999	62.867399999999996	83.3249	31.3557	68.8952	83.6305	88.7392	83.8655	72.2825	74.99040000000001	42.8625	40.7012	66.8304	84.01960000000001	62.943099999999994	52.493599999999994	86.2093	83.2187	50.365	33.6007	74.1976	40.1381	78.4083	71.2838	66.1304	90.7332	72.45519999999999	47.1809	36.701499999999996	69.2983	77.4412	71.70530000000001	66.8072	84.4465	85.14880000000001	88.11330000000001	72.9094
V350082740_L01_04-04_1	52.209300000000006	19.1083	36.7055	35.2757	31.6952	34.342099999999995	36.9776	34.9885	41.114	33.9291	33.711	35.9083	32.9991	33.082	33.555800000000005	31.358999999999998	37.4129	46.5956	37.5546	35.789300000000004	41.0533	42.154199999999996	37.620599999999996	43.3647	34.5405	42.6881	31.9677	41.753099999999996	38.7504	38.644	47.219899999999996	34.7925	42.3315	45.1454	40.713300000000004	41.635600000000004	43.0578	36.829499999999996	41.024	44.982499999999995	36.672900000000006	41.4929	38.4851	37.9435	43.8419	40.1284	38.7795	44.3446	38.615500000000004	34.3225	35.7949	33.002900000000004	37.3664	36.9401	38.8007	33.7086	39.3115	37.0043	39.1185	38.338699999999996	37.487500000000004	34.562599999999996	43.1235	38.9251	33.6175	45.433299999999996	33.4932	37.4311	39.1072	39.765499999999996	29.242400000000004	41.3789	42.1849	39.8964	31.253999999999998	35.228	33.4849	33.2317	41.0364	43.6161	37.1941	37.8296	42.3354	32.4	30.089900000000004	35.0332	45.8569	36.6756	36.4528	40.9229	40.631499999999996	31.6403	42.0819	41.612	33.844	37.529	35.598200000000006	40.1613	40.0995	41.2636
V350082740_L01_05-05_1	51.7545	19.8202	37.8255	34.8781	31.2089	34.5599	37.4211	34.680699999999995	40.6354	34.740300000000005	32.6225	36.019	31.6295	32.312000000000005	32.3562	30.880200000000002	35.8037	47.58	38.4209	34.926899999999996	41.2493	42.0103	36.869	43.1372	33.6601	41.7524	30.041600000000003	42.0512	39.4501	38.114	47.4073	34.0598	41.7671	44.2016	39.7982	43.3659	42.3898	35.203	40.4308	43.2311	35.4552	41.8165	38.726699999999994	38.5847	43.786	39.3894	39.006	44.1439	39.5731	34.0364	33.9702	32.3266	35.505900000000004	37.222300000000004	38.3373	34.1136	39.3528	37.5092	38.0331	38.8022	36.9409	33.7695	42.3788	37.462	33.621	44.5238	33.8727	37.8719	37.5591	39.4308	28.398	40.086	42.1871	39.0795	31.6833	34.853899999999996	33.2058	33.6282	41.7271	43.3805	37.2004	38.0731	42.2901	31.4195	28.9644	35.3844	46.4106	36.2458	36.5476	40.987	40.589	31.5367	43.188700000000004	41.3726	33.1368	35.6953	33.927800000000005	39.0915	39.602199999999996	41.0559
V350082740_L01_06-06_1	52.452799999999996	19.4379	36.4881	35.4097	31.230599999999995	35.2767	37.326	34.9732	40.4619	34.558699999999995	33.5643	35.4049	33.1596	32.014399999999995	32.878600000000006	32.2017	36.2157	47.0443	37.917899999999996	34.2826	40.141799999999996	40.7549	36.068099999999994	42.3875	34.5621	42.6766	31.640400000000003	40.6773	38.0942	38.4156	47.605799999999995	33.9982	41.7786	44.8828	39.8845	43.4487	43.045	35.711	41.0606	44.593199999999996	35.4011	41.4937	38.6663	37.353500000000004	44.0608	41.0953	39.1845	45.2258	38.541	34.0859	34.5346	32.1257	36.298700000000004	36.065000000000005	38.09	32.6096	39.8158	38.3828	39.3076	36.891600000000004	36.645	34.9387	43.127300000000005	37.8213	33.1382	45.2776	34.665400000000005	36.0171	38.9921	38.643	28.863100000000003	39.5405	41.0701	39.5766	30.184299999999997	34.8988	32.7826	34.0916	41.4645	44.1182	35.775800000000004	36.4974	42.067	32.556000000000004	29.9231	35.7871	46.7437	36.458600000000004	36.2329	38.8875	40.0932	31.915599999999998	42.6123	41.7134	32.8143	37.0216	33.1877	38.9329	40.0581	41.7661
V350082740_L01_07-07_1	52.7987	19.0391	38.115500000000004	34.772	31.063800000000004	34.4453	38.3093	33.9305	40.7578	34.3958	31.781	35.5636	31.9565	32.0878	31.768800000000002	30.841800000000003	35.6194	46.4658	37.795	34.6624	40.342800000000004	42.9161	35.739599999999996	42.849399999999996	33.1136	42.4812	29.8244	42.011199999999995	37.3563	38.0058	46.9073	32.9347	41.576299999999996	43.4768	38.974	43.0415	42.2132	35.1325	39.7611	42.3041	35.0214	41.9946	39.4295	38.630900000000004	44.606	39.6998	39.635	44.4225	39.8629	33.6489	33.1565	31.3821	35.334199999999996	36.5638	38.7146	33.2051	39.839999999999996	37.796400000000006	39.3224	39.377	36.105399999999996	33.1229	42.4727	36.9973	34.3577	45.5281	34.3317	37.4468	36.501400000000004	39.2206	27.630300000000002	38.767	42.4601	38.304899999999996	31.165300000000002	34.408899999999996	32.3687	33.3355	41.8925	43.735099999999996	38.2867	38.1417	43.858000000000004	30.433	28.3321	34.868300000000005	47.3174	35.5852	36.0073	40.4251	39.4515	30.5094	41.7914	40.8722	32.4195	35.8485	33.6664	38.0858	38.9934	41.2911
V350082740_L01_08-08_1	55.410199999999996	18.049200000000003	36.7145	34.5315	30.994899999999998	34.6411	35.830400000000004	34.4465	41.6242	32.672200000000004	32.2861	34.2237	33.6387	32.221	30.8118	30.6473	33.5144	46.9943	37.5216	32.4315	37.3567	39.1464	37.1135	44.1475	34.617399999999996	40.0982	31.3482	41.4202	36.7215	38.974599999999995	47.0327	32.016099999999994	41.1583	44.2181	37.6315	44.5429	42.863299999999995	33.683600000000006	41.217	43.1397	34.1638	41.9194	38.7965	38.6856	43.9332	42.239	39.484	45.5004	39.7937	33.0255	33.1345	31.834400000000002	36.1348	36.1055	37.8231	31.8556	40.8441	39.480399999999996	39.4068	36.470200000000006	36.783	34.9221	45.9051	39.1816	32.5608	44.8291	35.917300000000004	36.2032	36.2173	38.3589	27.927999999999997	37.6452	43.0511	39.0332	30.0479	37.31	33.128299999999996	33.4223	43.2994	42.695	37.3819	36.6296	42.2725	32.9276	29.6889	36.4807	46.5377	36.869099999999996	33.6991	39.5176	41.2243	31.702799999999996	40.467	39.5271	32.7189	34.822399999999995	33.332899999999995	38.5743	38.9231	40.135
V350082740_L01_09-09_1	56.003899999999994	16.8482	36.7385	34.6648	30.8102	34.8501	36.4414	33.7557	41.471799999999995	33.1756	33.129	34.5503	33.3152	32.9796	29.6594	30.179699999999997	33.464	46.882200000000005	36.754999999999995	32.9397	37.1002	39.8838	36.8204	44.919	34.8617	39.7699	32.2279	40.8038	37.0606	39.394800000000004	46.5828	32.6834	41.478300000000004	45.3316	37.414199999999994	45.1186	42.7979	34.0877	40.990500000000004	43.5446	34.4397	41.088	38.455099999999995	38.6683	43.305	42.2873	39.010099999999994	45.190999999999995	39.4247	33.1152	33.8206	32.079299999999996	35.9631	36.1332	38.034	31.6102	40.0151	38.8052	39.8797	37.0388	37.5558	34.7868	46.6889	39.1554	32.8063	45.0731	36.6944	36.7709	36.369600000000005	39.334799999999994	28.1271	36.945899999999995	43.7778	40.211000000000006	30.4095	36.6898	33.1302	33.9878	42.9702	42.579699999999995	36.956	36.349900000000005	41.6655	33.1237	29.3271	35.931200000000004	46.3635	36.6399	33.435900000000004	40.013	41.8798	31.612499999999997	40.936099999999996	39.2683	32.8706	34.6233	34.1849	38.698100000000004	39.7025	39.9042
V350082740_L01_10-10_1	51.7579	20.7509	35.451899999999995	34.9385	31.959799999999998	34.2167	36.3133	35.687400000000004	39.5052	36.3878	33.3592	35.1946	32.756099999999996	32.2824	31.8122	32.799800000000005	35.248200000000004	47.0392	38.0963	33.7611	39.5024	41.1892	36.1566	41.030899999999995	32.8253	41.6822	31.084699999999998	40.657700000000006	38.2793	38.2427	46.9827	33.910000000000004	41.463	45.059	39.0942	43.7268	43.6939	35.0559	39.5715	43.5936	36.6443	42.1612	38.5637	37.5734	43.3454	39.8729	39.3468	42.8807	38.2785	34.2669	33.272400000000005	32.2507	36.832	36.1336	39.1657	33.4767	37.824000000000005	36.3418	38.5865	38.1719	36.7187	36.331599999999995	42.8263	38.9118	33.536899999999996	44.6065	33.995799999999996	36.7158	37.1511	40.5273	28.7893	39.2847	43.015100000000004	39.652100000000004	30.2006	34.4915	34.1411	33.8347	41.870000000000005	42.3063	37.5574	35.2383	39.4226	32.7347	31.3019	36.006899999999995	44.8253	37.5391	36.2661	39.968199999999996	39.9043	29.5521	42.4751	40.8381	34.5142	36.7675	33.2773	39.5977	39.9481	40.0605
