Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
V350082740_L01_01-01_1	55.715599999999995	18.747	38.2239	33.744800000000005	30.723499999999998	34.0154	37.047200000000004	34.511900000000004	42.9152	35.8386	31.329099999999997	34.2485	31.7826	34.2756	30.150199999999998	30.787799999999997	35.1892	45.9539	40.7016	34.3204	36.8275	42.8818	35.8987	45.5884	32.9905	40.6779	29.424099999999996	42.3848	36.695	37.0947	47.5974	31.8593	40.2273	43.8554	38.0593	42.8043	42.7323	32.562799999999996	39.5232	42.2296	34.7781	43.8833	37.8074	40.7717	44.5729	40.1132	40.4491	44.2434	37.5099	32.229600000000005	32.411	31.141799999999996	35.3591	35.5001	40.1145	31.8447	38.3478	37.3154	39.118900000000004	40.6368	35.7046	34.0523	44.5171	39.1671	35.320299999999996	45.5054	35.9698	36.3659	36.5133	40.4913	27.044	37.4431	44.281	37.1113	30.0114	35.3865	33.7723	34.4463	42.7183	43.2796	38.7711	36.2468	43.336400000000005	31.104599999999998	29.0878	36.0882	46.7171	37.5614	33.730199999999996	42.5085	41.2687	31.193900000000003	40.361799999999995	41.330600000000004	31.937900000000003	31.8617	32.5648	39.0935	38.6686	40.2085
V350082740_L01_02-02_1	56.6362	22.297900000000002	40.4912	33.7564	30.345100000000002	30.0252	35.483	39.7761	41.9295	40.0409	33.953100000000006	33.526	26.1617	35.192099999999996	33.482099999999996	30.221999999999998	36.7259	49.139300000000006	47.1288	33.9053	35.267199999999995	43.7155	33.2387	47.115899999999996	30.4157	39.4358	23.802400000000002	42.551899999999996	40.3184	35.4671	50.5057	31.5454	35.963499999999996	47.1297	39.9058	42.9794	46.045	31.394899999999996	38.9648	43.107299999999995	38.3645	49.2976	32.731100000000005	47.2699	42.029300000000006	33.6944	44.8762	40.9659	31.6104	29.960199999999997	30.9593	28.223	31.732100000000003	33.1545	43.7907	34.5451	34.925200000000004	33.8595	35.1727	41.6342	30.279	36.584	40.7351	42.871700000000004	35.9008	46.141799999999996	33.1254	38.8283	41.256	43.0927	27.106400000000004	42.0259	46.5211	39.401	28.264	33.4392	39.940599999999996	39.2206	42.9009	41.5298	40.1277	37.0255	41.043099999999995	28.851399999999998	31.9301	37.3285	44.7407	36.8724	34.5745	49.5483	47.097	31.9133	44.3328	47.0392	34.148	26.064500000000002	30.3545	42.8116	40.903099999999995	38.1391
V350082740_L01_03-03_1	81.6874	46.6007	68.6409	43.9927	36.1969	42.2789	20.2556	48.201699999999995	58.7809	33.9279	19.4654	47.5992	24.1402	68.0479	61.1974	24.576	51.376	40.4082	57.9692	66.23599999999999	31.622	28.6783	64.2732	56.51690000000001	61.64770000000001	68.1129	77.8506	57.9989	37.796600000000005	22.1314	66.233	40.581	46.505	75.6062	30.342599999999997	36.717	60.278600000000004	69.7541	64.01689999999999	49.694	71.67999999999999	70.6457	67.3956	60.1607	69.3026	72.1817	47.2494	43.0952	41.5771	63.240399999999994	82.0427	38.5366	73.7196	40.7172	64.95100000000001	67.5712	41.1303	41.4319	54.43320000000001	62.924400000000006	48.387	67.0972	62.434999999999995	69.54780000000001	54.5919	76.301	35.7442	62.1324	69.2743	80.197	71.663	69.8939	68.3231	46.544200000000004	46.6443	62.893699999999995	71.2046	56.3422	51.84760000000001	69.8886	76.7457	52.103699999999996	39.5933	70.7877	46.4777	71.33850000000001	70.4618	57.4263	76.9748	65.8376	49.147999999999996	47.449000000000005	65.0157	69.47529999999999	68.1537	67.8183	75.7059	78.5339	72.2483	62.93879999999999
V350082740_L01_04-04_1	52.21019999999999	19.1112	36.707	35.275400000000005	31.697999999999997	34.3446	36.9759	34.989	41.1133	33.932	33.712199999999996	35.911	32.9995	33.0852	33.557500000000005	31.3607	37.4151	46.5965	37.5575	35.7903	41.0541	42.1557	37.6221	43.3649	34.5418	42.6897	31.972099999999998	41.757	38.7535	38.6474	47.2202	34.7822	42.3111	45.1587	40.6893	41.6691	43.0713	36.879	41.0314	45.0192	36.713499999999996	41.5476	38.5233	37.9386	43.8686	40.146100000000004	38.845400000000005	44.4123	38.6874	34.327000000000005	35.8871	33.0364	37.4087	36.9543	38.808	33.7404	39.3365	37.03	39.1684	38.358399999999996	37.5248	34.576499999999996	43.0988	38.9107	33.6291	45.4757	33.524100000000004	37.4175	39.0804	39.7834	29.240699999999997	41.4165	42.1502	39.914500000000004	31.2471	35.2993	33.5066	33.2248	41.004400000000004	43.5732	37.207	37.8416	42.3546	32.4396	30.1655	35.0865	45.9126	36.6775	36.4641	40.9414	40.6621	31.7286	42.1087	41.6385	33.895399999999995	37.602000000000004	35.6375	40.2155	40.0912	41.263
V350082740_L01_05-05_1	51.7585	19.822400000000002	37.8271	34.8795	31.2123	34.562799999999996	37.4222	34.681	40.6372	34.7419	32.623799999999996	36.0207	31.631700000000002	32.315	32.3582	30.8814	35.8064	47.5812	38.4241	34.9275	41.251599999999996	42.0118	36.8725	43.1386	33.6621	41.7534	30.0466	42.0541	39.4544	38.1188	47.4085	34.0545	41.7534	44.2123	39.780300000000004	43.3898	42.4026	35.240899999999996	40.4411	43.2631	35.490500000000004	41.8572	38.762299999999996	38.5848	43.8056	39.408	39.0506	44.1932	39.6229	34.043800000000005	34.0443	32.353300000000004	35.5387	37.2311	38.3457	34.1395	39.3684	37.5286	38.0674	38.8163	36.9758	33.781299999999995	42.366	37.4633	33.6138	44.551	33.8981	37.8678	37.5517	39.441700000000004	28.427400000000002	40.1237	42.1977	39.1016	31.697599999999998	34.9002	33.2284	33.6547	41.7138	43.3558	37.2206	38.102999999999994	42.308299999999996	31.4755	29.021599999999996	35.4287	46.451100000000004	36.2592	36.5645	41.0129	40.622	31.598	43.2056	41.3975	33.1813	35.7495	33.9628	39.1284	39.61	41.0644
V350082740_L01_06-06_1	52.4546	19.4386	36.4895	35.4081	31.2336	35.2763	37.326	34.972500000000004	40.461999999999996	34.5595	33.5648	35.406	33.160000000000004	32.0136	32.8808	32.2014	36.2158	47.043800000000005	37.9201	34.2819	40.1425	40.7557	36.0702	42.3877	34.5624	42.6772	31.643700000000003	40.6791	38.0967	38.4192	47.6057	33.9986	41.774499999999996	44.8861	39.8793	43.4572	43.0502	35.7251	41.0638	44.6037	35.4135	41.5063	38.6783	37.3561	44.0633	41.1014	39.1962	45.237100000000005	38.557900000000004	34.0886	34.5551	32.1312	36.3069	36.0647	38.0946	32.6186	39.8194	38.3889	39.3159	36.896	36.6556	34.9407	43.1256	37.829499999999996	33.1434	45.285	34.6683	36.0214	38.9889	38.650800000000004	28.8721	39.547	41.076499999999996	39.5841	30.1942	34.9144	32.7869	34.0938	41.4651	44.1176	35.7852	36.5094	42.073100000000004	32.5739	29.9439	35.8045	46.7513	36.4708	36.242799999999995	38.8996	40.106700000000004	31.932700000000004	42.6186	41.7239	32.8263	37.0357	33.2016	38.944	40.0653	41.7725
V350082740_L01_07-07_1	52.800599999999996	19.0423	38.118	34.7725	31.065700000000003	34.4469	38.3084	33.929700000000004	40.7571	34.4002	31.782300000000003	35.5656	31.9592	32.0912	31.770300000000002	30.8444	35.6222	46.4662	37.7975	34.6624	40.3418	42.9187	35.742000000000004	42.8497	33.1157	42.4825	29.828100000000003	42.0148	37.3607	38.0113	46.907199999999996	32.9324	41.5665	43.486200000000004	38.9611	43.0614	42.223699999999994	35.165	39.766200000000005	42.3291	35.046	42.025800000000004	39.455400000000004	38.6353	44.611200000000004	39.715	39.657599999999995	44.4512	39.8941	33.6546	33.2016	31.3888	35.3478	36.5615	38.7264	33.2233	39.8441	37.8041	39.3429	39.3774	36.1296	33.1215	42.471	37.012699999999995	34.3612	45.5367	34.3387	37.4544	36.500899999999994	39.2292	27.6395	38.7824	42.4566	38.320100000000004	31.170900000000003	34.4389	32.3714	33.3449	41.8853	43.721700000000006	38.300200000000004	38.1562	43.8612	30.471500000000002	28.3716	34.903099999999995	47.3354	35.5961	36.0221	40.4419	39.476299999999995	30.5471	41.8036	40.8908	32.4385	35.8787	33.6807	38.111200000000004	38.9997	41.2976
V350082740_L01_08-08_1	55.4095	18.0514	36.7191	34.530300000000004	30.994899999999998	34.6458	35.8338	34.4461	41.6243	32.6739	32.29	34.2273	33.6392	32.223600000000005	30.8153	30.6465	33.5185	46.9957	37.5242	32.4361	37.3574	39.1488	37.1174	44.1496	34.6165	40.0996	31.3502	41.424499999999995	36.7269	38.978699999999996	47.0337	32.0169	41.1552	44.2233	37.6264	44.5508	42.869800000000005	33.7013	41.2212	43.152499999999996	34.1792	41.936299999999996	38.807	38.689800000000005	43.94	42.2426	39.4977	45.511	39.8093	33.0309	33.1615	31.844	36.1451	36.1079	37.8311	31.867099999999997	40.8466	39.483000000000004	39.4154	36.476	36.7964	34.9251	45.9017	39.1862	32.562999999999995	44.8404	35.9206	36.2066	36.2218	38.3648	27.9374	37.658	43.0517	39.0432	30.058699999999998	37.3236	33.1364	33.4263	43.2964	42.6923	37.3881	36.641200000000005	42.2784	32.9427	29.709999999999997	36.4982	46.5469	36.8791	33.705	39.5307	41.236	31.7208	40.4773	39.5381	32.7339	34.8367	33.3446	38.5814	38.9308	40.144000000000005
V350082740_L01_09-09_1	56.0047	16.8505	36.7404	34.6643	30.8134	34.8524	36.4412	33.7558	41.4726	33.1784	33.131	34.5534	33.3167	32.981899999999996	29.6587	30.1827	33.467200000000005	46.8829	36.7589	32.9421	37.099	39.888200000000005	36.8238	44.9192	34.8612	39.7712	32.229200000000006	40.8047	37.0657	39.3998	46.5809	32.6822	41.471599999999995	45.3374	37.4062	45.1323	42.8063	34.1096	40.9942	43.5627	34.4574	41.1103	38.4724	38.6675	43.3115	42.2975	39.0281	45.2076	39.448899999999995	33.1193	33.8518	32.0853	35.9722	36.1318	38.042500000000004	31.6239	40.015499999999996	38.804300000000005	39.8907	37.041000000000004	37.5708	34.7872	46.684599999999996	39.1592	32.8105	45.0787	36.699	36.7761	36.3684	39.34	28.1375	36.9544	43.7803	40.2188	30.4212	36.7095	33.1359	33.9893	42.9627	42.574400000000004	36.965199999999996	36.36	41.6703	33.146100000000004	29.352	35.952	46.375	36.6506	33.4453	40.0246	41.895500000000006	31.633699999999997	40.945100000000004	39.2814	32.8847	34.6353	34.1975	38.7071	39.7086	39.9109
V350082740_L01_10-10_1	51.761100000000006	20.7511	35.4548	34.937400000000004	31.962200000000003	34.2163	36.3143	35.6866	39.5057	36.3889	33.3607	35.1957	32.7557	32.2827	31.8135	32.799800000000005	35.2485	47.0382	38.0971	33.760600000000004	39.5012	41.19	36.1589	41.0319	32.825700000000005	41.6826	31.0871	40.6601	38.2816	38.2463	46.9822	33.9105	41.4605	45.061800000000005	39.0909	43.7348	43.6972	35.0677	39.574799999999996	43.6025	36.653200000000005	42.1714	38.5735	37.576100000000004	43.3486	39.8774	39.3552	42.8911	38.291199999999996	34.2686	33.2915	32.254	36.8402	36.1333	39.1708	33.4839	37.8279	36.3462	38.5939	38.1751	36.7282	36.3338	42.8259	38.917699999999996	33.543099999999995	44.6139	33.9998	36.7205	37.1471	40.5321	28.797099999999997	39.291	43.0186	39.6584	30.2079	34.5064	34.146	33.8383	41.8705	42.3058	37.5648	35.2485	39.43	32.7478	31.3156	36.022	44.8294	37.5465	36.2735	39.9784	39.914	29.5648	42.4818	40.8453	34.5222	36.775999999999996	33.289699999999996	39.6074	39.9559	40.0676
