Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
V350082740_L01_01-01_1	35.3601	34.618	35.0462	35.3082	35.294	35.1786	35.1097	35.0688	34.908	34.8993	34.9543	34.8345	34.9839	35.1483	35.2259	34.8449	34.8434	34.8617	34.788	34.6278	34.6814	34.896	34.6624	34.9647	34.6705	35.149	34.8276	35.1335	34.878	34.8038	34.6339	34.5865	34.9977	34.7621	35.054	34.8961	35.0652	34.9773	35.1466	34.7189	34.9157	34.9776	34.543	34.844	34.5244	34.7299	34.691	34.796	34.7331	35.012	34.733	34.6771	34.8833	34.6129	34.6007	34.7463	34.8694	34.9564	34.7331	34.6737	34.8387	34.5796	34.6608	34.7281	34.5197	34.5434	34.5484	34.8613	34.7983	34.3284	34.3778	34.7346	34.5026	34.1285	34.4209	34.6994	34.5354	34.4405	34.4983	34.3163	34.4929	34.5397	34.4837	34.4034	34.6947	34.2681	34.2018	34.1921	34.1947	34.2656	34.4429	34.3141	34.359	33.9937	34.3169	34.32	34.362	34.1711	34.2489	34.281
V350082740_L01_02-02_1	35.4911	34.7675	35.1381	35.5586	35.5553	35.3906	35.4046	35.4404	35.218	35.2709	35.2678	35.2254	35.275	35.4512	35.5483	35.194	35.2566	35.2684	35.1278	35.02	35.0309	35.2585	34.9832	35.3328	35.1092	35.5643	35.2384	35.6018	35.2379	35.2884	35.0957	35.2087	35.488	35.2442	35.3845	35.2393	35.3894	35.2178	35.6051	35.1926	35.3974	35.3983	34.691	35.3898	34.8576	35.206	35.1544	35.3231	35.2807	35.5184	35.2877	35.2235	35.3791	35.1073	35.232	35.3321	35.4302	35.5392	35.3183	35.2893	35.3008	35.1388	35.2809	35.2665	35.1738	35.0033	34.9841	35.3492	35.2711	34.9672	35.0163	35.1806	35.1639	34.6582	35.0206	35.162	35.2298	35.061	35.0912	34.8898	35.0738	35.1144	35.1366	35.0124	35.2755	34.8975	34.8489	34.7799	34.6519	34.9355	34.9521	34.8734	34.8671	34.6665	34.9636	34.9634	34.8633	34.7417	34.9458	34.8691
V350082740_L01_03-03_1	36.0228	35.9161	36.1671	35.9724	36.1626	36.1334	34.9019	36.033	36.0222	36.0798	36.0303	35.9652	33.9984	35.9817	35.8204	35.7652	35.9789	35.9169	35.9813	36.0509	35.6508	35.9127	35.9411	36.0926	35.6739	35.838	35.0423	35.6183	35.0469	35.2681	35.9252	35.6275	35.6208	35.8301	35.7602	35.989	35.9704	35.9267	35.8376	35.7704	35.6099	35.8622	35.6661	35.5378	35.957	35.5883	35.6278	35.9401	35.7113	35.9495	35.5357	35.5036	36.0588	35.9092	35.7558	35.8875	35.7539	35.8763	35.6535	35.6188	35.438	35.8167	35.9529	35.8681	34.929	35.4973	34.5207	35.7502	35.5434	35.7483	35.5344	35.6549	35.4706	35.5182	35.4741	35.6216	35.681	35.2608	35.8134	35.1533	35.4024	35.2832	35.0181	35.4746	34.8722	35.4247	35.5355	35.3473	35.6949	35.2036	34.7467	35.3772	35.4494	35.3319	35.2616	34.6526	35.4168	35.3388	35.038	35.0542
V350082740_L01_04-04_1	35.5197	34.9208	35.4213	35.5498	35.5957	35.5132	35.5141	35.4968	35.3117	35.3331	35.4291	35.2004	35.4215	35.5553	35.5973	35.2883	35.3213	35.3814	35.2245	35.1943	35.1906	35.416	35.258	35.4552	35.2223	35.6084	35.3017	35.5841	35.4114	35.2934	35.2098	35.2073	35.4509	35.3233	35.5176	35.4014	35.5014	35.3541	35.5684	35.1952	35.3469	35.4263	35.2541	35.3457	35.206	35.2906	35.3346	35.357	35.2054	35.4691	35.2267	35.1956	35.4099	35.1797	35.1392	35.3033	35.3588	35.4342	35.2852	35.2644	35.3629	35.2084	35.222	35.2998	35.1166	35.268	35.247	35.4719	35.4005	34.9131	34.9458	35.2692	35.1279	34.7865	35.058	35.2494	35.0929	35.0365	35.1859	34.9693	35.1363	35.2379	35.1497	34.998	35.2357	34.8816	34.9406	34.8897	34.8648	34.9689	35.1042	34.9761	35.028	34.7465	34.9994	34.9068	34.9914	34.9427	34.9182	34.9864
V350082740_L01_05-05_1	35.5779	34.9579	35.3873	35.5862	35.6526	35.5054	35.5186	35.5031	35.3272	35.3263	35.3798	35.2553	35.4069	35.5458	35.5896	35.2657	35.3091	35.4134	35.2344	35.2055	35.2027	35.4269	35.2382	35.4425	35.2144	35.6052	35.2788	35.5628	35.4091	35.2791	35.2043	35.1882	35.4676	35.3003	35.506	35.4008	35.4959	35.372	35.5622	35.1813	35.3649	35.4207	35.1942	35.354	35.2306	35.2897	35.2835	35.3141	35.1503	35.4564	35.1957	35.1792	35.4022	35.1346	35.0582	35.2728	35.3654	35.4307	35.2121	35.1961	35.3119	35.1782	35.2008	35.2839	35.1092	35.2304	35.2132	35.4406	35.3739	34.8527	34.8343	35.2521	35.1103	34.6865	35.0014	35.2019	35.0095	35.0151	35.0888	34.9108	35.0791	35.1919	35.0919	34.9412	35.2215	34.8766	34.8499	34.8423	34.8139	34.9213	35.0542	34.8968	34.945	34.668	34.9456	34.8357	34.9419	34.8425	34.8272	34.8877
V350082740_L01_06-06_1	35.5748	34.8627	35.3052	35.4856	35.4683	35.358	35.3406	35.2926	35.1337	35.0923	35.17	34.9731	35.1819	35.3443	35.421	35.0569	35.0541	35.1406	35.0234	34.8892	34.9975	35.2004	35.0137	35.1842	34.9304	35.3872	35.0118	35.3716	35.1666	35.0041	34.9539	34.888	35.2417	34.9921	35.2908	35.1675	35.307	35.1571	35.3479	34.9068	35.0891	35.1776	34.985	35.0909	34.9319	35.0261	35.0477	35.0858	34.9373	35.2515	34.9172	34.9087	35.1772	34.9139	34.7935	34.9387	35.0947	35.1744	34.9753	34.938	35.1234	34.8565	34.912	35.0168	34.7816	34.9492	34.8839	35.1558	35.0744	34.5321	34.6024	34.9763	34.7716	34.3986	34.6601	34.9592	34.7452	34.6669	34.7103	34.6376	34.7854	34.9013	34.7303	34.6073	34.9334	34.5232	34.4909	34.562	34.4011	34.5793	34.7475	34.5557	34.6588	34.2648	34.5655	34.5015	34.5259	34.4514	34.516	34.5388
V350082740_L01_07-07_1	35.3683	34.6674	35.2002	35.4028	35.4453	35.3201	35.3586	35.3311	35.1315	35.1545	35.2315	35.0375	35.2447	35.3842	35.4581	35.1303	35.125	35.1998	35.0408	35.0037	35.0087	35.256	35.0039	35.2428	35.0161	35.4162	35.0856	35.3803	35.2103	35.0711	34.9882	34.9674	35.2638	35.0985	35.2946	35.2165	35.3241	35.2302	35.383	35.0128	35.161	35.2176	34.9694	35.1225	34.9202	35.0426	35.0441	35.0649	34.9212	35.2589	34.9875	34.935	35.194	34.887	34.8129	35.0341	35.1681	35.2399	34.9749	34.985	35.1011	34.9679	34.9383	35.0591	34.883	34.9796	35.0096	35.2106	35.1346	34.5876	34.6143	35.061	34.8549	34.3891	34.7641	34.9886	34.7967	34.827	34.8432	34.6762	34.8555	34.977	34.8328	34.721	35.0354	34.6769	34.6558	34.6312	34.6328	34.6745	34.8093	34.6763	34.6761	34.4268	34.7133	34.622	34.7566	34.6774	34.6064	34.7025
V350082740_L01_08-08_1	35.2097	34.5392	35.0819	35.2981	35.3295	35.2342	35.2228	35.2039	35.036	35.0183	35.1466	34.8957	35.1289	35.2566	35.3742	34.9825	34.9603	35.0284	34.9081	34.8297	34.8571	35.1022	34.9004	35.1386	34.8651	35.2971	34.9787	35.2544	35.0922	34.9468	34.8192	34.8019	35.1453	34.9912	35.2272	35.0874	35.2233	35.1438	35.2941	34.9661	35.0973	35.1592	34.8607	35.0675	34.8146	34.935	34.9274	34.9559	34.8721	35.1882	34.9295	34.873	35.0547	34.8389	34.7309	34.8854	34.9918	35.0872	34.946	34.9443	35.0549	34.8452	34.883	34.9426	34.7722	34.9148	34.855	35.0782	35.0603	34.5304	34.5635	34.9384	34.7637	34.4005	34.6751	34.9257	34.7269	34.7167	34.7538	34.5938	34.7917	34.8262	34.7301	34.6563	34.8597	34.5538	34.5744	34.5388	34.5107	34.5746	34.7338	34.5929	34.6154	34.3542	34.63	34.6015	34.7005	34.5167	34.4974	34.6467
V350082740_L01_09-09_1	35.1402	34.5191	35.0844	35.3075	35.3561	35.2447	35.2716	35.221	35.0861	35.0463	35.1572	34.9488	35.1585	35.3117	35.3874	35.0236	35.0287	35.105	34.9388	34.9081	34.9213	35.1697	34.9465	35.2111	34.9215	35.3882	35.0024	35.2907	35.1768	35.0339	34.8931	34.8818	35.2074	35.0471	35.2778	35.1464	35.2809	35.2141	35.3554	35.0285	35.1664	35.2225	34.958	35.1544	34.9211	34.9648	35.0029	35.0477	34.9732	35.2832	35.015	34.9662	35.1062	34.9384	34.8689	35.0172	35.135	35.1621	35.0556	35.046	35.1314	34.9426	34.9887	35.0283	34.9095	34.9876	34.9575	35.1844	35.1872	34.6677	34.7056	35.048	34.9096	34.5003	34.7814	35.0136	34.8122	34.8298	34.8712	34.7372	34.9339	34.9708	34.887	34.8077	34.9999	34.6767	34.6673	34.7005	34.6819	34.7281	34.8923	34.7213	34.7622	34.5044	34.7836	34.7277	34.8311	34.6625	34.6706	34.7915
V350082740_L01_10-10_1	35.5234	34.9591	35.3868	35.535	35.5678	35.4621	35.4816	35.4309	35.2551	35.2958	35.3477	35.1689	35.3262	35.48	35.539	35.2174	35.2034	35.3187	35.1926	35.129	35.1508	35.364	35.1886	35.3465	35.1573	35.5265	35.231	35.5161	35.335	35.2019	35.1154	35.0574	35.3708	35.1714	35.4123	35.331	35.434	35.3337	35.4867	35.1059	35.2325	35.3413	35.1546	35.2931	35.1555	35.204	35.203	35.2446	35.104	35.4198	35.1459	35.0786	35.2792	35.0479	34.9518	35.1289	35.2802	35.3563	35.1279	35.1023	35.2394	35.0274	35.0791	35.1818	35.0222	35.1428	35.1429	35.308	35.2495	34.6989	34.7634	35.1492	34.9736	34.6622	34.8916	35.1293	34.944	34.9278	34.9682	34.8157	35.0112	35.0902	34.9822	34.846	35.0761	34.7776	34.7656	34.7247	34.6331	34.7801	34.9445	34.8192	34.8768	34.5201	34.8582	34.6927	34.7793	34.7207	34.7096	34.7814
