Sample	Passed Filter	Low Quality	Too Many N	Too Short	Too Long
V350082740_L01_01-01_1	2217290.0	1914.0	38.0	0.0	0.0
V350082740_L01_02-02_1	3217580.0	1912.0	48.0	0.0	0.0
V350082740_L01_03-03_1	2544652.0	8648.0	26.0	0.0	0.0
V350082740_L01_04-04_1	12041518.0	8764.0	208.0	0.0	0.0
V350082740_L01_05-05_1	6384480.0	4410.0	90.0	0.0	0.0
V350082740_L01_06-06_1	5509820.0	2300.0	68.0	0.0	0.0
V350082740_L01_07-07_1	6231612.0	5300.0	106.0	0.0	0.0
V350082740_L01_08-08_1	1952222.0	1980.0	18.0	0.0	0.0
V350082740_L01_09-09_1	2500730.0	2274.0	46.0	0.0	0.0
V350082740_L01_10-10_1	5012586.0	2728.0	54.0	0.0	0.0
V350082740_L01_100-100_1	37830512.0	60662.0	600.0	0.0	0.0
V350082740_L01_101-101_1	32828584.0	33784.0	500.0	0.0	0.0
V350082740_L01_102-102_1	27735506.0	19766.0	424.0	0.0	0.0
V350082740_L01_103-103_1	39932020.0	64796.0	740.0	0.0	0.0
V350082740_L01_104-104_1	34761102.0	52900.0	554.0	0.0	0.0
V350082740_L01_11-11_1	7744670.0	4878.0	152.0	0.0	0.0
V350082740_L01_12-12_1	5083332.0	4334.0	90.0	0.0	0.0
V350082740_L01_13-13_1	7315756.0	5788.0	112.0	0.0	0.0
V350082740_L01_14-14_1	1456544.0	796.0	14.0	0.0	0.0
V350082740_L01_15-15_1	6064726.0	3682.0	114.0	0.0	0.0
V350082740_L01_16-16_1	3646484.0	2912.0	66.0	0.0	0.0
V350082740_L01_17-17_1	7007516.0	4058.0	130.0	0.0	0.0
V350082740_L01_18-18_1	1676048.0	1504.0	24.0	0.0	0.0
V350082740_L01_19-19_1	4080298.0	4180.0	76.0	0.0	0.0
V350082740_L01_20-20_1	7356638.0	5670.0	118.0	0.0	0.0
V350082740_L01_21-21_1	5671656.0	4196.0	94.0	0.0	0.0
V350082740_L01_22-22_1	8328392.0	2356.0	118.0	0.0	0.0
V350082740_L01_23-23_1	8453334.0	4828.0	136.0	0.0	0.0
V350082740_L01_24-24_1	3471108.0	3296.0	60.0	0.0	0.0
V350082740_L01_25-25_1	5596450.0	1736.0	94.0	0.0	0.0
V350082740_L01_26-26_1	7768746.0	6068.0	108.0	0.0	0.0
V350082740_L01_27-27_1	6815508.0	4100.0	120.0	0.0	0.0
V350082740_L01_28-28_1	6096504.0	3888.0	102.0	0.0	0.0
V350082740_L01_29-29_1	10304304.0	5482.0	186.0	0.0	0.0
V350082740_L01_30-30_1	7802656.0	5144.0	144.0	0.0	0.0
V350082740_L01_31-31_1	2809872.0	1898.0	34.0	0.0	0.0
V350082740_L01_32-32_1	9903318.0	6608.0	188.0	0.0	0.0
V350082740_L01_33-33_1	4562026.0	2830.0	78.0	0.0	0.0
V350082740_L01_34-34_1	5180412.0	3000.0	82.0	0.0	0.0
V350082740_L01_35-35_1	3324504.0	2918.0	72.0	0.0	0.0
V350082740_L01_36-36_1	5494980.0	3762.0	108.0	0.0	0.0
V350082740_L01_37-37_1	6510786.0	5252.0	104.0	0.0	0.0
V350082740_L01_38-38_1	2868516.0	4036.0	60.0	0.0	0.0
V350082740_L01_39-39_1	2942992.0	2618.0	42.0	0.0	0.0
V350082740_L01_40-40_1	977356.0	978.0	18.0	0.0	0.0
V350082740_L01_41-41_1	2654486.0	2696.0	48.0	0.0	0.0
V350082740_L01_42-42_1	3656780.0	2734.0	56.0	0.0	0.0
V350082740_L01_43-43_1	3105376.0	4030.0	58.0	0.0	0.0
V350082740_L01_44-44_1	4322244.0	4084.0	76.0	0.0	0.0
V350082740_L01_45-45_1	2694370.0	3636.0	52.0	0.0	0.0
V350082740_L01_46-46_1	2084324.0	1912.0	32.0	0.0	0.0
V350082740_L01_47-47_1	1003398.0	638.0	22.0	0.0	0.0
V350082740_L01_48-48_1	2244122.0	2460.0	52.0	0.0	0.0
V350082740_L01_49-49_1	3421098.0	2414.0	60.0	0.0	0.0
V350082740_L01_50-50_1	10267910.0	5616.0	176.0	0.0	0.0
V350082740_L01_51-51_1	5342754.0	3380.0	74.0	0.0	0.0
V350082740_L01_52-52_1	5203348.0	2626.0	98.0	0.0	0.0
V350082740_L01_53-53_1	5319176.0	18794.0	40.0	0.0	0.0
V350082740_L01_54-54_1	7977322.0	3958.0	140.0	0.0	0.0
V350082740_L01_55-55_1	9863848.0	6276.0	164.0	0.0	0.0
V350082740_L01_56-56_1	9163524.0	5648.0	152.0	0.0	0.0
