Sample	Top over-represented sequence	Sum of remaining over-represented sequences
V350082740_L01_01-01_1	4.316789246057888	77.94760553378138
V350082740_L01_01-01_2	3.9523404838228546	74.76048128144653
V350082740_L01_02-02_1	5.6302453145480404	75.31262230008011
V350082740_L01_02-02_2	5.256589450666866	73.43347186243994
V350082740_L01_03-03_1	22.275103139982907	43.23075079327906
V350082740_L01_03-03_2	21.376040505599363	40.42868008237099
V350082740_L01_04-04_1	1.775695428152714	78.7701910876653
V350082740_L01_04-04_2	1.6887943975722148	77.03703334885138
V350082740_L01_05-05_1	2.32553553149329	77.65145610097382
V350082740_L01_05-05_2	2.2312168765593254	76.97053363760728
V350082740_L01_06-06_1	1.9307396627255817	79.61658782320198
V350082740_L01_06-06_2	1.8803785357103204	78.95891794692056
V350082740_L01_07-07_1	2.875508776790447	76.34350261615407
V350082740_L01_07-07_2	2.709018957456913	75.78198427517766
V350082740_L01_08-08_1	2.3569505992160558	81.16435201768476
V350082740_L01_08-08_2	2.2578829405082335	75.36541433410767
V350082740_L01_09-09_1	2.479774674896626	81.15115559017993
V350082740_L01_09-09_2	2.3004734224246417	75.40960028764908
V350082740_L01_10-10_1	2.282624126484836	80.31586116911075
V350082740_L01_10-10_2	2.2386393181916064	78.45577831975642
V350082740_L01_100-100_1	0.0	0.0
V350082740_L01_100-100_2	0.0	0.0
V350082740_L01_101-101_1	0.0	0.0
V350082740_L01_101-101_2	0.0	0.0
V350082740_L01_102-102_1	0.0	0.0
V350082740_L01_102-102_2	0.0	0.0
V350082740_L01_103-103_1	0.0	0.0
V350082740_L01_103-103_2	0.0	0.0
V350082740_L01_104-104_1	0.0	0.0
V350082740_L01_104-104_2	0.0	0.0
V350082740_L01_11-11_1	2.5230654089835736	80.81505090519641
V350082740_L01_11-11_2	2.422313121798263	78.0564408944862
V350082740_L01_12-12_1	3.026285065557389	80.18761119833587
V350082740_L01_12-12_2	2.868101379075569	75.63876884032962
V350082740_L01_13-13_1	2.3214693506496342	81.45274784830104
V350082740_L01_13-13_2	2.0862220240885394	77.95149075564318
V350082740_L01_14-14_1	2.8227870510527984	74.39702364696564
V350082740_L01_14-14_2	2.764599404125559	74.13998246136491
V350082740_L01_15-15_1	2.7514442561137624	78.92040269442873
V350082740_L01_15-15_2	2.627657937138565	77.07128688006738
V350082740_L01_16-16_1	2.0285181761037654	79.72780645475963
V350082740_L01_16-16_2	1.9728387362301623	77.20875022126553
V350082740_L01_17-17_1	2.282897281459685	73.57677962446792
V350082740_L01_17-17_2	2.1747067474611024	73.11472361069441
V350082740_L01_18-18_1	2.8255053720367957	76.17157136248969
V350082740_L01_18-18_2	2.739428794880232	73.08831313752705
V350082740_L01_19-19_1	2.9057762487654712	77.89579963932412
V350082740_L01_19-19_2	2.724556952852135	76.24293864152604
V350082740_L01_20-20_1	1.9487054946290803	72.84071853489598
V350082740_L01_20-20_2	1.8713396915636231	71.01976984216888
V350082740_L01_21-21_1	2.9314232376417957	79.69057492795037
V350082740_L01_21-21_2	2.6945640427164035	77.48185060252506
