Sample	Unique Reads	Duplicate Reads
V350082740_L01_01-01_1	59614.0	1050007.0
V350082740_L01_01-01_2	66802.0	1042819.0
V350082740_L01_02-02_1	68260.0	1541510.0
V350082740_L01_02-02_2	73932.0	1535838.0
V350082740_L01_03-03_1	134535.0	1142128.0
V350082740_L01_03-03_2	164161.0	1112502.0
V350082740_L01_04-04_1	224311.0	5800934.0
V350082740_L01_04-04_2	226909.0	5798336.0
V350082740_L01_05-05_1	130978.0	3063512.0
V350082740_L01_05-05_2	142170.0	3052320.0
V350082740_L01_06-06_1	112815.0	2643279.0
V350082740_L01_06-06_2	111810.0	2644284.0
V350082740_L01_07-07_1	134417.0	2984092.0
V350082740_L01_07-07_2	144383.0	2974126.0
V350082740_L01_08-08_1	51681.0	925429.0
V350082740_L01_08-08_2	64237.0	912873.0
V350082740_L01_09-09_1	58716.0	1192809.0
V350082740_L01_09-09_2	73107.0	1178418.0
V350082740_L01_10-10_1	99168.0	2408516.0
V350082740_L01_10-10_2	110148.0	2397536.0
V350082740_L01_100-100_1	9093708.0	9852179.0
V350082740_L01_100-100_2	8951483.0	9994404.0
V350082740_L01_101-101_1	8558713.0	7872721.0
V350082740_L01_101-101_2	8176985.0	8254449.0
V350082740_L01_102-102_1	10024671.0	3853177.0
V350082740_L01_102-102_2	7363979.0	6513869.0
V350082740_L01_103-103_1	9538828.0	10459950.0
V350082740_L01_103-103_2	9191357.0	10807421.0
V350082740_L01_104-104_1	8714101.0	8693177.0
V350082740_L01_104-104_2	8624795.0	8782483.0
V350082740_L01_11-11_1	126295.0	3748555.0
V350082740_L01_11-11_2	143106.0	3731744.0
V350082740_L01_12-12_1	93284.0	2450594.0
V350082740_L01_12-12_2	124178.0	2419700.0
V350082740_L01_13-13_1	118999.0	3541829.0
V350082740_L01_13-13_2	149541.0	3511287.0
V350082740_L01_14-14_1	48770.0	679907.0
V350082740_L01_14-14_2	52844.0	675833.0
V350082740_L01_15-15_1	115916.0	2918345.0
V350082740_L01_15-15_2	126346.0	2907915.0
V350082740_L01_16-16_1	83823.0	1740908.0
V350082740_L01_16-16_2	95704.0	1729027.0
V350082740_L01_17-17_1	174573.0	3331279.0
V350082740_L01_17-17_2	168578.0	3337274.0
V350082740_L01_18-18_1	55230.0	783558.0
V350082740_L01_18-18_2	71448.0	767340.0
V350082740_L01_19-19_1	92143.0	1950134.0
V350082740_L01_19-19_2	115438.0	1926839.0
V350082740_L01_20-20_1	207794.0	3473419.0
V350082740_L01_20-20_2	217214.0	3463999.0
V350082740_L01_21-21_1	109542.0	2728431.0
V350082740_L01_21-21_2	117827.0	2720146.0
V350082740_L01_22-22_1	145575.0	4019858.0
V350082740_L01_22-22_2	139074.0	4026359.0
V350082740_L01_23-23_1	168557.0	4060592.0
V350082740_L01_23-23_2	163011.0	4066138.0
V350082740_L01_24-24_1	75006.0	1662226.0
V350082740_L01_24-24_2	95636.0	1641596.0
V350082740_L01_25-25_1	111426.0	2687714.0
V350082740_L01_25-25_2	108214.0	2690926.0
V350082740_L01_26-26_1	156448.0	3731013.0
V350082740_L01_26-26_2	156193.0	3731268.0
V350082740_L01_27-27_1	129932.0	3279932.0
V350082740_L01_27-27_2	139875.0	3269989.0
V350082740_L01_28-28_1	112093.0	2938154.0
V350082740_L01_28-28_2	127938.0	2922309.0
V350082740_L01_29-29_1	172846.0	4982140.0
V350082740_L01_29-29_2	173637.0	4981349.0
V350082740_L01_30-30_1	141850.0	3762122.0
V350082740_L01_30-30_2	152937.0	3751035.0
V350082740_L01_31-31_1	65521.0	1340381.0
V350082740_L01_31-31_2	78021.0	1327881.0
V350082740_L01_32-32_1	177751.0	4777306.0
V350082740_L01_32-32_2	176311.0	4778746.0
V350082740_L01_33-33_1	99167.0	2183300.0
V350082740_L01_33-33_2	109698.0	2172769.0
V350082740_L01_34-34_1	109024.0	2482723.0
V350082740_L01_34-34_2	115673.0	2476074.0
V350082740_L01_35-35_1	72085.0	1591662.0
V350082740_L01_35-35_2	87924.0	1575823.0
V350082740_L01_36-36_1	126999.0	2622426.0
V350082740_L01_36-36_2	132669.0	2616756.0
V350082740_L01_37-37_1	133914.0	3124157.0
V350082740_L01_37-37_2	141786.0	3116285.0
V350082740_L01_38-38_1	68558.0	1367748.0
V350082740_L01_38-38_2	100234.0	1336072.0
V350082740_L01_39-39_1	68055.0	1404771.0
V350082740_L01_39-39_2	83021.0	1389805.0
V350082740_L01_40-40_1	35638.0	453538.0
V350082740_L01_40-40_2	41801.0	447375.0
V350082740_L01_41-41_1	59282.0	1269333.0
V350082740_L01_41-41_2	72582.0	1256033.0
V350082740_L01_42-42_1	70528.0	1759257.0
V350082740_L01_42-42_2	87057.0	1742728.0
V350082740_L01_43-43_1	69941.0	1484791.0
V350082740_L01_43-43_2	96808.0	1457924.0
V350082740_L01_44-44_1	90279.0	2072923.0
V350082740_L01_44-44_2	114007.0	2049195.0
V350082740_L01_45-45_1	66956.0	1282073.0
V350082740_L01_45-45_2	88776.0	1260253.0
V350082740_L01_46-46_1	49812.0	993322.0
V350082740_L01_46-46_2	62237.0	980897.0
V350082740_L01_47-47_1	32062.0	469967.0
V350082740_L01_47-47_2	36211.0	465818.0
V350082740_L01_48-48_1	54038.0	1069279.0
V350082740_L01_48-48_2	67265.0	1056052.0
V350082740_L01_49-49_1	82157.0	1629629.0
V350082740_L01_49-49_2	89748.0	1622038.0
V350082740_L01_50-50_1	206256.0	4930595.0
V350082740_L01_50-50_2	186506.0	4950345.0
V350082740_L01_51-51_1	104076.0	2569028.0
V350082740_L01_51-51_2	120241.0	2552863.0
V350082740_L01_52-52_1	97995.0	2505041.0
V350082740_L01_52-52_2	107868.0	2495168.0
V350082740_L01_53-53_1	256366.0	2412639.0
V350082740_L01_53-53_2	298860.0	2370145.0
V350082740_L01_54-54_1	130272.0	3860438.0
V350082740_L01_54-54_2	139517.0	3851193.0
V350082740_L01_55-55_1	173013.0	4762131.0
V350082740_L01_55-55_2	173115.0	4762029.0
V350082740_L01_56-56_1	198668.0	4385994.0
V350082740_L01_56-56_2	182017.0	4402645.0
V350082740_L01_57-57_1	116333.0	3147736.0
V350082740_L01_57-57_2	124462.0	3139607.0
V350082740_L01_58-58_1	180309.0	4771571.0
V350082740_L01_58-58_2	175475.0	4776405.0
V350082740_L01_59-59_1	255555.0	6731632.0
V350082740_L01_59-59_2	228447.0	6758740.0
V350082740_L01_60-60_1	221452.0	5716207.0
V350082740_L01_60-60_2	224885.0	5712774.0
V350082740_L01_61-61_1	124004.0	1032707.0
V350082740_L01_61-61_2	138345.0	1018366.0
V350082740_L01_62-62_1	142972.0	3536724.0
V350082740_L01_62-62_2	147022.0	3532674.0
V350082740_L01_63-63_1	85496.0	1928158.0
V350082740_L01_63-63_2	103068.0	1910586.0
V350082740_L01_64-64_1	162739.0	3427529.0
V350082740_L01_64-64_2	163577.0	3426691.0
V350082740_L01_65-65_1	221924.0	5507126.0
V350082740_L01_65-65_2	195083.0	5533967.0
V350082740_L01_66-66_1	143636.0	3641932.0
V350082740_L01_66-66_2	153691.0	3631877.0
V350082740_L01_67-67_1	123214.0	2697307.0
V350082740_L01_67-67_2	127867.0	2692654.0
V350082740_L01_68-68_1	107916.0	1649800.0
V350082740_L01_68-68_2	114353.0	1643363.0
V350082740_L01_69-69_1	142988.0	3147996.0
V350082740_L01_69-69_2	142160.0	3148824.0
V350082740_L01_70-70_1	161536.0	3874556.0
V350082740_L01_70-70_2	167240.0	3868852.0
V350082740_L01_71-71_1	89335.0	1257826.0
V350082740_L01_71-71_2	93537.0	1253624.0
V350082740_L01_72-72_1	111188.0	2650041.0
V350082740_L01_72-72_2	123691.0	2637538.0
V350082740_L01_73-73_1	136216.0	2688556.0
V350082740_L01_73-73_2	132742.0	2692030.0
V350082740_L01_74-74_1	210303.0	3145197.0
V350082740_L01_74-74_2	220211.0	3135289.0
V350082740_L01_75-75_1	129751.0	2678913.0
V350082740_L01_75-75_2	128290.0	2680374.0
V350082740_L01_76-76_1	98963.0	1076722.0
V350082740_L01_76-76_2	104296.0	1071389.0
V350082740_L01_77-77_1	97581.0	1237291.0
V350082740_L01_77-77_2	96044.0	1238828.0
V350082740_L01_78-78_1	92958.0	2073103.0
V350082740_L01_78-78_2	102884.0	2063177.0
V350082740_L01_79-79_1	129990.0	2474406.0
V350082740_L01_79-79_2	150340.0	2454056.0
V350082740_L01_80-80_1	128791.0	3425439.0
V350082740_L01_80-80_2	146464.0	3407766.0
V350082740_L01_81-81_1	91055.0	2070278.0
V350082740_L01_81-81_2	96238.0	2065095.0
V350082740_L01_82-82_1	65994.0	1034800.0
V350082740_L01_82-82_2	70304.0	1030490.0
V350082740_L01_83-83_1	118657.0	2512186.0
V350082740_L01_83-83_2	125999.0	2504844.0
