Sample	Mapped	Unmapped
V350082740_L01_01-01	2212449.0	4841.0
V350082740_L01_02-02	3210859.0	6721.0
V350082740_L01_03-03	928790.0	1615862.0
V350082740_L01_04-04	11934088.0	107430.0
V350082740_L01_05-05	6365200.0	19280.0
V350082740_L01_06-06	5499342.0	10478.0
V350082740_L01_07-07	6217803.0	13809.0
V350082740_L01_08-08	1948410.0	3812.0
V350082740_L01_09-09	2495461.0	5269.0
V350082740_L01_10-10	5003787.0	8799.0
V350082740_L01_100-100	31905.0	37798607.0
V350082740_L01_101-101	28710.0	32799874.0
V350082740_L01_102-102	16000.0	27719506.0
V350082740_L01_103-103	40626.0	39891394.0
V350082740_L01_104-104	36971.0	34724131.0
V350082740_L01_11-11	7729439.0	15231.0
V350082740_L01_12-12	5072184.0	11148.0
V350082740_L01_13-13	7301531.0	14225.0
V350082740_L01_14-14	1440854.0	15690.0
V350082740_L01_15-15	6050186.0	14540.0
V350082740_L01_16-16	3638201.0	8283.0
V350082740_L01_17-17	6777935.0	229581.0
V350082740_L01_18-18	1666049.0	9999.0
V350082740_L01_19-19	4069611.0	10687.0
V350082740_L01_20-20	6727369.0	629269.0
V350082740_L01_21-21	5659543.0	12113.0
V350082740_L01_22-22	8319177.0	9215.0
V350082740_L01_23-23	8425308.0	28026.0
V350082740_L01_24-24	3464514.0	6594.0
V350082740_L01_25-25	5576246.0	20204.0
V350082740_L01_26-26	7746512.0	22234.0
V350082740_L01_27-27	6802508.0	13000.0
V350082740_L01_28-28	6082809.0	13695.0
V350082740_L01_29-29	10286753.0	17551.0
V350082740_L01_30-30	7787254.0	15402.0
V350082740_L01_31-31	2805360.0	4512.0
V350082740_L01_32-32	9880863.0	22455.0
V350082740_L01_33-33	4553673.0	8353.0
V350082740_L01_34-34	5169714.0	10698.0
V350082740_L01_35-35	3317585.0	6919.0
V350082740_L01_36-36	5470810.0	24170.0
V350082740_L01_37-37	6491251.0	19535.0
V350082740_L01_38-38	2861558.0	6958.0
V350082740_L01_39-39	2936247.0	6745.0
V350082740_L01_40-40	975502.0	1854.0
V350082740_L01_41-41	2648674.0	5812.0
V350082740_L01_42-42	3652271.0	4509.0
V350082740_L01_43-43	3098413.0	6963.0
V350082740_L01_44-44	4313651.0	8593.0
V350082740_L01_45-45	2686365.0	8005.0
V350082740_L01_46-46	2080172.0	4152.0
V350082740_L01_47-47	1002094.0	1304.0
V350082740_L01_48-48	2238916.0	5206.0
V350082740_L01_49-49	3414446.0	6652.0
V350082740_L01_50-50	10197057.0	70853.0
V350082740_L01_51-51	5332361.0	10393.0
V350082740_L01_52-52	5196650.0	6698.0
V350082740_L01_53-53	4416041.0	903135.0
V350082740_L01_54-54	7966234.0	11088.0
V350082740_L01_55-55	9842768.0	21080.0
V350082740_L01_56-56	7791171.0	1372353.0
V350082740_L01_57-57	6517917.0	7253.0
V350082740_L01_58-58	9870929.0	25909.0
V350082740_L01_59-59	13918385.0	46439.0
V350082740_L01_60-60	11839911.0	27239.0
V350082740_L01_61-61	1993451.0	315415.0
V350082740_L01_62-62	7330286.0	23732.0
V350082740_L01_63-63	4017531.0	6985.0
V350082740_L01_64-64	7109184.0	67124.0
V350082740_L01_65-65	11407321.0	43803.0
V350082740_L01_66-66	7540784.0	25766.0
V350082740_L01_67-67	5584866.0	52950.0
V350082740_L01_68-68	2983039.0	529905.0
V350082740_L01_69-69	6562585.0	14807.0
V350082740_L01_70-70	8017496.0	49006.0
V350082740_L01_71-71	2484837.0	207933.0
V350082740_L01_72-72	5507359.0	11507.0
V350082740_L01_73-73	5144173.0	503207.0
V350082740_L01_74-74	6004615.0	700073.0
V350082740_L01_75-75	5590990.0	23212.0
V350082740_L01_76-76	2152930.0	196020.0
V350082740_L01_77-77	2400669.0	267377.0
V350082740_L01_78-78	4318268.0	10212.0
V350082740_L01_79-79	5184163.0	20477.0
V350082740_L01_80-80	7087345.0	15289.0
V350082740_L01_81-81	4314408.0	6172.0
V350082740_L01_82-82	2195459.0	4749.0
V350082740_L01_83-83	5161744.0	96726.0
V350082740_L01_84-84	3725581.0	6813.0
V350082740_L01_85-85	8126217.0	23575.0
V350082740_L01_86-86	916172.0	1258.0
V350082740_L01_87-87	8606410.0	54038.0
V350082740_L01_88-88	4367147.0	1377101.0
V350082740_L01_89-89	7600213.0	15957.0
V350082740_L01_90-90	5828781.0	131343.0
V350082740_L01_91-91	8772665.0	9555.0
V350082740_L01_92-92	2533913.0	4913.0
V350082740_L01_93-93	2862332.0	15154.0
V350082740_L01_94-94	1278516.0	3328.0
V350082740_L01_95-95	5620229.0	10929.0
V350082740_L01_96-96	7869395.0	17355.0
V350082740_L01_97-97	35536.0	43838858.0
V350082740_L01_98-98	28778.0	33771908.0
V350082740_L01_99-99	21924.0	34873234.0
V350082740_L02_01-01	2228039.0	4749.0
V350082740_L02_02-02	3239868.0	6624.0
V350082740_L02_03-03	941611.0	1633003.0
V350082740_L02_04-04	12004027.0	107789.0
V350082740_L02_05-05	6410775.0	18705.0
V350082740_L02_06-06	5531800.0	10562.0
V350082740_L02_07-07	6260600.0	13290.0
V350082740_L02_08-08	1965027.0	3643.0
V350082740_L02_09-09	2510817.0	4849.0
V350082740_L02_10-10	5032635.0	9019.0
