Sample	command
V350082740_L01_01-01_1	fastp -i V350082740_L01_01-01_1.fq.gz -I V350082740_L01_01-01_2.fq.gz -o fastp/V350082740_L01_01-01_clean_PE1.fastq.gz -O fastp/V350082740_L01_01-01_clean_PE2.fastq.gz -h fastp/V350082740_L01_01-01_fastp.html -j fastp/V350082740_L01_01-01_fastp.json 
V350082740_L01_02-02_1	fastp -i V350082740_L01_02-02_1.fq.gz -I V350082740_L01_02-02_2.fq.gz -o fastp/V350082740_L01_02-02_clean_PE1.fastq.gz -O fastp/V350082740_L01_02-02_clean_PE2.fastq.gz -h fastp/V350082740_L01_02-02_fastp.html -j fastp/V350082740_L01_02-02_fastp.json 
V350082740_L01_03-03_1	fastp -i V350082740_L01_03-03_1.fq.gz -I V350082740_L01_03-03_2.fq.gz -o fastp/V350082740_L01_03-03_clean_PE1.fastq.gz -O fastp/V350082740_L01_03-03_clean_PE2.fastq.gz -h fastp/V350082740_L01_03-03_fastp.html -j fastp/V350082740_L01_03-03_fastp.json 
V350082740_L01_04-04_1	fastp -i V350082740_L01_04-04_1.fq.gz -I V350082740_L01_04-04_2.fq.gz -o fastp/V350082740_L01_04-04_clean_PE1.fastq.gz -O fastp/V350082740_L01_04-04_clean_PE2.fastq.gz -h fastp/V350082740_L01_04-04_fastp.html -j fastp/V350082740_L01_04-04_fastp.json 
V350082740_L01_05-05_1	fastp -i V350082740_L01_05-05_1.fq.gz -I V350082740_L01_05-05_2.fq.gz -o fastp/V350082740_L01_05-05_clean_PE1.fastq.gz -O fastp/V350082740_L01_05-05_clean_PE2.fastq.gz -h fastp/V350082740_L01_05-05_fastp.html -j fastp/V350082740_L01_05-05_fastp.json 
V350082740_L01_06-06_1	fastp -i V350082740_L01_06-06_1.fq.gz -I V350082740_L01_06-06_2.fq.gz -o fastp/V350082740_L01_06-06_clean_PE1.fastq.gz -O fastp/V350082740_L01_06-06_clean_PE2.fastq.gz -h fastp/V350082740_L01_06-06_fastp.html -j fastp/V350082740_L01_06-06_fastp.json 
V350082740_L01_07-07_1	fastp -i V350082740_L01_07-07_1.fq.gz -I V350082740_L01_07-07_2.fq.gz -o fastp/V350082740_L01_07-07_clean_PE1.fastq.gz -O fastp/V350082740_L01_07-07_clean_PE2.fastq.gz -h fastp/V350082740_L01_07-07_fastp.html -j fastp/V350082740_L01_07-07_fastp.json 
V350082740_L01_08-08_1	fastp -i V350082740_L01_08-08_1.fq.gz -I V350082740_L01_08-08_2.fq.gz -o fastp/V350082740_L01_08-08_clean_PE1.fastq.gz -O fastp/V350082740_L01_08-08_clean_PE2.fastq.gz -h fastp/V350082740_L01_08-08_fastp.html -j fastp/V350082740_L01_08-08_fastp.json 
V350082740_L01_09-09_1	fastp -i V350082740_L01_09-09_1.fq.gz -I V350082740_L01_09-09_2.fq.gz -o fastp/V350082740_L01_09-09_clean_PE1.fastq.gz -O fastp/V350082740_L01_09-09_clean_PE2.fastq.gz -h fastp/V350082740_L01_09-09_fastp.html -j fastp/V350082740_L01_09-09_fastp.json 
V350082740_L01_10-10_1	fastp -i V350082740_L01_10-10_1.fq.gz -I V350082740_L01_10-10_2.fq.gz -o fastp/V350082740_L01_10-10_clean_PE1.fastq.gz -O fastp/V350082740_L01_10-10_clean_PE2.fastq.gz -h fastp/V350082740_L01_10-10_fastp.html -j fastp/V350082740_L01_10-10_fastp.json 
V350082740_L01_100-100_1	fastp -i V350082740_L01_100-100_1.fq.gz -I V350082740_L01_100-100_2.fq.gz -o fastp/V350082740_L01_100-100_clean_PE1.fastq.gz -O fastp/V350082740_L01_100-100_clean_PE2.fastq.gz -h fastp/V350082740_L01_100-100_fastp.html -j fastp/V350082740_L01_100-100_fastp.json 
V350082740_L01_101-101_1	fastp -i V350082740_L01_101-101_1.fq.gz -I V350082740_L01_101-101_2.fq.gz -o fastp/V350082740_L01_101-101_clean_PE1.fastq.gz -O fastp/V350082740_L01_101-101_clean_PE2.fastq.gz -h fastp/V350082740_L01_101-101_fastp.html -j fastp/V350082740_L01_101-101_fastp.json 
V350082740_L01_102-102_1	fastp -i V350082740_L01_102-102_1.fq.gz -I V350082740_L01_102-102_2.fq.gz -o fastp/V350082740_L01_102-102_clean_PE1.fastq.gz -O fastp/V350082740_L01_102-102_clean_PE2.fastq.gz -h fastp/V350082740_L01_102-102_fastp.html -j fastp/V350082740_L01_102-102_fastp.json 
V350082740_L01_103-103_1	fastp -i V350082740_L01_103-103_1.fq.gz -I V350082740_L01_103-103_2.fq.gz -o fastp/V350082740_L01_103-103_clean_PE1.fastq.gz -O fastp/V350082740_L01_103-103_clean_PE2.fastq.gz -h fastp/V350082740_L01_103-103_fastp.html -j fastp/V350082740_L01_103-103_fastp.json 
V350082740_L01_104-104_1	fastp -i V350082740_L01_104-104_1.fq.gz -I V350082740_L01_104-104_2.fq.gz -o fastp/V350082740_L01_104-104_clean_PE1.fastq.gz -O fastp/V350082740_L01_104-104_clean_PE2.fastq.gz -h fastp/V350082740_L01_104-104_fastp.html -j fastp/V350082740_L01_104-104_fastp.json 
V350082740_L01_11-11_1	fastp -i V350082740_L01_11-11_1.fq.gz -I V350082740_L01_11-11_2.fq.gz -o fastp/V350082740_L01_11-11_clean_PE1.fastq.gz -O fastp/V350082740_L01_11-11_clean_PE2.fastq.gz -h fastp/V350082740_L01_11-11_fastp.html -j fastp/V350082740_L01_11-11_fastp.json 
V350082740_L01_12-12_1	fastp -i V350082740_L01_12-12_1.fq.gz -I V350082740_L01_12-12_2.fq.gz -o fastp/V350082740_L01_12-12_clean_PE1.fastq.gz -O fastp/V350082740_L01_12-12_clean_PE2.fastq.gz -h fastp/V350082740_L01_12-12_fastp.html -j fastp/V350082740_L01_12-12_fastp.json 
