Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
V350082740_L01_01-01_1	V350082740_L01_01-01_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1109621.0	0.0	100.0	37.0	5.372465012828704	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_01-01_2	V350082740_L01_01-01_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1109621.0	0.0	100.0	38.0	6.020253762320648	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_02-02_1	V350082740_L01_02-02_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1609770.0	0.0	100.0	37.0	4.240357318126192	100.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
V350082740_L01_02-02_2	V350082740_L01_02-02_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1609770.0	0.0	100.0	39.0	4.592705790268175	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_03-03_1	V350082740_L01_03-03_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1276663.0	0.0	100.0	56.0	10.537964555651591	100.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
V350082740_L01_03-03_2	V350082740_L01_03-03_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1276663.0	0.0	100.0	57.0	12.85859191966588	100.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
V350082740_L01_04-04_1	V350082740_L01_04-04_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6025245.0	0.0	100.0	38.0	3.7228525911887735	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_04-04_2	V350082740_L01_04-04_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6025245.0	0.0	100.0	38.0	3.765963015806437	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_05-05_1	V350082740_L01_05-05_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3194490.0	0.0	100.0	37.0	4.10010802746899	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_05-05_2	V350082740_L01_05-05_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3194490.0	0.0	100.0	38.0	4.450455576749649	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_06-06_1	V350082740_L01_06-06_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2756094.0	0.0	100.0	37.0	4.0932757607717605	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_06-06_2	V350082740_L01_06-06_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2756094.0	0.0	100.0	38.0	4.056821987306195	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_07-07_1	V350082740_L01_07-07_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3118509.0	0.0	100.0	37.0	4.3102862045423604	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_07-07_2	V350082740_L01_07-07_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3118509.0	0.0	100.0	37.0	4.629867274707164	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_08-08_1	V350082740_L01_08-08_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	977110.0	0.0	100.0	37.0	5.28916908024685	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_08-08_2	V350082740_L01_08-08_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	977110.0	0.0	100.0	37.0	6.574080707392207	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_09-09_1	V350082740_L01_09-09_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1251525.0	0.0	100.0	37.0	4.691556301312398	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_09-09_2	V350082740_L01_09-09_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1251525.0	0.0	100.0	37.0	5.841433451189549	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_10-10_1	V350082740_L01_10-10_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2507684.0	0.0	100.0	37.0	3.95456524825297	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_10-10_2	V350082740_L01_10-10_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2507684.0	0.0	100.0	38.0	4.392402273206146	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_100-100_1	V350082740_L01_100-100_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18945887.0	0.0	100.0	51.0	47.998321126186575	100.0	pass	pass	pass	pass	warn	pass	pass	fail	pass	pass
V350082740_L01_100-100_2	V350082740_L01_100-100_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18945887.0	0.0	100.0	51.0	47.24762870684778	100.0	pass	pass	pass	pass	warn	pass	pass	fail	pass	pass
V350082740_L01_101-101_1	V350082740_L01_101-101_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16431434.0	0.0	100.0	51.0	52.08743202538885	100.0	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass
V350082740_L01_101-101_2	V350082740_L01_101-101_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16431434.0	0.0	100.0	51.0	49.76427752303725	100.0	pass	pass	pass	pass	warn	pass	pass	fail	pass	pass
V350082740_L01_102-102_1	V350082740_L01_102-102_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13877848.0	0.0	100.0	52.0	72.23504915084116	100.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
V350082740_L01_102-102_2	V350082740_L01_102-102_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13877848.0	0.0	100.0	51.0	53.06282960462093	100.0	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass
V350082740_L01_103-103_1	V350082740_L01_103-103_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19998778.0	0.0	100.0	51.0	47.697050816348586	100.0	pass	pass	pass	pass	warn	pass	pass	fail	pass	pass
V350082740_L01_103-103_2	V350082740_L01_103-103_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19998778.0	0.0	100.0	51.0	45.959590125958684	100.0	pass	pass	pass	pass	warn	pass	pass	fail	pass	pass
V350082740_L01_104-104_1	V350082740_L01_104-104_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17407278.0	0.0	100.0	51.0	50.06009743340179	100.0	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass
V350082740_L01_104-104_2	V350082740_L01_104-104_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17407278.0	0.0	100.0	51.0	49.547059775627346	100.0	pass	pass	pass	pass	warn	pass	pass	fail	pass	pass
V350082740_L01_11-11_1	V350082740_L01_11-11_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3874850.0	0.0	100.0	37.0	3.2593292703042294	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_11-11_2	V350082740_L01_11-11_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3874850.0	0.0	100.0	38.0	3.6931956868472007	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_12-12_1	V350082740_L01_12-12_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2543878.0	0.0	100.0	37.0	3.6669997539190167	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_12-12_2	V350082740_L01_12-12_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2543878.0	0.0	100.0	38.0	4.88141202996142	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_13-13_1	V350082740_L01_13-13_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3660828.0	0.0	100.0	37.0	3.2506000805328212	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_13-13_2	V350082740_L01_13-13_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3660828.0	0.0	100.0	38.0	4.084877978704201	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_14-14_1	V350082740_L01_14-14_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	728677.0	0.0	100.0	37.0	6.692951746795906	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_14-14_2	V350082740_L01_14-14_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	728677.0	0.0	100.0	38.0	7.25204720335622	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_15-15_1	V350082740_L01_15-15_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3034261.0	0.0	100.0	37.0	3.820207342885423	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_15-15_2	V350082740_L01_15-15_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3034261.0	0.0	100.0	38.0	4.163966873194777	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_16-16_1	V350082740_L01_16-16_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1824731.0	0.0	100.0	37.0	4.593718197367173	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_16-16_2	V350082740_L01_16-16_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1824731.0	0.0	100.0	38.0	5.244827867778867	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_17-17_1	V350082740_L01_17-17_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3505852.0	0.0	100.0	38.0	4.979449624004892	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L01_17-17_2	V350082740_L01_17-17_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3505852.0	0.0	100.0	38.0	4.808450095631003	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
