Sample	SARS-CoV-2_1_LEFT	SARS-CoV-2_1_RIGHT	SARS-CoV-2_2_LEFT	SARS-CoV-2_2_RIGHT	SARS-CoV-2_3_LEFT	SARS-CoV-2_3_RIGHT	SARS-CoV-2_4_LEFT	SARS-CoV-2_4_RIGHT	SARS-CoV-2_5_LEFT	SARS-CoV-2_5_RIGHT	SARS-CoV-2_6_LEFT	SARS-CoV-2_6_RIGHT	SARS-CoV-2_7_LEFT	SARS-CoV-2_7_RIGHT	SARS-CoV-2_8_LEFT	SARS-CoV-2_8_RIGHT	SARS-CoV-2_9_LEFT	SARS-CoV-2_9_RIGHT	SARS-CoV-2_10_LEFT	SARS-CoV-2_10_RIGHT	SARS-CoV-2_11_LEFT	SARS-CoV-2_11_RIGHT	SARS-CoV-2_12_LEFT	SARS-CoV-2_12_RIGHT	SARS-CoV-2_13_LEFT	SARS-CoV-2_13_RIGHT	SARS-CoV-2_14_LEFT	SARS-CoV-2_14_RIGHT	SARS-CoV-2_15_LEFT	SARS-CoV-2_15_RIGHT	SARS-CoV-2_16_LEFT	SARS-CoV-2_16_RIGHT	SARS-CoV-2_17_LEFT	SARS-CoV-2_17_RIGHT	SARS-CoV-2_18_LEFT	SARS-CoV-2_18_RIGHT	SARS-CoV-2_19_LEFT	SARS-CoV-2_19_RIGHT	SARS-CoV-2_20_LEFT	SARS-CoV-2_20_RIGHT	SARS-CoV-2_21_LEFT	SARS-CoV-2_21_RIGHT	SARS-CoV-2_22_LEFT	SARS-CoV-2_22_RIGHT	SARS-CoV-2_23_LEFT	SARS-CoV-2_23_RIGHT	SARS-CoV-2_24_LEFT	SARS-CoV-2_24_RIGHT	SARS-CoV-2_25_LEFT	SARS-CoV-2_25_RIGHT	SARS-CoV-2_26_LEFT	SARS-CoV-2_26_RIGHT	SARS-CoV-2_27_LEFT	SARS-CoV-2_27_RIGHT	SARS-CoV-2_28_LEFT	SARS-CoV-2_28_RIGHT	SARS-CoV-2_29_LEFT	SARS-CoV-2_29_RIGHT	SARS-CoV-2_30_LEFT	SARS-CoV-2_30_RIGHT	SARS-CoV-2_31_LEFT	SARS-CoV-2_31_RIGHT	SARS-CoV-2_32_LEFT	SARS-CoV-2_32_RIGHT	SARS-CoV-2_33_LEFT	SARS-CoV-2_33_RIGHT	SARS-CoV-2_34_LEFT	SARS-CoV-2_34_RIGHT	SARS-CoV-2_35_LEFT	SARS-CoV-2_35_RIGHT	SARS-CoV-2_36_LEFT	SARS-CoV-2_36_RIGHT	SARS-CoV-2_37_LEFT	SARS-CoV-2_37_RIGHT	SARS-CoV-2_38_LEFT	SARS-CoV-2_38_RIGHT	SARS-CoV-2_39_LEFT	SARS-CoV-2_39_RIGHT	SARS-CoV-2_40_LEFT	SARS-CoV-2_40_RIGHT	SARS-CoV-2_41_LEFT	SARS-CoV-2_41_RIGHT	SARS-CoV-2_42_LEFT	SARS-CoV-2_42_RIGHT	SARS-CoV-2_43_LEFT	SARS-CoV-2_43_RIGHT	SARS-CoV-2_44_LEFT	SARS-CoV-2_44_RIGHT	SARS-CoV-2_45_LEFT	SARS-CoV-2_45_RIGHT	SARS-CoV-2_46_LEFT	SARS-CoV-2_46_RIGHT	SARS-CoV-2_47_LEFT	SARS-CoV-2_47_RIGHT	SARS-CoV-2_48_LEFT	SARS-CoV-2_48_RIGHT	SARS-CoV-2_49_LEFT	SARS-CoV-2_49_RIGHT	SARS-CoV-2_50_LEFT	SARS-CoV-2_50_RIGHT	SARS-CoV-2_51_LEFT	SARS-CoV-2_51_RIGHT	SARS-CoV-2_52_LEFT	SARS-CoV-2_52_RIGHT	SARS-CoV-2_53_LEFT	SARS-CoV-2_53_RIGHT	SARS-CoV-2_54_LEFT	SARS-CoV-2_54_RIGHT	SARS-CoV-2_55_LEFT	SARS-CoV-2_55_RIGHT	SARS-CoV-2_56_LEFT	SARS-CoV-2_56_RIGHT	SARS-CoV-2_57_LEFT	SARS-CoV-2_57_RIGHT	SARS-CoV-2_58_LEFT	SARS-CoV-2_58_RIGHT	SARS-CoV-2_59_LEFT	SARS-CoV-2_59_RIGHT	SARS-CoV-2_60_LEFT	SARS-CoV-2_60_RIGHT	SARS-CoV-2_61_LEFT	SARS-CoV-2_61_RIGHT	SARS-CoV-2_62_LEFT	SARS-CoV-2_62_RIGHT	SARS-CoV-2_63_LEFT	SARS-CoV-2_63_RIGHT	SARS-CoV-2_64_LEFT	SARS-CoV-2_64_RIGHT	SARS-CoV-2_65_LEFT	SARS-CoV-2_65_RIGHT	SARS-CoV-2_66_LEFT	SARS-CoV-2_66_RIGHT	SARS-CoV-2_67_LEFT	SARS-CoV-2_67_RIGHT	SARS-CoV-2_68_LEFT	SARS-CoV-2_68_RIGHT	SARS-CoV-2_69_LEFT	SARS-CoV-2_69_RIGHT	SARS-CoV-2_70_LEFT	SARS-CoV-2_70_RIGHT	SARS-CoV-2_71_LEFT	SARS-CoV-2_71_RIGHT	SARS-CoV-2_72_LEFT	SARS-CoV-2_72_RIGHT	SARS-CoV-2_73_LEFT	SARS-CoV-2_73_RIGHT	SARS-CoV-2_74_LEFT	SARS-CoV-2_74_RIGHT	SARS-CoV-2_75_LEFT	SARS-CoV-2_75_RIGHT	SARS-CoV-2_76_LEFT	SARS-CoV-2_76_RIGHT	SARS-CoV-2_77_LEFT	SARS-CoV-2_77_RIGHT	SARS-CoV-2_78_LEFT	SARS-CoV-2_78_RIGHT	SARS-CoV-2_79_LEFT	SARS-CoV-2_79_RIGHT	SARS-CoV-2_80_LEFT	SARS-CoV-2_80_RIGHT	SARS-CoV-2_81_LEFT	SARS-CoV-2_81_RIGHT	SARS-CoV-2_82_LEFT	SARS-CoV-2_82_RIGHT	SARS-CoV-2_83_LEFT	SARS-CoV-2_83_RIGHT	SARS-CoV-2_84_LEFT	SARS-CoV-2_84_RIGHT	SARS-CoV-2_85_LEFT	SARS-CoV-2_85_RIGHT	SARS-CoV-2_86_LEFT	SARS-CoV-2_86_RIGHT	SARS-CoV-2_87_LEFT	SARS-CoV-2_87_RIGHT	SARS-CoV-2_88_LEFT	SARS-CoV-2_88_RIGHT	SARS-CoV-2_89_LEFT	SARS-CoV-2_89_RIGHT	SARS-CoV-2_90_LEFT	SARS-CoV-2_90_RIGHT	SARS-CoV-2_91_LEFT	SARS-CoV-2_91_RIGHT	SARS-CoV-2_92_LEFT	SARS-CoV-2_92_RIGHT	SARS-CoV-2_93_LEFT	SARS-CoV-2_93_RIGHT	SARS-CoV-2_94_LEFT	SARS-CoV-2_94_RIGHT	SARS-CoV-2_95_LEFT	SARS-CoV-2_95_RIGHT	SARS-CoV-2_96_LEFT	SARS-CoV-2_96_RIGHT	SARS-CoV-2_97_LEFT	SARS-CoV-2_97_RIGHT	SARS-CoV-2_98_LEFT	SARS-CoV-2_98_RIGHT	SARS-CoV-2_99_LEFT	SARS-CoV-2_99_RIGHT
V350082740_L01_01-01_ivar	421	0	0	13958	7911	3	2	1	2	1577	0	0	1	0	3879	11	0	1	1	2	2607	5	10	6	2837	3	2	2	2	1	19	0	0	4	1	8	0	3	1	2	7	8	2728	2	0	19	0	5	2	1	62	1944	141	8516	2	1246	1	6	7	4	4	2	0	2078	1588	2	1	1454	4	3231	2407	0	1	1205	2362	5	3	0	1	6031	3	3566	3	6	0	8	1957	3	574	3	2198	0	0	1389	6	4	9	1	2	1	2023	2	3	1	0	6641	0	5	1821	4	0	1	0	0	2	2	5	1	20	0	0	1743	2958	1	5	0	1	1	4	1	0	0	1189	3	1	0	1194	6338	2752	6	1	7	1021	2	1477	3	928	2473	3388	8	3652	1255	0	3	4	5	5	3	6	1	0	7235	0	0	0	7	8	1720	11	1	6	2	3	1	1840	2	2	0	9	49	2	16	17949	4	14706	7	7	6482	5778	15	8	9	9	8	1959	7	8	25
V350082740_L01_02-02_ivar	1184	0	0	11523	4794	0	1	1	2	1741	0	0	0	1	3389	9	6	0	1	2	2077	3	4	7	4057	3	4	4	1	0	26	0	0	5	6	4	0	2	6	2	4	9	3137	0	0	23	5	4	4	0	108	1923	102	7895	2	1409	3	6	10	1	4	3	0	2223	1759	0	0	1531	2	2881	2363	2	0	1428	1913	3	0	0	0	6034	5	3405	4	1	1	11	1651	1	614	1	2276	1	3	1006	1	2	4	1	2	1	1246	1	8	0	1	4236	0	9	1798	5	1	0	0	0	1	16	8	2	18	3	0	1406	2143	2	6	1	1	9	5	1	0	0	1154	1	0	8	1363	9082	3454	3	7	2	3836	4	2431	1	1193	3663	3155	14	4268	1619	2	2	1	5	16	2	1	2	3	10429	6	0	1	12	4	2634	3	0	8	4	3	5	2395	2	4	1	10	104	1	44	47436	15	35228	30	35	20225	20332	11	10	2	8	4	6431	12	16	139
V350082740_L01_03-03_ivar	5	0	12	674	404	16	1	2	134	4237	0	102	0	0	164	24	18	196	2	8	677	1	1	1503	653	0	3	411	789	0	178	107	5	1	171	192	2	176	7	0	352	25	6595	7	0	68	0	6510	96	22	95458	3646	1	376	0	8635	0	0	4	95	5	3	569	124	80	30	2	118	0	20	489	265	345	38	1560	0	0	184	179	3967	0	48	0	1	35	72	838	0	36	0	471	0	1465	138	0	1	184	8	231	38	26417	4	65	0	22	102	4	4	30	66	0	0	198	0	712	0	12	14	984	0	8854	157	402	483	0	0	34	5	5	132	2	1	110	918	2	9	24	692	619	1170	0	0	142	164	220	0	501	1357	361	8572	773	68	2	127	285	0	208	30	0	0	20	24	21	38	527	0	176	121	1	172	0	114	277	0	147	55	2	0	318	1	16	2	340	44	386	528	446	298	169	0	2	20	56	2	561	0	0	9
V350082740_L01_04-04_ivar	1244	7	10	40937	40209	19	10	5	2	8074	7	1	0	2	20900	50	3	5	10	12	9255	17	21	63	28861	14	10	21	20	10	81	9	0	12	27	91	10	33	18	8	51	68	14380	2	8	71	14	214	40	22	900	12058	612	62680	34	9077	11	6	23	19	25	15	11	11526	16271	1	0	5093	16	31544	23851	21	23	17765	17438	14	19	10	32	32672	53	20184	33	14	7	96	11607	20	4544	15	16592	3	18	7533	39	28	43	12	25	4	10178	18	47	4	4	30763	1	115	19038	33	11	14	6	12	11	66	99	29	80	53	23	7881	17718	51	54	10	12	32	26	18	3	9	6994	11	3	17	9567	41259	18669	37	5	2	3246	12	11584	5	7076	21812	19097	95	22590	7241	12	19	17	36	32	17	9	15	7	37308	60	4	6	40	37	11726	36	6	39	10	12	16	9440	4	17	11	26	185	10	51	86232	77	48834	63	83	32102	33995	26	34	3	7	9	7191	8	2	25
V350082740_L01_05-05_ivar	792	7	2	19396	17349	6	6	1	2	4078	4	0	0	2	9547	27	0	2	8	5	5473	15	8	25	12916	3	4	15	19	7	37	2	1	5	7	42	3	8	9	2	25	32	6981	3	11	46	2	55	8	10	452	6215	330	30435	18	4774	5	8	8	17	16	11	10	6222	9437	0	3	7460	15	14221	10501	11	8	7187	8961	10	12	2	16	17628	35	11135	12	10	3	39	5108	8	1932	10	8384	3	8	4489	9	16	23	12	22	4	4041	6	26	0	0	18995	0	44	7131	23	5	12	2	13	13	34	37	18	59	6	1	4255	8767	18	23	8	6	12	19	12	1	6	3363	10	2	8	4517	22212	9460	13	3	1	1759	7	6536	7	3028	9070	7367	48	13741	3676	5	10	4	7	24	7	5	1	3	22891	23	3	5	24	11	6194	20	5	33	4	6	3	4963	4	17	7	3	78	4	50	51205	44	26969	23	31	17792	18341	15	36	3	10	2	3391	3	5	29
V350082740_L01_06-06_ivar	248	0	1	24156	22863	4	1	3	1	3754	1	0	0	1	9076	14	0	0	3	2	5347	8	8	11	11316	7	10	6	8	2	45	1	1	3	6	39	0	8	11	1	8	27	8296	2	5	66	0	14	10	2	124	4788	345	24611	11	4052	7	10	6	4	13	6	6	5584	6316	0	1	2027	7	11125	8952	6	5	5898	6733	7	10	3	3	19955	22	9030	8	8	2	41	5383	1	1706	5	7105	2	8	3322	9	11	20	3	3	4	3705	2	7	0	2	17322	0	38	9344	24	2	6	3	6	0	14	30	20	48	4	2	4492	7179	10	14	3	1	11	8	4	0	3	3521	0	2	7	4125	22716	9458	7	1	6	1199	4	4910	4	2407	7277	7508	40	12225	3237	4	3	6	8	31	3	6	4	3	19774	19	2	3	14	14	3895	11	0	29	4	6	8	4611	2	9	3	4	94	3	24	38353	29	22121	19	20	15133	15603	21	14	1	6	3	2389	5	4	19
V350082740_L01_07-07_ivar	744	2	0	22203	17676	1	4	1	1	4478	0	0	0	3	9040	29	4	2	11	3	3529	8	15	27	11624	1	7	17	14	1	57	3	1	7	9	20	3	8	16	10	23	27	9582	5	10	62	12	21	16	8	378	5941	427	26642	9	4689	4	7	17	15	12	10	6	6295	7286	2	3	6341	11	11218	9046	8	2	6086	6989	13	6	1	10	10642	23	9733	8	8	4	86	5561	7	2051	4	8120	4	5	5330	11	19	25	5	10	3	5092	8	17	3	1	16105	0	62	6776	17	1	7	1	6	17	43	48	14	44	10	1	3456	7812	13	18	4	6	13	10	12	1	5	3652	8	4	5	4276	23031	9579	16	4	2	1413	5	6634	8	2973	8779	7817	57	13704	3508	6	10	12	14	26	9	4	24	4	22959	19	3	3	28	28	6480	18	9	22	7	8	8	3920	0	16	5	9	56	4	33	51035	28	27383	30	40	19794	20220	8	14	2	1	2	2923	5	3	3
V350082740_L01_08-08_ivar	169	1	0	10597	6803	0	5	0	2	1397	0	0	0	0	3325	6	1	0	3	2	2203	6	10	2	2204	3	3	2	0	0	11	0	1	1	0	7	1	0	2	2	3	3	2393	0	1	6	2	5	3	2	61	2112	160	9538	4	1264	0	0	4	1	6	3	0	2260	1518	0	0	1980	4	3145	2706	3	2	1981	2224	2	1	0	1	5815	3	2793	0	1	1	4	2023	1	613	0	2205	0	4	1283	5	1	4	0	0	0	3564	1	2	0	0	6197	0	4	1860	2	0	3	0	1	1	4	2	2	19	2	0	1890	3501	1	7	4	0	5	2	0	0	2	1269	2	0	1	1545	8627	1988	3	2	1	531	0	1408	1	737	1480	2606	4	3912	1322	3	2	4	0	4	3	0	3	4	6935	3	0	1	3	8	1332	3	1	10	4	4	1	1769	1	4	0	0	13	1	4	13403	9	8378	3	5	5093	3906	1	4	1	0	0	1396	1	1	1
V350082740_L01_09-09_ivar	93	2	1	10426	6055	2	0	0	0	1896	0	0	0	0	4312	6	1	0	2	2	3272	8	13	2	3482	5	2	5	1	0	18	0	0	0	0	2	0	1	4	3	4	17	2908	0	1	17	3	4	2	0	91	2531	169	9952	1	1746	2	6	1	1	5	0	2	2725	1984	0	1	2180	2	4098	3704	3	3	2719	2770	0	3	3	3	9967	2	4194	3	1	2	11	2808	5	923	1	3352	0	1	1411	8	6	4	0	0	2	4871	3	12	0	0	8641	0	4	2884	7	0	2	1	1	0	11	6	1	29	5	0	3286	4542	2	6	0	1	4	3	1	0	2	1527	1	0	2	2249	9781	3437	4	1	4	552	0	1905	2	1176	3744	2981	6	4981	1467	1	1	1	5	8	2	2	1	2	8470	2	1	0	5	0	1608	2	0	5	3	3	0	1556	2	5	0	4	26	1	13	17555	5	10208	2	3	6902	5718	0	5	1	1	0	1849	2	2	7
V350082740_L01_10-10_ivar	9	0	2	17881	18013	4	6	0	0	3583	0	0	0	1	7818	25	1	0	6	5	6449	9	15	17	8339	4	4	8	3	4	62	0	0	3	5	11	0	3	5	1	8	20	5530	1	3	54	5	11	12	4	83	4476	326	22431	6	3505	12	5	6	2	14	9	2	4914	4560	0	0	4646	4	7948	6003	4	4	5583	6244	5	4	2	2	16206	22	7333	1	3	1	58	4892	3	1706	6	6651	1	4	3561	5	7	9	4	6	0	4135	2	13	0	2	19456	0	29	5788	12	1	8	1	6	6	29	30	18	36	5	0	3438	8561	7	15	4	0	5	8	8	0	2	3079	6	3	9	5380	18460	9693	8	0	0	1330	5	4445	4	2313	5299	7663	47	10397	2658	5	6	5	6	14	4	1	2	1	16516	23	3	5	13	19	4359	13	2	32	1	4	5	3881	3	9	3	7	58	3	7	21729	25	30967	22	23	12947	13197	4	15	0	1	0	2918	4	3	38
