Sample	mapped_reads	trimmed_reads	reads_too_short_after_trimming	reads_outside_primer_region
V350082740_L01_01-01_ivar	2221440	176874	84962	1968994
V350082740_L01_02-02_ivar	3229772	264348	89933	2888916
V350082740_L01_03-03_ivar	939067	204091	349413	552407
V350082740_L01_04-04_ivar	11955807	990417	310241	10693579
V350082740_L01_05-05_ivar	6377800	512662	161075	5722805
V350082740_L01_06-06_ivar	5505869	455768	126834	4937459
V350082740_L01_07-07_ivar	6228086	492418	200882	5556754
V350082740_L01_08-08_ivar	1950520	157710	79816	1720969
V350082740_L01_09-09_ivar	2497835	202047	94125	2210232
V350082740_L01_10-10_ivar	5007099	398346	139708	4482621
V350082740_L01_100-100_ivar	32038	6414	16667	14415
V350082740_L01_101-101_ivar	28840	6240	15806	12213
V350082740_L01_102-102_ivar	16126	3272	7824	7601
V350082740_L01_103-103_ivar	40762	8278	21787	17803
V350082740_L01_104-104_ivar	37068	6688	19106	17012
V350082740_L01_11-11_ivar	7734765	607949	206236	6941619
V350082740_L01_12-12_ivar	5075841	366493	169943	4554074
V350082740_L01_13-13_ivar	7309623	607601	251624	6474485
V350082740_L01_14-14_ivar	1443286	139034	39264	1269683
V350082740_L01_15-15_ivar	6063011	481278	179291	5422958
V350082740_L01_16-16_ivar	3644120	302921	106399	3246484
V350082740_L01_17-17_ivar	6791210	567484	178109	6081070
V350082740_L01_18-18_ivar	1671436	134324	37944	1503950
V350082740_L01_19-19_ivar	4078208	333465	114452	3642860
V350082740_L01_20-20_ivar	6735792	599748	3	5981785
V350082740_L01_21-21_ivar	5663508	455396	172075	5053170
V350082740_L01_22-22_ivar	8324845	647129	203355	7495170
V350082740_L01_23-23_ivar	8439727	644703	237462	7584117
V350082740_L01_24-24_ivar	3475912	265344	129929	3093000
V350082740_L01_25-25_ivar	5584841	443425	117907	5037205
V350082740_L01_26-26_ivar	7752260	617422	241674	6917725
V350082740_L01_27-27_ivar	6810417	522391	180000	6127399
V350082740_L01_28-28_ivar	6089479	523473	180025	5405355
V350082740_L01_29-29_ivar	10292823	815793	286882	9216144
V350082740_L01_30-30_ivar	7797951	616985	248226	6958891
V350082740_L01_31-31_ivar	2807577	251395	86380	2478065
V350082740_L01_32-32_ivar	9893058	855177	271788	8795461
V350082740_L01_33-33_ivar	4559044	392568	140592	4040701
V350082740_L01_34-34_ivar	5182368	378871	151407	4668586
V350082740_L01_35-35_ivar	3318948	254108	129134	2947295
V350082740_L01_36-36_ivar	5476757	448662	156410	4890992
V350082740_L01_37-37_ivar	6499426	540945	188009	5791126
V350082740_L01_38-38_ivar	2868170	267310	101068	2509995
V350082740_L01_39-39_ivar	2938014	231527	112415	2604188
V350082740_L01_40-40_ivar	976263	80432	30050	868489
V350082740_L01_41-41_ivar	2650876	203541	96553	2360035
V350082740_L01_42-42_ivar	3653947	281044	125808	3258167
V350082740_L01_43-43_ivar	3100462	246108	136194	2730488
V350082740_L01_44-44_ivar	4317735	336412	165890	3830672
V350082740_L01_45-45_ivar	2691159	231901	90531	2377533
V350082740_L01_46-46_ivar	2081611	174532	75328	1838579
V350082740_L01_47-47_ivar	1002593	76390	37354	892126
V350082740_L01_48-48_ivar	2240200	172178	80963	1994604
V350082740_L01_49-49_ivar	3418155	278172	104127	3046512
V350082740_L01_50-50_ivar	10210155	828966	250132	9161385
V350082740_L01_51-51_ivar	5336941	435776	163352	4755502
V350082740_L01_52-52_ivar	5201409	428683	145745	4641464
V350082740_L01_53-53_ivar	4439676	655616	783916	3340165
V350082740_L01_54-54_ivar	7974485	601115	208108	7185257
V350082740_L01_55-55_ivar	9850024	814498	264404	8799850
V350082740_L01_56-56_ivar	7809281	677695	240456	6994577
V350082740_L01_57-57_ivar	6527655	524480	149483	5870437
V350082740_L01_58-58_ivar	9889077	818832	284511	8819608
V350082740_L01_59-59_ivar	13942618	1154950	376160	12457920
V350082740_L01_60-60_ivar	11864287	942214	293840	10661002
V350082740_L01_61-61_ivar	2000106	272495	361498	1511459
V350082740_L01_62-62_ivar	7345204	9	226333	6486037
V350082740_L01_63-63_ivar	4024717	342734	116215	3578539
V350082740_L01_64-64_ivar	7113763	627554	201197	6307088
V350082740_L01_65-65_ivar	11413173	937288	275691	10232657
V350082740_L01_66-66_ivar	7550330	646011	207849	6720794
V350082740_L01_67-67_ivar	5592908	567670	147988	4897431
V350082740_L01_68-68_ivar	2989022	240792	96077	2685994
V350082740_L01_69-69_ivar	6571972	517652	205281	5872172
V350082740_L01_70-70_ivar	8029412	720973	195553	7138422
V350082740_L01_71-71_ivar	2488318	245290	62410	2190448
V350082740_L01_72-72_ivar	5514038	479614	159050	4893007
V350082740_L01_73-73_ivar	5153495	399037	131615	4656658
V350082740_L01_74-74_ivar	6032336	499094	206742	5399377
V350082740_L01_75-75_ivar	5596881	479230	153356	4982450
V350082740_L01_76-76_ivar	2160748	264113	238790	1778256
V350082740_L01_77-77_ivar	2404146	262269	328067	1954394
V350082740_L01_78-78_ivar	4330828	379324	133762	3834191
V350082740_L01_79-79_ivar	5190750	475896	171682	4563711
V350082740_L01_80-80_ivar	7106959	613340	212556	6307070
V350082740_L01_81-81_ivar	4318510	372306	113958	3844185
V350082740_L01_82-82_ivar	2197863	197337	60969	1946088
V350082740_L01_83-83_ivar	5166453	453867	140515	4589001
V350082740_L01_84-84_ivar	3734929	330750	98650	3316191
V350082740_L01_85-85_ivar	8131634	643794	250816	7263704
V350082740_L01_86-86_ivar	918536	93317	23839	804131
V350082740_L01_87-87_ivar	8620457	715161	276061	7660589
V350082740_L01_88-88_ivar	4380560	449670	515018	3617670
V350082740_L01_89-89_ivar	7612133	632665	250544	6757137
V350082740_L01_90-90_ivar	5842048	495653	170862	5198079
V350082740_L01_91-91_ivar	8786704	717389	173305	7915775
V350082740_L01_92-92_ivar	2535871	253065	70000	2220642
V350082740_L01_93-93_ivar	2864201	235660	98492	2540354
V350082740_L01_94-94_ivar	1279486	123729	40872	1119546
V350082740_L01_95-95_ivar	5629514	459586	161723	5025773
V350082740_L01_96-96_ivar	7876890	656640	214937	7026840
V350082740_L01_97-97_ivar	35675	7113	18673	15854
V350082740_L01_98-98_ivar	28872	5939	15621	12426
V350082740_L01_99-99_ivar	22008	4728	11494	9820
V350082740_L02_01-01_ivar	2237251	177131	83052	1986075
V350082740_L02_02-02_ivar	3258832	266523	87117	2918238
V350082740_L02_03-03_ivar	951861	206157	355895	557797
V350082740_L02_04-04_ivar	12025964	995601	297530	10769743
V350082740_L02_05-05_ivar	6423445	514606	156662	5770283
V350082740_L02_06-06_ivar	5538254	458188	123641	4969935
V350082740_L02_07-07_ivar	6270756	498452	194895	5598601
V350082740_L02_08-08_ivar	1967183	159665	77810	1737453
