Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
V350082740_L01_01-01	2136478	0	0	0	7603	0	0	0	2136478	0	100.0	nan	2128875	0	1072028	0	1056847	0	1934680	0	90.88	nan	2127170	0	1705	0	0.08	nan	0	0	0	0	2136478
V350082740_L01_02-02	3139839	0	0	0	13610	0	0	0	3139839	0	100.0	nan	3126229	0	1569698	0	1556531	0	2932531	0	93.8	nan	3124140	0	2089	0	0.07	nan	0	0	0	0	3139839
V350082740_L01_03-03	589654	0	0	0	9664	0	0	0	589654	0	100.0	nan	579990	0	300178	0	279812	0	534054	0	92.08	nan	567865	0	12125	0	2.09	nan	0	0	0	0	589654
V350082740_L01_04-04	11645566	0	0	0	18189	0	0	0	11645566	0	100.0	nan	11627377	0	5835417	0	5791960	0	11142181	0	95.83	nan	11619814	0	7563	0	0.07	nan	0	0	0	0	11645566
V350082740_L01_05-05	6216725	0	0	0	10386	0	0	0	6216725	0	100.0	nan	6206339	0	3113519	0	3092820	0	5909766	0	95.22	nan	6201854	0	4485	0	0.07	nan	0	0	0	0	6216725
V350082740_L01_06-06	5379035	0	0	0	5692	0	0	0	5379035	0	100.0	nan	5373343	0	2685790	0	2687553	0	5099925	0	94.91	nan	5369612	0	3731	0	0.07	nan	0	0	0	0	5379035
V350082740_L01_07-07	6027204	0	0	0	8403	0	0	0	6027204	0	100.0	nan	6018801	0	3028054	0	2990747	0	5650638	0	93.88	nan	6014823	0	3978	0	0.07	nan	0	0	0	0	6027204
V350082740_L01_08-08	1870704	0	0	0	1652	0	0	0	1870704	0	100.0	nan	1869052	0	947292	0	921760	0	1666832	0	89.18	nan	1867645	0	1407	0	0.08	nan	0	0	0	0	1870704
V350082740_L01_09-09	2403710	0	0	0	1994	0	0	0	2403710	0	100.0	nan	2401716	0	1216333	0	1185383	0	2117396	0	88.16	nan	2399997	0	1719	0	0.07	nan	0	0	0	0	2403710
V350082740_L01_10-10	4867391	0	0	0	2975	0	0	0	4867391	0	100.0	nan	4864416	0	2446300	0	2418116	0	4490868	0	92.32	nan	4861041	0	3375	0	0.07	nan	0	0	0	0	4867391
