Sample	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate
V350082740_L01_01-01	38.15740857902062	194	100.0	100.0	99.9765909774939	99.89298732568639	99.89298732568639	5593	7387.0707	100.0	2212449.0	2212449.0	0.53
V350082740_L01_02-02	39.13238828833317	194	100.0	100.0	100.0	99.89633147175869	99.89298732568639	5972	10725.8323	100.0	3210859.0	3210859.0	0.48
V350082740_L01_03-03	37.52803633688385	30	99.55522857238404	95.13426746480286	89.56960840049493	77.33003377587534	69.12684346052235	137	1031.8897	100.0	928790.0	928790.0	0.63
V350082740_L01_04-04	38.45754442625028	193	100.0	100.0	100.0	100.0	99.89298732568639	33857	39808.5664	100.0	11934088.0	11934088.0	0.52
V350082740_L01_05-05	38.347588595370965	193	100.0	100.0	100.0	99.89298732568639	99.89298732568639	17527	21237.9314	100.0	6365200.0	6365200.0	0.52
V350082740_L01_06-06	38.36419653139231	193	100.0	100.0	99.899675617831	99.89298732568639	99.89298732568639	14663	18355.6106	100.0	5499342.0	5499342.0	0.54
V350082740_L01_07-07	38.14235198493493	193	100.0	100.0	99.89298732568639	99.89298732568639	99.89298732568639	16564	20756.8816	100.0	6217803.0	6217803.0	0.54
V350082740_L01_08-08	37.999399685989594	193	100.0	100.0	99.89298732568639	99.89298732568639	99.89298732568639	5016	6506.5992	100.0	1948410.0	1948410.0	0.52
V350082740_L01_09-09	38.045418119164964	193	100.0	100.0	100.0	99.89298732568639	99.89298732568639	6348	8334.732	100.0	2495461.0	2495461.0	0.49
V350082740_L01_10-10	38.27934379298211	193	100.0	99.899675617831	99.64217637026385	99.57863759489014	99.42480687556433	13446	16711.5205	100.0	5003787.0	5003787.0	0.47000000000000003
V350082740_L01_100-100	40.05654174884943	29	99.15058689763569	87.67347757750059	71.49784302578337	31.364746012105808	14.520282245928502	17	44.4658	100.0	31905.0	31905.0	2.06
V350082740_L01_101-101	40.50113036925396	29	97.01702170350801	78.28645955255325	56.69330836370933	22.338895762966928	10.728020599939805	12	37.4698	100.0	28710.0	28710.0	1.78
V350082740_L01_102-102	40.48180815876517	29	94.09423803631742	64.53867504932616	44.092565963281274	16.667224024345384	7.183225763301341	8	23.2653	100.0	16000.0	16000.0	2.11
V350082740_L01_103-103	40.077605321507754	29	99.06029495368358	87.48620539745176	68.91950640403972	32.28104203591613	17.824298565361335	16	53.4824	100.0	40626.0	40626.0	1.78
V350082740_L01_104-104	39.93374613003097	29	98.00020064876433	83.16222452596729	62.76627763100692	26.7130388255359	12.82145604119988	14	47.229	100.0	36971.0	36971.0	1.63
V350082740_L01_11-11	38.278676108852686	193	100.0	100.0	100.0	99.89298732568639	99.89298732568639	20439	25812.1938	100.0	7729439.0	7729439.0	0.44999999999999996
V350082740_L01_12-12	38.356240003313324	193	100.0	100.0	99.93646122462629	99.37130053840752	99.37130053840752	13042	16938.4017	100.0	5072184.0	5072184.0	0.48
V350082740_L01_13-13	38.45131255498096	193	100.0	100.0	100.0	99.89298732568639	99.89298732568639	18515	24385.7996	100.0	7301531.0	7301531.0	0.47000000000000003
