"","X","variable","value","variant","location","label"
"1","(0, 1000]","sample_01",226,"Other","Rancagua","group 1"
"2","(1000, 2000]","sample_01",198,"Other","Rancagua","group 1"
"3","(2000, 3000]","sample_01",252,"Other","Rancagua","group 1"
"4","(3000, 4000]","sample_01",192,"Other","Rancagua","group 1"
"5","(4000, 5000]","sample_01",177,"Other","Rancagua","group 1"
"6","(5000, 6000]","sample_01",226,"Other","Rancagua","group 1"
"7","(6000, 7000]","sample_01",186,"Other","Rancagua","group 1"
"8","(7000, 8000]","sample_01",200,"Other","Rancagua","group 1"
"9","(8000, 9000]","sample_01",223,"Other","Rancagua","group 1"
"10","(9000, 10000]","sample_01",131,"Other","Rancagua","group 1"
"11","(10000, 11000]","sample_01",128,"Other","Rancagua","group 1"
"12","(11000, 12000]","sample_01",162,"Other","Rancagua","group 1"
"13","(12000, 13000]","sample_01",206,"Other","Rancagua","group 1"
"14","(13000, 14000]","sample_01",247,"Other","Rancagua","group 1"
"15","(14000, 15000]","sample_01",149,"Other","Rancagua","group 1"
"16","(15000, 16000]","sample_01",184,"Other","Rancagua","group 1"
"17","(16000, 17000]","sample_01",287,"Other","Rancagua","group 1"
"18","(17000, 18000]","sample_01",261,"Other","Rancagua","group 1"
"19","(18000, 19000]","sample_01",221,"Other","Rancagua","group 1"
"20","(19000, 20000]","sample_01",143,"Other","Rancagua","group 1"
"21","(20000, 21000]","sample_01",154,"Other","Rancagua","group 1"
"22","(21000, 22000]","sample_01",158,"Other","Rancagua","group 1"
"23","(22000, 23000]","sample_01",172,"Other","Rancagua","group 1"
"24","(23000, 24000]","sample_01",211,"Other","Rancagua","group 1"
"25","(24000, 25000]","sample_01",201,"Other","Rancagua","group 1"
"26","(25000, 26000]","sample_01",342,"Other","Rancagua","group 1"
"27","(26000, 27000]","sample_01",182,"Other","Rancagua","group 1"
"28","(27000, 28000]","sample_01",333,"Other","Rancagua","group 1"
"29","(28000, 29000]","sample_01",302,"Other","Rancagua","group 1"
"30","(29000, 30000]","sample_01",276,"Other","Rancagua","group 1"
"31","(0, 1000]","sample_02",294,"Other","Rancagua","group 1"
"32","(1000, 2000]","sample_02",288,"Other","Rancagua","group 1"
"33","(2000, 3000]","sample_02",345,"Other","Rancagua","group 1"
"34","(3000, 4000]","sample_02",232,"Other","Rancagua","group 1"
"35","(4000, 5000]","sample_02",237,"Other","Rancagua","group 1"
"36","(5000, 6000]","sample_02",305,"Other","Rancagua","group 1"
"37","(6000, 7000]","sample_02",250,"Other","Rancagua","group 1"
"38","(7000, 8000]","sample_02",254,"Other","Rancagua","group 1"
"39","(8000, 9000]","sample_02",277,"Other","Rancagua","group 1"
"40","(9000, 10000]","sample_02",181,"Other","Rancagua","group 1"
"41","(10000, 11000]","sample_02",158,"Other","Rancagua","group 1"
"42","(11000, 12000]","sample_02",176,"Other","Rancagua","group 1"
"43","(12000, 13000]","sample_02",233,"Other","Rancagua","group 1"
"44","(13000, 14000]","sample_02",277,"Other","Rancagua","group 1"
"45","(14000, 15000]","sample_02",157,"Other","Rancagua","group 1"
"46","(15000, 16000]","sample_02",236,"Other","Rancagua","group 1"
"47","(16000, 17000]","sample_02",296,"Other","Rancagua","group 1"
"48","(17000, 18000]","sample_02",332,"Other","Rancagua","group 1"
"49","(18000, 19000]","sample_02",251,"Other","Rancagua","group 1"
"50","(19000, 20000]","sample_02",201,"Other","Rancagua","group 1"
"51","(20000, 21000]","sample_02",193,"Other","Rancagua","group 1"
"52","(21000, 22000]","sample_02",214,"Other","Rancagua","group 1"
"53","(22000, 23000]","sample_02",236,"Other","Rancagua","group 1"
"54","(23000, 24000]","sample_02",313,"Other","Rancagua","group 1"
"55","(24000, 25000]","sample_02",284,"Other","Rancagua","group 1"
"56","(25000, 26000]","sample_02",494,"Other","Rancagua","group 1"
"57","(26000, 27000]","sample_02",327,"Other","Rancagua","group 1"
"58","(27000, 28000]","sample_02",542,"Other","Rancagua","group 1"
"59","(28000, 29000]","sample_02",509,"Other","Rancagua","group 1"
"60","(29000, 30000]","sample_02",521,"Other","Rancagua","group 1"
"61","(0, 1000]","sample_03",17,"Other","Rancagua","group 2"
"62","(1000, 2000]","sample_03",35,"Other","Rancagua","group 2"
"63","(2000, 3000]","sample_03",107,"Other","Rancagua","group 2"
"64","(3000, 4000]","sample_03",159,"Other","Rancagua","group 2"
"65","(4000, 5000]","sample_03",102,"Other","Rancagua","group 2"
"66","(5000, 6000]","sample_03",113,"Other","Rancagua","group 2"
"67","(6000, 7000]","sample_03",141,"Other","Rancagua","group 2"
"68","(7000, 8000]","sample_03",99,"Other","Rancagua","group 2"
"69","(8000, 9000]","sample_03",40,"Other","Rancagua","group 2"
"70","(9000, 10000]","sample_03",54,"Other","Rancagua","group 2"
"71","(10000, 11000]","sample_03",45,"Other","Rancagua","group 2"
"72","(11000, 12000]","sample_03",15,"Other","Rancagua","group 2"
"73","(12000, 13000]","sample_03",56,"Other","Rancagua","group 2"
"74","(13000, 14000]","sample_03",103,"Other","Rancagua","group 2"
"75","(14000, 15000]","sample_03",66,"Other","Rancagua","group 2"
"76","(15000, 16000]","sample_03",174,"Other","Rancagua","group 2"
"77","(16000, 17000]","sample_03",152,"Other","Rancagua","group 2"
"78","(17000, 18000]","sample_03",8,"Other","Rancagua","group 2"
"79","(18000, 19000]","sample_03",59,"Other","Rancagua","group 2"
"80","(19000, 20000]","sample_03",86,"Other","Rancagua","group 2"
"81","(20000, 21000]","sample_03",9,"Other","Rancagua","group 2"
"82","(21000, 22000]","sample_03",108,"Other","Rancagua","group 2"
"83","(22000, 23000]","sample_03",126,"Other","Rancagua","group 2"
"84","(23000, 24000]","sample_03",146,"Other","Rancagua","group 2"
"85","(24000, 25000]","sample_03",107,"Other","Rancagua","group 2"
"86","(25000, 26000]","sample_03",104,"Other","Rancagua","group 2"
"87","(26000, 27000]","sample_03",38,"Other","Rancagua","group 2"
"88","(27000, 28000]","sample_03",40,"Other","Rancagua","group 2"
"89","(28000, 29000]","sample_03",56,"Other","Rancagua","group 2"
"90","(29000, 30000]","sample_03",253,"Other","Rancagua","group 2"
"91","(0, 1000]","sample_04",821,"Other","Rancagua","group 1"
"92","(1000, 2000]","sample_04",774,"Other","Rancagua","group 1"
"93","(2000, 3000]","sample_04",871,"Other","Rancagua","group 1"
"94","(3000, 4000]","sample_04",776,"Other","Rancagua","group 1"
"95","(4000, 5000]","sample_04",809,"Other","Rancagua","group 1"
"96","(5000, 6000]","sample_04",844,"Other","Rancagua","group 1"
"97","(6000, 7000]","sample_04",721,"Other","Rancagua","group 1"
"98","(7000, 8000]","sample_04",908,"Other","Rancagua","group 1"
"99","(8000, 9000]","sample_04",951,"Other","Rancagua","group 1"
"100","(9000, 10000]","sample_04",777,"Other","Rancagua","group 1"
"101","(10000, 11000]","sample_04",792,"Other","Rancagua","group 1"
"102","(11000, 12000]","sample_04",894,"Other","Rancagua","group 1"
"103","(12000, 13000]","sample_04",900,"Other","Rancagua","group 1"
"104","(13000, 14000]","sample_04",906,"Other","Rancagua","group 1"
"105","(14000, 15000]","sample_04",796,"Other","Rancagua","group 1"
"106","(15000, 16000]","sample_04",813,"Other","Rancagua","group 1"
"107","(16000, 17000]","sample_04",1014,"Other","Rancagua","group 1"
"108","(17000, 18000]","sample_04",915,"Other","Rancagua","group 1"
"109","(18000, 19000]","sample_04",903,"Other","Rancagua","group 1"
"110","(19000, 20000]","sample_04",871,"Other","Rancagua","group 1"
"111","(20000, 21000]","sample_04",824,"Other","Rancagua","group 1"
"112","(21000, 22000]","sample_04",834,"Other","Rancagua","group 1"
"113","(22000, 23000]","sample_04",841,"Other","Rancagua","group 1"
"114","(23000, 24000]","sample_04",925,"Other","Rancagua","group 1"
"115","(24000, 25000]","sample_04",883,"Other","Rancagua","group 1"
"116","(25000, 26000]","sample_04",1049,"Other","Rancagua","group 1"
"117","(26000, 27000]","sample_04",769,"Other","Rancagua","group 1"
"118","(27000, 28000]","sample_04",862,"Other","Rancagua","group 1"
"119","(28000, 29000]","sample_04",855,"Other","Rancagua","group 1"
"120","(29000, 30000]","sample_04",675,"Other","Rancagua","group 1"
"121","(0, 1000]","sample_05",681,"Other","Rancagua","group 1"
"122","(1000, 2000]","sample_05",660,"Other","Rancagua","group 1"
"123","(2000, 3000]","sample_05",789,"Other","Rancagua","group 1"
"124","(3000, 4000]","sample_05",674,"Other","Rancagua","group 1"
