Sample	lineage	conflict	ambiguity_score	scorpio_call	scorpio_support	scorpio_conflict	scorpio_notes	version	pangolin_version	scorpio_version	constellation_version	is_designated	qc_status	qc_notes	note
Consensus_V350082740_L01_01-01	N.4	0.0						PUSHER-v1.14	4.1.2	0.3.17	v0.1.10	False	pass	Ambiguous_content:0.02	Usher placements: N.4(2/2)
Consensus_V350082740_L01_02-02	N.6	0.0						PUSHER-v1.14	4.1.2	0.3.17	v0.1.10	False	pass	Ambiguous_content:0.02	Usher placements: N.6(1/1)
Consensus_V350082740_L01_03-03	Unassigned							PUSHER-v1.14	4.1.2	0.3.17	v0.1.10	False	fail	Ambiguous_content:0.55	
Consensus_V350082740_L01_04-04	N.6	0.0						PUSHER-v1.14	4.1.2	0.3.17	v0.1.10	False	pass	Ambiguous_content:0.05	Usher placements: N.6(2/2)
Consensus_V350082740_L01_05-05	N.6	0.0						PUSHER-v1.14	4.1.2	0.3.17	v0.1.10	False	pass	Ambiguous_content:0.03	Usher placements: N.6(1/1)
Consensus_V350082740_L01_06-06	N.6	0.0						PUSHER-v1.14	4.1.2	0.3.17	v0.1.10	False	pass	Ambiguous_content:0.03	Usher placements: N.6(1/1)
Consensus_V350082740_L01_07-07	N.4	0.0						PUSHER-v1.14	4.1.2	0.3.17	v0.1.10	False	pass	Ambiguous_content:0.03	Usher placements: N.4(2/2)
Consensus_V350082740_L01_08-08	N.4	0.0						PUSHER-v1.14	4.1.2	0.3.17	v0.1.10	False	pass	Ambiguous_content:0.02	Usher placements: N.4(1/1)
Consensus_V350082740_L01_09-09	N.4	0.0						PUSHER-v1.14	4.1.2	0.3.17	v0.1.10	False	pass	Ambiguous_content:0.02	Usher placements: N.4(2/2)
Consensus_V350082740_L01_10-10	B.1.1	0.0						PUSHER-v1.14	4.1.2	0.3.17	v0.1.10	False	pass	Ambiguous_content:0.03	Usher placements: B.1.1(2/2)
Consensus_V350082740_L01_100-100	Unassigned							PUSHER-v1.14	4.1.2	0.3.17	v0.1.10	False	fail	Ambiguous_content:0.98	
Consensus_V350082740_L01_101-101	Unassigned							PUSHER-v1.14	4.1.2	0.3.17	v0.1.10	False	fail	Ambiguous_content:0.99	
Consensus_V350082740_L01_102-102	Unassigned							PUSHER-v1.14	4.1.2	0.3.17	v0.1.10	False	fail	failed to map	
Consensus_V350082740_L01_103-103	Unassigned							PUSHER-v1.14	4.1.2	0.3.17	v0.1.10	False	fail	Ambiguous_content:0.98	
Consensus_V350082740_L01_104-104	Unassigned							PUSHER-v1.14	4.1.2	0.3.17	v0.1.10	False	fail	Ambiguous_content:0.98	
Consensus_V350082740_L01_11-11	C.26	0.0						PUSHER-v1.14	4.1.2	0.3.17	v0.1.10	False	pass	Ambiguous_content:0.03	Usher placements: C.26(2/2)
Consensus_V350082740_L01_12-12	B.1.1	0.0						PUSHER-v1.14	4.1.2	0.3.17	v0.1.10	False	pass	Ambiguous_content:0.03	Usher placements: B.1.1(1/1)
Consensus_V350082740_L01_13-13	N.4	0.0						PUSHER-v1.14	4.1.2	0.3.17	v0.1.10	False	pass	Ambiguous_content:0.03	Usher placements: N.4(1/1)
Consensus_V350082740_L01_14-14	N.4	0.0						PUSHER-v1.14	4.1.2	0.3.17	v0.1.10	False	pass	Ambiguous_content:0.02	Usher placements: N.4(1/1)
