gene_name n_syn n_mis wmis_cv qmis_cv var
E 0 0 0 0,499780677565082 Co-Infection
M 3 0 0 0,0447700080416314 Co-Infection
N 15 20 0,6901919496059624 0,41299918058167384 Co-Infection
ORF10 0 9 22,887341064922282 0,0016917791211245223 Co-Infection
ORF1ab:2'-O-ribose-methyltransferase 10 11 0,56162726493912 0,3288218869333121 Co-Infection
ORF1ab:3'-to-5'-exonuclease 3 21 2,7733405247580554 0,09542257183051221 Co-Infection
ORF1ab:3C-like-proteinase 3 11 1,4135938410492572 0,698390631772247 Co-Infection
ORF1ab:RNA-dependent-RNA-polymerase 11 0 0 1,6779510142450604e-6 Co-Infection
ORF1ab:endoRNAse 3 3 0,42901871110089407 0,41299918058167384 Co-Infection
ORF1ab:helicase 17 11 0,24744959364994032 0,0011479481999854269 Co-Infection
ORF1ab:leader-protein 0 1 0,8260416861262563 0,9691549906460512 Co-Infection
ORF1ab:nsp10 0 1 1,1543068175751203 0,9691549906460512 Co-Infection
ORF1ab:nsp11 0 0 0 0,7661886491714793 Co-Infection
ORF1ab:nsp2 12 1 0,037240388065533786 2,811122622875528e-5 Co-Infection
ORF1ab:nsp3 17 14 0,2921758245822974 0,002328763133306005 Co-Infection
ORF1ab:nsp4 1 1 0,29239732741508034 0,4565360072779504 Co-Infection
ORF1ab:nsp6 0 10 9,329611381638632 0,04705238029297737 Co-Infection
ORF1ab:nsp7 1 0 0 0,23838734015202273 Co-Infection
ORF1ab:nsp8 0 1 0,9898413813819045 0,9950726414763293 Co-Infection
ORF1ab:nsp9 3 0 0 0,04705238029297737 Co-Infection
ORF3a 0 24 20,49991087530468 6,524647265339356e-4 Co-Infection
ORF6 2 2 0,9206546124723938 0,9691549906460512 Co-Infection
ORF7a 0 11 12,193904513866947 0,020550624649861085 Co-Infection
ORF8 3 11 2,0879824121038437 0,3356575997605497 Co-Infection
S 15 106 2,8392694575046935 1,1230975482297753e-4 Co-Infection
E 0 0 0 0,011846165349826444 Lambda
M 4 0 0 2,15389365731955e-5 Lambda
N 31 16 0,2433634022156933 1,1215468072589552e-5 Lambda
ORF10 0 13 6,2339626691144225 0,0017845189804872497 Lambda
ORF1ab:2'-O-ribose-methyltransferase 15 15 0,4490837536013441 0,043125290471860894 Lambda
ORF1ab:3'-to-5'-exonuclease 1 30 1,2111268245606244 0,32217523576015944 Lambda
ORF1ab:3C-like-proteinase 0 15 1,0764882931607997 0,7779503249309198 Lambda
ORF1ab:RNA-dependent-RNA-polymerase 15 0 0 0 Lambda
ORF1ab:endoRNAse 0 3 0,20430005726945696 5,530508432842628e-4 Lambda
ORF1ab:helicase 23 16 0,23459839553430528 2,9969695372611405e-5 Lambda
ORF1ab:leader-protein 1 2 0,20722849216593273 0,004803601450541801 Lambda
ORF1ab:nsp10 0 3 0,49376737748979377 0,1977996313144607 Lambda
ORF1ab:nsp11 0 0 0 0,32217523576015944 Lambda
