sample_id,sample,pangolin_lineage,nextclade_clade,vadr_p/f,fastqc_raw_reads_1,fastqc_raw_reads_2,fastp_reads_passed,depth_after_trimming,1X_coverage_after_trimming,num_pos_100X,insert_size_after_trimming,ivar_num_variants_identified,bcftools_variants_identified,bedtools_num_failed_amplicons,samtools_num_failed_amplicons,num_N,num_degenerage,num_non-ambiguous,num_total,cleaner_version,aligner_version,trimmer_version,ivar_version,vadr_model,vadr_alerts,nextclade_qc.overallScore,nextclade_qc.overallStatus,pangolin_conflict,pangolin_ambiguity_score,pangolin_scorpio_call,pangolin_scorpio_support,pangolin_scorpio_conflict,pangolin_scorpio_notes,pangolin_version,pangolin_pangolin_version,pangolin_scorpio_version,pangolin_constellation_version,pangolin_is_designated,pangolin_qc_status,pangolin_qc_notes,pangolin_note,freyja_summarized,freyja_lineages,freyja_abundances,freyja_resid,freyja_coverage
V350082740,V350082740_L01_01-01,N.4,20B,PASS,1109621,1109621,2217290,6916.31,100,29871,206.1,16,24,0,9,133,2,29768,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,4,good,0.0,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: N.4(2/2),,,,,
V350082740,V350082740_L01_02-02,N.6,20B,PASS,1609770,1609770,3217580,10211.4,100,29871,199.5,15,22,0,8,199,4,29700,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,16,good,0.0,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: N.6(1/1),,,,,
V350082740,V350082740_L01_03-03,Unassigned,20A,PASS,1276663,1276663,2544652,694.825,99.2643,13650,39.5,16,153,2,20,16197,6,13700,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,3519.953827,bad,,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,fail,Ambiguous_content:0.55,,,,,,
V350082740,V350082740_L01_04-04,N.6,20B,FAIL,6025245,6025245,12041518,37928.9,100,29871,193.9,14,25,0,1,946,3,28954,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,14.724499,good,0.0,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.05,Usher placements: N.6(2/2),,,,,
V350082740,V350082740_L01_05-05,N.6,20B,PASS,3194490,3194490,6384480,20254.1,100,29871,195.6,11,21,0,1,311,2,29590,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,4.001660,good,0.0,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: N.6(1/1),,,,,
V350082740,V350082740_L01_06-06,N.6,20B,PASS,2756094,2756094,5509820,17523.3,100,29871,196.7,18,29,0,4,426,2,29485,29913,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,60.467778,mediocre,0.0,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: N.6(1/1),,,,,
V350082740,V350082740_L01_07-07,N.4,20B,PASS,3118509,3118509,6231612,19589.1,100,29871,199.2,13,23,0,1,365,4,29534,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,16.057956,good,0.0,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: N.4(2/2),,,,,
V350082740,V350082740_L01_08-08,N.4,20B,PASS,977110,977110,1952222,6075.18,100,29871,210.7,18,29,0,9,143,4,29756,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,22.250000,good,0.0,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: N.4(1/1),,,,,
V350082740,V350082740_L01_09-09,N.4,20B,PASS,1251525,1251525,2500730,7815.24,100,29871,213.1,18,26,0,9,197,2,29704,29903,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,5.562500,good,0.0,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: N.4(2/2),,,,,
V350082740,V350082740_L01_10-10,B.1.1,20B,PASS,2507684,2507684,5012586,15862.1,99.9064,29715,203.8,11,24,0,2,468,1,29406,29875,fastp 0.23.2,bwa : Version: 0.7.17-r1188,ivar : iVar version 1.3.1,iVar version 1.3.1,NC_045512,-,1.387160,good,0.0,,,,,,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.1(2/2),,,,,
